name,developer,ucs,user,sale,rating,platform,date
Pac-Man,Atari,5.5,7.7,3.98,no,2600,19820101
Pitfall!,Activision,7.8,6.3,4.5,no,2600,19820101
Asteroids,Atari,6.0,9.0,4.31,no,2600,19810101
Missile Command,Atari,1.1,5.0,2.76,no,2600,19810101
Space Invaders,Atari,8.2,7.1,2.53,no,2600,19780101
Frogger,Konami,7.9,7.6,2.2,no,2600,19820101
Demon Attack,Imagic,6.6,6.4,2.13,no,2600,19820101
E.T.: The Extra Terrestrial,Atari,5.8,5.2,1.97,no,2600,19820101
Ms. Pac-Man,General Entertainment,9.3,9.3,1.65,no,2600,19820101
Dig Dug,Atari,1.5,9.2,1.64,no,2600,19830101
River Raid,Activision,1.0,8.9,1.6,no,2600,19820101
Mario Bros.,Atari,6.4,8.0,1.59,no,2600,19830101
Donkey Kong,Nintendo,5.2,9.7,1.46,no,2600,19820101
Centipede,Atari,9.5,3.1,1.36,no,2600,19820101
Pitfall II: Lost Caverns,Activision,8.2,9.7,1.31,no,2600,19830101
Adventure,Atari,7.1,8.7,1.3,no,2600,19780101
Atlantis,Imagic,2.9,5.7,1.27,no,2600,19820101
Combat,Atari,9.7,5.5,1.25,no,2600,19770101
Pole Position,Atari,8.1,3.9,1.18,no,2600,19830101
Kaboom!,Activision,3.8,5.7,1.15,no,2600,19810101
Moon Patrol,Atari,8.7,3.3,1.12,no,2600,19830101
Megamania,Activision,6.9,4.2,1.1,no,2600,19820101
Jungle Hunt,Atari,7.0,7.5,1.1,no,2600,19830101
Joust,Atari,4.1,9.1,1.08,no,2600,19830101
Cosmic Ark,Imagic,9.0,6.6,1.05,no,2600,19820101
Defender,Atari,8.9,8.4,1.05,no,2600,19810101
Air-Sea Battle,Atari,0.5,2.7,0.98,no,2600,19770101
Donkey Kong Junior,Nintendo,6.2,9.3,0.97,no,2600,19830101
Spider-Man,Parker Bros.,6.5,7.5,0.93,no,2600,19820101
Enduro,Activision,1.1,3.9,0.87,no,2600,19830101
Custer's Revenge,Mystique,6.4,8.7,0.82,no,2600,19820101
Alien,20th Century Fox Video Games,7.5,6.9,0.79,no,2600,19820101
Yars' Revenge,Atari,7.0,4.6,0.78,no,2600,19820101
Jr. Pac-Man,General Entertainment,9.2,9.1,0.78,no,2600,19840101
Galaxian,Atari,5.7,5.1,0.77,no,2600,19830101
Air Raid,Men-A-Vision,9.6,4.8,0.77,no,2600,19820101
Boxing,Activision,6.8,9.1,0.77,no,2600,19800101
Crystal Castles,Atari,7.9,5.1,0.77,no,2600,19840101
Berzerk,Stern Electronics,9.1,7.5,0.73,no,2600,19820101
Kangaroo,Atari,8.8,8.5,0.72,no,2600,19830101
King Kong,Tigervision,9.7,9.5,0.69,no,2600,19820101
