name,developer,ucs,user,sale,rating,platform,date
Super Street Fighter II Turbo,Capcom,5.9,8.0,0.09,no,3DO,19940101
Policenauts,Konami,4.6,6.2,0.06,no,3DO,19950101
Bust-A-Move,Taito Corporation,3.6,9.0,0.02,E,3DO,19950101
Sotsugyou II: Neo Generation Special,Shar Rock,1.1,9.0,0.02,no,3DO,19950101
20th Century Video Almanac,Software Toolworks,7.3,3.1,0.18,no,3DO,19930101
3D Atlas,Electronic Arts,7.0,7.9,0.28,E,3DO,19940101
3DO Buffet,Interplay,6.2,7.3,2.97,no,3DO,19950101
Advanced Dungeons & Dragons: Slayer,"Lion Entertainment, Inc.",6.5,9.5,2.32,no,3DO,19940101
AI Shogi,Taito Corporation,8.2,6.8,3.67,no,3DO,19950101
Akagi: Topaiten,Micronet,1.3,9.4,7.26,no,3DO,19960101
Alone in the Dark,I*Motion,7.6,6.3,1.74,no,3DO,19930101
Alone in the Dark (1992),Krisalis,6.2,8.0,1.28,no,3DO,19940101
Alone in the Dark 2,Krisalis Software,8.4,7.5,1.37,T,3DO,19950101
Aqua World: Umibi Monogatari,Mizuki,7.8,5.7,2.25,no,3DO,19950101
AutoBahn Tokio,Sanyei Shobou,8.9,4.1,0.07,no,3DO,19950101
Bakushou!! All Yoshimoto Quiz Ou Kettaisen,Yoshimoto Kogyo,2.2,6.9,2.14,no,3DO,19950101
Ballz: The Director's Cut,PF.Magic,4.7,1.4,1.68,T,3DO,19950101
Battery Navi,Dai Nippon Printing,9.8,9.1,0.2,no,3DO,19950101
Battle Chess,Krisalis,6.5,9.1,0.55,no,3DO,19930101
Battle Pinball,Nippon Data Works,8.2,0.3,3.77,no,3DO,19940101
BattleSport,Cyclone Studios,7.7,6.1,2.98,E,3DO,19960101
BC Racers,Core Design Ltd.,5.0,2.4,4.36,E,3DO,19950101
Belzerion,Human Entertainment,5.3,7.9,1.89,no,3DO,19940101
Bishoujo Senshi Sailor Moon S,Bandai,7.1,5.2,5.54,no,3DO,19950101
Blade Force,3DO,9.2,8.6,0.73,T,3DO,19950101
Blonde Justice,Vivid Interactive,6.6,4.9,0.61,no,3DO,19940101
Blue Forest Story: Kaze no Fuuin,Right Stuff,7.6,6.6,2.8,no,3DO,19960101
Bodycon Digital Rave Part 1,Trans-Pegasus Limited,3.0,7.3,1.8,no,3DO,19940101
Bonogurashi,Amuse Productions,8.0,9.2,0.95,no,3DO,19950101
Brain Dead 13,ReadySoft,7.7,3.5,1.7,E,3DO,19960101
Burning Soldier,Panasonic,7.3,7.4,0.0,no,3DO,19940101
Cannon Fodder,Sensible Software,4.6,8.2,0.57,E,3DO,19940101
Captain Quazar,3DO,5.3,7.5,0.05,no,3DO,19950101
Carrier: Fortress at Sea,RMG Dentsu USA Inc.,6.6,6.7,3.69,E,3DO,19950101
Casper,"Logicware, Inc.",8.9,7.4,4.85,E,3DO,19960101
Chizu Monogatari: Sono 1,Ariadne,2.9,6.1,0.26,no,3DO,19950101
Corpse Killer,Digital Pictures,9.3,9.8,3.93,M,3DO,19940101
Cowboy Casino,Intellimedia,5.1,7.4,0.48,no,3DO,19940101
Crash 'N Burn,Crystal Dynamics,8.1,4.4,5.07,T,3DO,19930101
Crayon Shin-Chan: Puzzle Daimaou no Nazo,Bandai,9.4,9.2,0.84,no,3DO,19950101
Creature Shock,Argonaut Games,7.4,7.4,0.41,T,3DO,19960101
Crime Patrol,"American Laser Games, Inc.",5.6,8.9,4.13,no,3DO,19930101
Cyberdillo,Pixel Technologies,3.9,8.4,1.05,T,3DO,19960101
Cyberia,"Xatrix Entertainment, Inc.",9.4,8.7,1.28,T,3DO,19960101
D,Warp,7.7,5.1,0.75,T,3DO,19950101
DeathKeep,"Lion Entertainment, Inc.",4.5,8.8,0.38,T,3DO,19950101
DefCon 5,Millennium Interactive,8.7,7.3,4.55,no,3DO,19960101
Demolition Man,Virgin Interactive,5.7,8.0,4.86,no,3DO,19950101
Dennis Miller: That's News to Me,Sanctuary Woods,8.0,8.5,0.63,no,3DO,19940101
Dennou Hyouryuu: Multimedia Cruising,Scitron & Art,7.3,7.6,0.06,no,3DO,19950101
Digital Dreamware,Virgin Interactive,5.5,9.7,3.06,E,3DO,19950101
DinoPark Tycoon,Manley and Associates Inc.,9.1,7.7,0.52,no,3DO,19940101
Doctor Hauzer,Riverhill Soft,8.9,10.0,0.32,no,3DO,19940101
Doom,"Logicware, Inc.",4.6,9.5,0.3,no,3DO,19960101
Doraemon Yuujou Densetsu,Shogakukan,8.5,7.1,6.96,no,3DO,19950101
Double Header: Complete Onside Soccer and Power Slide,Good Deal Games,8.3,3.6,3.15,no,3DO,19900101
Dragon Lore,Cryo Interactive,5.8,9.8,1.38,no,3DO,19940101
Dragon Tycoon Edge,Sara International,4.3,8.2,1.84,no,3DO,19950101
Dragon's Lair,ReadySoft,8.0,4.2,0.66,E,3DO,19940101
Drug Wars,"American Laser Games, Inc.",7.9,8.7,2.74,no,3DO,19940101
EMIT Vol.1: Toki no Maigo,Koei,0.5,7.9,3.71,no,3DO,19950101
EMIT Vol.2: Meigake no Tabi,Koei,2.6,5.7,1.6,no,3DO,19950101
EMIT Vol.3: Watashi ni Sayonara o,Koei,8.6,1.4,0.38,no,3DO,19950101
Endlessly,Vivid Interactive,4.5,8.8,4.62,no,3DO,19950101
Escape from Monster Manor,3DO,8.0,7.3,1.51,no,3DO,19930101
ESPN Baseball: Interactive Hitting,Intelliplay,5.7,8.7,2.86,no,3DO,19940101
ESPN Let's Go Skiing,Intelliplay,9.1,6.6,0.37,no,3DO,19940101
ESPN Let's Play Beach Volleyball,Intelliplay,4.5,5.8,1.53,no,3DO,19940101
ESPN Let's Play Soccer,Intelliplay,4.3,8.3,0.8,no,3DO,19940101
ESPN Let's Play Tennis,Intellimedia,8.1,6.9,1.82,no,3DO,19940101
ESPN Step Aerobics,Intelliplay,9.2,9.0,0.64,no,3DO,19940101
F-1 GP,Pony Canyon,5.2,9.4,0.81,no,3DO,19950101
Family Feud,Eurocom Entertainment Software,3.8,8.3,5.4,no,3DO,19940101
Fatty Bear's Birthday Surprise,Humongous Entertainment,7.9,8.0,2.86,no,3DO,19930101
Fatty Bear's Fun Pack,Humongous Entertainment,7.8,1.4,3.06,no,3DO,19940101
FIFA International Soccer,Extended Play Productions,7.3,8.9,4.06,no,3DO,19940101
Flashback: The Quest for Identity,Delphine Software International,0.8,7.7,0.32,no,3DO,19950101
Flying Nightmares,Domark,8.4,7.5,0.99,no,3DO,19940101
Foes of Ali,Gray Matter,9.0,3.1,0.3,E,3DO,19950101
Fun 'n Games,Virgin Interactive,8.2,8.1,3.13,no,3DO,19940101
Furopon World,Warp,2.4,6.0,4.2,no,3DO,19950101
Gakkou no Kowai Usawa: Hanako-chan ga Kite!!,Amuse,6.4,8.8,2.34,no,3DO,19950101
Game Guru,3DO,5.6,6.0,0.07,no,3DO,19960101
Game no Tatsujin,SunSoft,6.1,7.8,0.92,no,3DO,19950101
Gateway to English: Eigo de Go!,Gakken,7.0,4.2,1.13,no,3DO,19960101
Gex,Crystal Dynamics,2.9,8.5,0.36,E,3DO,19940101
Goal FH,Carrozzeria,3.3,8.4,8.71,no,3DO,19950101
Golf Ba Multimedia Shinchaku,"Jiscsoft Co., Ltd.",5.7,6.3,0.21,no,3DO,19950101
Gridders,Tetragon,4.6,3.2,3.96,no,3DO,19940101
Grimm Meisaku Gekijou: Akazukin,Ima Company,5.2,8.2,0.44,no,3DO,19940101
