name,developer,ucs,user,sale,rating,platform,date
Mario Kart 7,Nintendo EAD / Retro Studios,8.2,3.4,1.87,E,3DS,20110101
Pokemon X/Y,Game Freak,8.9,9.7,0.97,E,3DS,20130101
Pokemon Sun/Moon,Game Freak,9.0,3.8,4.77,E,3DS,20160101
Pokemon Omega Ruby/Pokemon Alpha Sapphire,Game Freak,8.6,6.1,3.36,E,3DS,20140101
New Super Mario Bros. 2,Nintendo,7.5,0.0,2.73,E,3DS,20120101
Super Mario 3D Land,Nintendo EAD Tokyo,8.9,0.3,5.41,E,3DS,20110101
Animal Crossing: New Leaf,Nintendo EAD,8.6,2.1,0.85,E,3DS,20130101
Super Smash Bros. for 3DS,Bandai Namco Games,8.4,9.1,0.76,E10,3DS,20140101
Pokemon: Ultra Sun and Ultra Moon,Game Freak,8.1,8.4,4.43,E,3DS,20170101
Yokai Watch 2: Bony Spirits / Fleshy Souls / Psychic Specters,Level 5,7.6,8.4,3.84,E10,3DS,20160101
Tomodachi Life,Nintendo,7.8,5.8,3.24,E,3DS,20140101
Luigi's Mansion: Dark Moon,Next Level Games,8.6,7.5,1.18,E,3DS,20130101
The Legend of Zelda: Ocarina of Time 3D,GREZZO,9.5,8.8,0.08,E10,3DS,20110101
Nintendogs + cats,Nintendo EAD,7.2,2.3,2.82,E,3DS,20110101
Monster Hunter Generations,Capcom,8.8,7.1,0.76,T,3DS,20160101
Monster Hunter 4 Ultimate,Capcom,8.8,8.9,0.86,T,3DS,20150101
Monster Hunter 4,Capcom,6.3,7.8,1.07,no,3DS,20130101
The Legend of Zelda: A Link Between Worlds,Nintendo EAD,9.3,7.7,2.09,E,3DS,20130101
Animal Crossing: Happy Home Designer,Nintendo EAD,6.6,7.2,0.07,E,3DS,20150101
The Legend of Zelda: Majora's Mask 3D,GREZZO,9.0,8.4,0.79,E10,3DS,20150101
Yokai Watch 2: Psychic Specters,Level 5,3.8,8.1,2.95,E10,3DS,20170101
Super Mario Maker,Nintendo,7.3,7.2,0.39,E,3DS,20160101
Yokai Watch,Level 5,7.7,2.5,1.26,E10,3DS,20150101
Fire Emblem Fates,Intelligent Systems,5.2,8.0,1.44,T,3DS,20160101
Mario Party: Island Tour,"Nd Cube Co., Ltd.",5.5,8.6,0.25,E,3DS,20130101
Monster Hunter 3G,Capcom,7.6,7.5,3.72,T,3DS,20130101
Mario & Luigi: Dream Team,AlphaDream Corporation,8.0,7.4,1.27,E10,3DS,20130101
Paper Mario: Sticker Star,Intelligent Systems,5.0,1.8,9.91,E,3DS,20120101
Donkey Kong Country Returns 3D,Monster Games,8.6,7.7,0.74,E,3DS,20130101
Kirby: Triple Deluxe,HAL Laboratory,7.8,6.9,0.36,E,3DS,20140101
Fire Emblem: Awakening,Intelligent Systems,9.0,9.0,1.94,T,3DS,20130101
Yokai Watch Blasters: Red Cat Corps / White Dog Squad,Level 5,2.4,2.1,1.22,E10,3DS,20180101
Yokai Watch 3: Sushi / Tempura / Sukiyaki,Level 5,4.4,7.7,3.77,no,3DS,20160101
The Legend of Zelda: Ocarina of Time 3D,GREZZO,9.3,3.2,2.0,E10,3DS,20110101
Yoshi's New Island,Arzest,8.1,0.3,0.11,E,3DS,20140101
LEGO City Undercover: The Chase Begins,TT Fusion,6.2,8.0,0.69,E,3DS,20130101
Dragon Quest XI,Square Enix,7.7,8.9,1.82,no,3DS,20170101
Monster Hunter Double Cross,Capcom,7.8,7.8,3.55,no,3DS,20170101
Tomodachi Collection: New Life,Nintendo,8.6,8.7,1.69,no,3DS,20130101
Dragon Quest VII: Fragments of the Forgotten Past,ArtePiazza,7.3,8.4,1.15,E10,3DS,20160101
Pokemon Super Mystery Dungeon,ChunSoft,7.7,9.2,0.36,E,3DS,20150101
