name,developer,ucs,user,sale,rating,platform,date
After Burner,SunSoft,7.1,8.2,5.01,no,ACPC,19880101
Alien,Concept Software,3.7,6.1,0.48,no,ACPC,19850101
Aliens: The Computer Game (Activision),Activision,7.4,9.6,1.57,no,ACPC,19870101
Auf Wiedersehen Monty,Gremlin Graphics,6.8,8.1,4.64,no,ACPC,19870101
Dark Sceptre,Beyond Software,3.0,8.9,0.25,no,ACPC,19880101
Doomdark's Revenge,Unknown,9.7,8.6,1.38,no,ACPC,19850101
Elite,Unknown,8.9,7.3,0.56,no,ACPC,19860101
Final Fight,Capcom,8.9,6.5,1.0,no,ACPC,19910101
Ghostbusters,Activision,2.6,8.9,0.29,no,ACPC,19850101
Impossamole,Core Design,9.4,7.8,0.24,no,ACPC,19900101
Monty on the Run,Unknown,2.5,9.7,5.24,no,ACPC,19850101
Predator,Nippon Ichi Software / Gust,1.8,8.0,3.95,no,ACPC,19870101
Predator 2,Arc Developments,7.2,6.8,6.45,no,ACPC,19910101
The Great Giana Sisters,Time Warp Productions,6.5,5.9,1.12,no,ACPC,19870101
The Lords of Midnight,Unknown,9.3,4.0,0.36,no,ACPC,19840101
Throne of Fire,Unknown,6.1,9.1,3.3,no,ACPC,19870101
War in Middle Earth,Melbourne House,8.0,7.6,4.71,no,ACPC,19890101
Wishbringer,Infocom,7.3,7.5,2.02,no,ACPC,19860101
Wizball,Sensible Software,2.6,8.0,1.58,no,ACPC,19870101
Aliens: The Computer Game (Software Studios),Software Studios,9.2,9.8,2.6,no,ACPC,19870101
