name,developer,ucs,user,sale,rating,platform,date
Aircars,"Midnite Entertainment Group, Inc.",5.6,8.6,1.0,no,AJ,19970101
Alien vs. Predator,Rebellion Developments,4.0,7.9,1.1,no,AJ,19940101
Atari Karts,Miracle Designs,4.1,9.0,1.27,E,AJ,19950101
Attack of the Mutant Penguins,Sunrise Games Ltd.,6.5,7.0,0.11,E,AJ,19960101
Baldies,Creative Edge Software,6.8,9.1,0.15,E,AJ,19950101
Battlemorph,Atari,6.6,7.1,0.13,E,AJ,19950101
Battlesphere,4Play,1.2,7.3,1.46,no,AJ,20000101
Blue Lightning,Epyx,5.7,8.1,0.14,E,AJ,19950101
Brain Dead 13,ReadySoft,5.8,9.3,2.5,E,AJ,19960101
Breakout 2000,L4 Software,8.3,7.5,1.79,E,AJ,19960101
Brutal Sports Football,Millennium,7.4,9.7,3.73,no,AJ,19940101
Bubsy in Fractured Furry Tails,"Imagitec Design, Inc.",6.0,8.1,0.77,E,AJ,19940101
Cannon Fodder,Sensible Software,1.8,7.8,0.75,T,AJ,19950101
Checkered Flag,Rebellion Developments,5.7,9.8,1.84,E,AJ,19940101
Club Drive,Atari,6.3,8.7,1.77,E,AJ,19940101
Cybermorph,Attention To Detail,3.2,5.4,2.93,no,AJ,19930101
Defender 2000,Atari Games (Midway),9.1,3.6,0.07,E,AJ,19960101
Doom,id Software,4.6,8.8,0.45,M,AJ,19940101
Double Dragon V: The Shadow Falls,Leland Interactive Media,0.3,1.7,0.3,no,AJ,19950101
Dragon's Lair,ReadySoft,4.7,7.9,0.37,E,AJ,19950101
Dragon: The Bruce Lee Story,Virgin Interactive,6.3,1.2,0.43,T,AJ,19940101
Evolution: Dino Dudes,"Imagitec Design, Inc.",4.4,8.8,1.26,no,AJ,19940101
Fever Pitch Soccer,U.S. Gold,4.5,5.7,2.58,E,AJ,19950101
Fight For Life,Atari,7.5,5.1,0.53,T,AJ,19960101
Flashback: The Quest for Identity,Delphine Software International,1.6,5.7,0.91,E,AJ,19950101
Flip Out!,Gorilla Systems,8.1,8.6,1.03,E,AJ,19950101
Frog Feast,RasterSoft,7.9,8.9,1.52,no,AJ,20060101
Highlander,Lore Design,9.2,8.6,13.27,E,AJ,19950101
Hover Strike,Atari Games (Midway),6.4,6.7,1.16,E,AJ,19950101
Hover Strike: Unconquered Lands,Atari Games (Midway),9.3,7.6,2.34,E,AJ,19950101
Hyper Force,Visual Impact,-0.0,9.5,0.51,no,AJ,20000101
I-War,"Imagitec Design, Inc.",4.5,7.0,3.12,E,AJ,19950101
International Sensible Soccer,Williams,8.9,7.8,0.07,no,AJ,19950101
Iron Soldier,Eclipse Software,5.5,4.5,2.63,E,AJ,19940101
Iron Soldier 2,Eclipse Software,6.3,9.8,1.85,no,AJ,19970101
Kasumi Ninja,Atari Games (Midway),8.7,5.5,2.43,M,AJ,19940101
Missile Command 3D,Virtuality Entertainment Ltd.,7.5,6.4,1.12,E,AJ,19950101
Myst,Cyan Worlds,5.8,8.6,1.1,E,AJ,19950101
NBA Jam Tournament Edition,High Voltage Software,7.9,6.1,1.51,E,AJ,19960101
Ocean Depths,Starcat Developments,3.0,8.3,1.16,no,AJ,20040101
Pinball Fantasies,21st Century Entertainment,7.6,6.9,0.88,E,AJ,19950101
Pitfall: The Mayan Adventure,Activision,5.2,8.9,3.64,T,AJ,19950101
Power Drive Rally,Time Warner Interactive,6.1,7.7,1.37,E,AJ,19950101
Primal Rage,Atari Games,7.0,6.6,2.42,T,AJ,19950101
Protector,Songbird Productions,6.9,3.4,2.73,no,AJ,19990101
Protector Special Edition,Songbird Productions,3.8,8.6,1.48,no,AJ,20020101
Raiden,"Imagitec Design, Inc.",2.9,8.6,0.94,no,AJ,19940101
Rayman,Ubisoft Montpellier,2.4,7.3,0.02,E,AJ,19950101
Ruiner Pinball,High Voltage Software,7.4,5.8,0.31,E,AJ,19950101
SkyHammer,Rebellion Developments,8.7,6.2,4.29,no,AJ,20000101
Soccer Kid,Krisalis Software,8.1,9.0,4.37,no,AJ,20000101
Space Ace,ReadySoft,4.4,9.8,0.57,E,AJ,19960101
Super Burnout,Shen Studios,5.0,9.8,1.41,E,AJ,19950101
Supercross 3D,Tiertex Design Studios,6.6,4.2,0.27,E,AJ,19950101
Syndicate,Bullfrog Productions,8.2,9.2,0.99,E,AJ,19950101
Tempest 2000,Llamasoft,6.2,9.7,1.92,no,AJ,19940101
Theme Park,Bullfrog Productions,5.4,6.9,0.19,E,AJ,19950101
Total Carnage,Songbird Productions,2.4,7.3,0.81,no,AJ,20050101
Towers II: Plight of the Stargazer,JV Games,5.0,8.3,2.27,no,AJ,19960101
Trevor McFur in the Crescent Galaxy,Atari Games (Midway),9.9,6.9,2.53,no,AJ,19930101
