name,developer,ucs,user,sale,rating,platform,date
A Mind Forever Voyaging,"Infocom, Inc.",9.1,5.0,2.93,no,AST,19850101
After Burner,SunSoft,3.9,6.4,0.95,no,AST,19880101
After Burner II,Bits Laboratory,5.3,6.7,0.23,no,AST,19890101
Die Hard 2: Die Harder,Unknown,7.2,6.7,3.27,no,AST,19920101
Elite,Unknown,8.7,7.2,1.75,no,AST,19880101
Final Fight,Unknown,7.0,9.6,4.38,no,AST,19910101
Impossamole,Unknown,5.2,8.5,0.4,no,AST,19900101
Midwinter,Unknown,7.6,8.8,0.05,no,AST,19890101
Midwinter II: Flames of Freedom,Unknown,2.6,6.7,1.23,no,AST,19910101
Predator,Nippon Ichi Software / Gust,9.5,8.3,0.03,no,AST,19880101
Predator 2,Arc Developments,4.9,9.3,1.68,no,AST,19910101
Star Trek: The Rebel Universe,Unknown,3.6,6.9,4.13,no,AST,19870101
The Great Giana Sisters,Unknown,9.2,8.9,1.78,no,AST,19870101
Trantor: The Last Stormtrooper,Probe Software,6.4,9.5,0.76,no,AST,19880101
War in Middle Earth,Unknown,6.9,8.8,1.11,no,AST,19890101
Wishbringer,Unknown,7.2,7.3,3.69,no,AST,19850101
Wizball,Unknown,6.4,9.2,2.71,no,AST,19880101
