name,developer,ucs,user,sale,rating,platform,date
Talon Man Remastered,OutOfTime|OutOfCrumpets,3.4,9.0,0.55,no,Amig,20180101
A Mind Forever Voyaging,"Infocom, Inc.",6.1,7.2,3.53,no,Amig,19860101
After Burner,SunSoft,7.8,8.6,1.87,no,Amig,19880101
After Burner II,Bits Laboratory,7.4,7.9,2.64,no,Amig,19890101
Alien 3,Bits Studios,7.3,6.2,2.16,no,Amig,19920101
Die Hard 2: Die Harder,Unknown,2.7,9.6,2.93,no,Amig,19920101
Elite,Unknown,7.9,2.6,2.33,no,Amig,19880101
Fabulous - Angelas High School Reunion,GameHouse,7.4,6.8,1.36,no,Amig,20170101
Final Fight,Unknown,5.0,7.9,0.7,no,Amig,19910101
Impossamole,Unknown,6.5,5.5,0.28,no,Amig,19900101
King's Bounty,Unknown,6.4,3.0,2.75,no,Amig,19910101
Midwinter,Unknown,5.2,3.9,2.05,no,Amig,19900101
Midwinter II: Flames of Freedom,Unknown,2.0,3.7,0.09,no,Amig,19910101
Predator,Nippon Ichi Software / Gust,5.2,4.6,0.07,no,Amig,19890101
Predator 2,Arc Developments,5.0,8.3,0.82,no,Amig,19910101
Rise of the Robots,Probe Entertainment Limited,3.9,9.2,1.6,no,Amig,19940101
Star Trek: The Rebel Universe,Unknown,4.8,9.5,2.1,no,Amig,19870101
The Great Giana Sisters,Unknown,7.0,9.7,0.74,no,Amig,19870101
The Lost Vikings,Unknown,9.4,6.0,1.06,no,Amig,19930101
Total Carnage,Unknown,9.5,9.1,1.19,no,Amig,19940101
Trantor: The Last Stormtrooper,Probe Software,9.7,8.3,1.93,no,Amig,19870101
War in Middle Earth,Unknown,9.1,2.0,0.48,no,Amig,19890101
WipEout 2097,Unknown,5.4,4.0,0.59,no,Amig,19990101
Wishbringer,Unknown,4.8,4.8,0.64,no,Amig,19860101
Wizball,Unknown,8.8,8.1,1.02,no,Amig,19880101
"Ys: Celceta, Sea of Trees",Unknown,6.1,2.5,0.95,no,Amig,19940101
Alien Breed,Team17,7.1,6.8,1.22,no,Amig,20180101
