name,developer,ucs,user,sale,rating,platform,date
1Path,Unknown,7.7,5.3,0.09,no,And,20140101
Chain Chronicle,Unknown,7.3,9.3,1.48,no,And,20130101
Crumpets,Bulkypix,0.4,7.5,1.59,no,And,20140101
100 Doors 2013,Unknown,9.4,4.7,1.35,no,And,20120101
100 Doors 3,Unknown,8.2,8.0,1.27,no,And,20140101
100 DOORS : HELL PRISON ESCAPE,Unknown,8.1,6.0,2.09,no,And,20140101
100 Doors Brain Teasers,Unknown,3.6,7.9,4.42,no,And,20140101
100 Doors Seasons - Part 1,Unknown,5.2,5.8,0.33,no,And,20140101
100 Doors Seasons - Part 2,Unknown,6.7,9.4,2.25,no,And,20140101
100 Doors: Floors Escape,Unknown,5.2,4.6,0.87,no,And,20140101
"100 Washitsu ""room escape game""",Unknown,7.4,7.3,4.2,no,And,20140101
100 Wiki Quiz,Unknown,5.5,7.4,1.56,no,And,20150101
101 Drinking Games,Unknown,6.5,5.7,2.5,no,And,20140101
2 Games in 1: SpongeBob SquarePants: SuperSponge & Rugrats Go Wild,Unknown,8.0,8.7,0.41,no,And,20140101
2 Games in 1: The Incredibles + Finding Nemo,Unknown,3.0,7.9,14.68,no,And,20110101
3 Words: Summer,Unknown,9.0,1.6,0.11,no,And,20140101
300: Rise of an Empire -- Seize Your Glory,Unknown,5.3,7.1,0.82,no,And,20140101
4 Clues 1 Word,Unknown,5.7,6.6,2.75,no,And,20140101
4 Kids: Shape It,Unknown,8.3,9.2,1.3,no,And,20140101
4 Pics 1 Song,Unknown,8.1,8.5,0.77,no,And,20130101
4 Pics 1 Word,Unknown,7.5,3.9,0.42,no,And,20130101
4 Pics 1 Word: Allegory,Unknown,7.6,5.4,7.19,no,And,20140101
4 Pics 1 Word: Close Up,Unknown,8.9,5.8,1.22,no,And,20140101
4 Pics Mystery: Evolution,Unknown,2.5,7.2,0.71,no,And,20140101
4 Pics Mystery: Renaissance,Unknown,7.8,9.7,0.93,no,And,20140101
4 Pics Mystery: Revolution,Unknown,7.2,8.2,0.78,no,And,20140101
4 Pics Mystery: Variety,Unknown,3.8,7.6,1.67,no,And,20140101
4 Scenes 1 Movie,Unknown,7.7,8.0,8.79,no,And,20130101
4444,Unknown,7.1,8.8,1.87,no,And,20140101
8bit Doves,Nitrome,5.4,7.7,0.44,no,And,20140101
A Little War,Unknown,8.8,7.8,0.11,no,And,20140101
Ace Fishing: Wild Catch,Unknown,4.0,7.9,0.51,no,And,20140101
Aces of the Luftwaffe,Unknown,3.9,8.7,2.4,no,And,20130101
Across Age,Unknown,8.1,9.3,0.4,no,And,20100101
Activision Anthology,Unknown,6.0,8.6,0.3,no,And,20120101
adidas miCoach,Unknown,4.3,9.0,1.5,no,And,20100101
Adventure Bar Story,Unknown,6.9,9.8,6.7,no,And,20120101
Adventure Town,Unknown,7.4,4.0,0.42,no,And,20130101
Adventures of Mana,Square Enix,8.7,7.2,1.4,no,And,20160101
Aeon Command,Unknown,8.4,6.1,1.0,no,And,20140101
Age of Warring Empire,Unknown,9.3,7.0,0.41,no,And,20130101
Age of Zombies,Unknown,3.2,6.3,1.24,no,And,20110101
AirTycoon 3,Unknown,0.3,9.1,2.42,no,And,20140101
Alice - Behind the Mirror full - A Hidden Object Adventure,Unknown,6.5,7.3,4.21,no,And,20140101
All Guess The Cartoon,Unknown,1.7,6.4,1.47,no,And,20140101
ALONE...,Laser Dog,6.4,6.8,0.59,no,And,20140101
Alpaca Evolution,Unknown,8.7,7.4,3.51,no,And,20130101
Always Remember Me,Unknown,3.7,6.8,2.31,no,And,20130101
American Mensa Academy,Unknown,9.7,8.7,0.71,no,And,20140101
Angry Birds,Unknown,5.6,7.8,11.96,no,And,20100101
Angry Birds Epic,Unknown,3.6,7.7,0.74,no,And,20150101
Angry Birds Go,Unknown,7.4,3.0,1.22,no,And,20130101
Angry Birds Star Wars II,Unknown,7.4,9.1,1.6,no,And,20130101
Angry Birds Transformers,Exient Entertainment,9.1,7.2,0.63,no,And,20140101
Angry Birds: Star Wars,Unknown,8.9,8.1,1.86,no,And,20120101
Angry FireBalls,Unknown,6.5,6.3,1.48,no,And,20130101
Animal Boyfriend,Ambition,5.5,1.2,0.4,no,And,20140101
Animas Online,Unknown,7.5,8.4,5.09,no,And,20140101
Anodyne,Analgesic Productions,3.3,7.6,0.54,M,And,20130101
Anomaly 2,Unknown,4.9,3.8,2.73,no,And,20130101
Anomaly Korea,Unknown,5.7,8.4,0.94,no,And,20120101
Anomaly: Warzone Earth,Unknown,6.8,3.3,3.41,no,And,20120101
Antique Road Trip: USA,Unknown,9.5,8.8,0.8,no,And,20130101
Antiquia Lost,Exe Create Inc.,4.9,8.3,2.85,E10,And,20160101
Appointment with F.E.A.R.,Tin Man Games,9.4,8.6,0.92,no,And,20140101
Aralon: Sword and Shadow,Unknown,5.5,3.8,0.01,no,And,20120101
Arcane Legends,Unknown,2.6,8.5,1.47,no,And,20120101
Are You a Dodo?,Chillingo,8.5,2.9,1.0,no,And,20140101
Armello,League of Geeks,8.8,6.9,1.22,E10,And,20150101
Array,Unknown,7.9,7.8,0.88,no,And,20140101
Artemis Spaceship Bridge Simulator,"Incandescent Core, LLC",8.6,6.3,1.19,no,And,20120101
Asphalt 7: Heat,Unknown,4.4,9.0,1.7,no,And,20120101
Asphalt 8: Airborne,Unknown,4.9,5.1,4.11,no,And,20130101
Assassin's Creed: Pirates,Unknown,7.5,7.8,0.62,no,And,20130101
Astro Drop,Gentleman Squid Studio,6.8,6.3,1.92,no,And,20120101
"Astro Junk: It's Space, Garbage and Rapid Fire Fun",Unknown,4.4,8.7,6.06,no,And,20130101
Athletics: Winter Sports,Unknown,7.9,5.0,4.05,no,And,20140101
Atrevete a Sonar,Unknown,6.8,9.8,2.03,no,And,20120101
Attack of the Kraken,Unknown,7.5,6.3,1.64,no,And,20100101
Ava and Avior Save the Earth,Unknown,7.5,4.6,1.29,no,And,20130101
Avengers Alliance,Unknown,8.2,9.7,1.97,no,And,20130101
Avner,Corbomite Games,8.4,9.4,2.44,no,And,20140101
Ayakashi: Ghost Guild,Unknown,8.5,4.9,0.05,no,And,20120101
Back side of the Earth: Pilot Brothers 3,Unknown,7.6,4.4,2.33,no,And,20140101
Bad Piggies,Unknown,4.8,6.8,0.53,no,And,20120101
BADLAND,Frogmind,4.7,6.2,2.88,no,And,20130101
Bakery Story,Unknown,9.0,6.9,1.15,no,And,20100101
Ballet Salon,Unknown,8.7,6.5,1.39,no,And,20140101
Balloon Pop Plus,Unknown,8.0,6.4,1.82,no,And,20120101
Banana Kong,Unknown,7.2,7.3,0.99,no,And,20130101
Band of Monsters,Unknown,0.3,8.0,1.03,no,And,20140101
Bank Escape,Unknown,1.3,8.9,1.7,no,And,20140101
Bardbarian,Unknown,8.4,9.4,0.5,no,And,20140101
Basketball Kings,Unknown,9.5,3.8,4.33,no,And,20140101
Battle Bears Gold,Unknown,4.7,8.4,0.28,no,And,20090101
Battle Cry,Unknown,8.3,3.5,2.75,no,And,20140101
Battle Fleet 2: WW2 in the Pacific,Unknown,4.6,5.6,0.69,no,And,20140101
Battle Run - Real Time Multiplayer Race,Unknown,9.2,8.7,0.65,no,And,20130101
Battleheart,Unknown,5.0,4.6,0.2,no,And,20110101
Battlestone,Unknown,7.8,8.6,2.03,no,And,20130101
Beach Buggy Racing,Vector Unit,7.5,7.4,2.95,no,And,20140101
Bean's Quest,Unknown,5.0,7.1,0.73,no,And,20120101
Beat the Boss,Unknown,6.4,8.3,0.92,no,And,20120101
Beat the Boss 2,Unknown,6.8,9.6,2.58,no,And,20120101
Beat the Boss 3,Unknown,7.7,4.7,0.72,no,And,20130101
Beyond Gravity,Qwiboo,5.8,6.9,1.51,no,And,20140101
Big Time Gangsta,Unknown,6.4,6.8,0.63,no,And,20110101
Big Win Football,Unknown,5.3,7.2,3.74,no,And,20120101
Big Win MLB,Unknown,2.9,9.0,0.63,no,And,20130101
Big Win Racing,Unknown,2.5,7.6,0.54,no,And,20130101
Billionaire Blitz,Unknown,6.9,0.1,0.44,no,And,20140101
Bingo Pop,Uken Games,4.2,8.7,1.94,no,And,20110101
Bionic Heart,Unknown,5.3,8.2,3.06,no,And,20120101
Bird Shoot,Unknown,4.1,8.9,3.22,no,And,20140101
Bird_Hunt,Unknown,5.7,6.5,2.04,no,And,20140101
Black Rainbow,Unknown,8.0,2.6,1.67,no,And,20140101
Blitz Brigade - Online multiplayer shooting action!,Unknown,4.5,9.7,0.11,no,And,20130101
Blocky Roads,Unknown,9.1,8.3,0.15,no,And,20130101
Bomb the Monsters,Unknown,6.5,9.0,0.76,no,And,20140101
Bonsai Blast,Unknown,4.6,7.0,1.94,no,And,20140101
Boulder Dash: 30th Anniversary Edition,Unknown,8.5,8.8,3.0,no,And,20140101
Bowling King,Unknown,4.0,7.4,0.45,no,And,20140101
Brave Brigade,ZQGame,5.4,7.9,1.51,no,And,20140101
Brave Frontier,Unknown,9.8,8.5,4.3,no,And,20130101
Brave Furries,Bulkypix,5.9,9.7,0.35,no,And,20140101
Brave Trials,IGG.com,7.1,1.2,1.72,no,And,20140101
Brick-Force,Unknown,6.9,7.5,1.53,no,And,20200101
Bridge Constructor Medieval,Unknown,7.0,9.5,0.85,no,And,20140101
Bridge Constructor Playground,Unknown,1.8,9.3,0.04,no,And,20120101
Brothers: A Tale of Two Sons,Starbreeze Studios,8.9,0.3,1.18,T,And,20160101
Bubble Fish Party,Bulkypix,2.3,8.5,4.08,no,And,20140101
Bubble Mania,Unknown,3.0,7.2,1.94,no,And,20120101
Bubble Safari,Unknown,7.5,2.4,2.86,no,And,20130101
Bubble Shooter Mania,Unknown,4.8,7.2,1.62,no,And,20140101
Bubble Witch Saga,Unknown,8.1,8.7,1.69,no,And,20120101
Bubble Witch Saga 2,Unknown,4.8,4.8,1.55,no,And,20140101
Bulu Monster,Unknown,9.6,5.1,0.34,no,And,20140101
BUSTED,Unknown,5.9,7.8,3.52,no,And,20130101
Caesars Slots,Unknown,9.2,6.0,1.05,no,And,20130101
Cafeteria Nipponica,Kairosoft Co. Ltd,7.4,6.6,0.73,no,And,20120101
Call of Arena,Unknown,5.3,8.0,0.23,no,And,20130101
Call of Duty: Strike Team,Unknown,1.8,2.6,0.89,no,And,20130101
Can you escape Mermaid Cage 2,Unknown,3.7,6.0,0.08,no,And,20140101
Can you escape Mermaid Cage?,Unknown,6.7,8.0,1.61,no,And,20140101
Candy Crush Saga,King.com,9.1,8.1,1.55,no,And,20120101
Captain America: The Winter Soldier,Unknown,3.2,8.4,3.51,no,And,20140101
Car Town Streets,Unknown,7.0,3.7,3.37,no,And,20130101
Castle Clash,Unknown,6.5,6.5,0.5,no,And,20130101
Cats & Dogs Slots,Unknown,9.2,5.4,1.32,no,And,20140101
Caveboy Escape,Unknown,7.0,6.0,0.3,no,And,20140101
Caveman Wars,Unknown,8.9,8.5,7.1,no,And,20130101
Cavesweeper,Unknown,3.2,9.5,1.2,no,And,20140101
Celebrity Quiz,Unknown,3.7,6.2,4.88,no,And,20130101
Champs: Battlegrounds,Unknown,8.5,0.0,0.36,no,And,20130101
chaos ring II,Unknown,2.4,8.2,1.09,no,And,20130101
Chaos Rings,Unknown,4.9,8.9,2.09,no,And,20120101
Chaos Rings III,Media.Vision,6.6,9.1,0.01,no,And,20140101
Chaos Rings Omega,Unknown,5.4,3.2,1.09,no,And,20110101
Chasing Yello for Tango,Unknown,6.1,9.3,0.4,no,And,20140101
Cheating Tom,Crazy Labs,8.8,0.9,0.27,no,And,20140101
Cheats for Hay Day game,Unknown,7.9,9.7,2.25,no,And,20120101
Chicken Strike,Unknown,9.1,8.6,2.18,no,And,20140101
Choco Blocks,Unknown,8.1,7.8,2.06,no,And,20140101
Choice of the Rock Star,Unknown,6.4,7.6,1.49,no,And,20140101
Christmas Goodies!,Unknown,8.9,6.8,1.1,no,And,20140101
Christmas Salon,Unknown,8.3,8.0,0.58,no,And,20130101
CircleX,Unknown,6.6,8.7,2.5,no,And,20110101
Circus City,Unknown,8.5,9.6,3.98,no,And,20140101
City Encounter,Unknown,3.2,6.3,6.22,no,And,20140101
Clash of Lords,Unknown,8.8,9.3,6.41,no,And,20130101
Clash of Lords 2,Unknown,7.4,9.3,0.24,no,And,20140101
Clear Vision 3,Unknown,7.7,7.1,5.79,no,And,20140101
Close Up Movies,Unknown,7.8,5.0,0.18,no,And,20140101
Close Up Movies,Unknown,7.2,5.8,2.8,no,And,20140101
Close Up Pics,Unknown,4.1,9.9,1.14,no,And,20130101
Cloud Raiders,Unknown,6.3,5.6,2.93,no,And,20140101
Clumsy Bird,Unknown,8.6,4.6,7.18,no,And,20140101
Cocktail,Unknown,5.9,9.3,0.49,no,And,20130101
Coconut Fall,Unknown,4.7,0.2,0.66,no,And,20110101
Coins n Rainbows,Unknown,7.7,6.1,0.29,no,And,20140101
Color 8 Puzzle,Roman Frontage Games LLC,6.5,9.3,3.02,no,And,20160101
Colorings,Unknown,8.2,7.4,2.6,no,And,20140101
Colossatron: Massive World Threat,Unknown,8.3,6.5,2.24,no,And,20130101
Colourfill,Unknown,6.7,7.8,1.47,no,And,20140101
ComicMania: Guess the Shadow,Unknown,4.7,6.5,2.79,no,And,20140101
Contract Killer,Unknown,8.3,6.8,3.21,no,And,20110101
Contract Killer 2,Unknown,8.6,6.6,2.67,no,And,20120101
Cookie Clickers,Unknown,3.1,10.0,1.31,no,And,20130101
Cookie Jam,Unknown,7.9,7.7,1.19,no,And,20140101
Cookies & Milk,Unknown,8.4,8.1,2.61,no,And,20140101
CounterSpy,Dynamighty,7.1,7.3,2.82,no,And,20140101
Country Living,Unknown,9.0,6.0,0.07,no,And,20140101
Crappy the Turd,Unknown,6.0,9.6,4.39,no,And,20140101
Crazy Market,Unknown,7.9,7.6,0.56,no,And,20130101
Crazy Taxi: City Rush,Sega,6.4,9.4,0.53,no,And,20140101
Criminal Legacy,GREE,7.8,8.7,0.98,no,And,20140101
Critter Cross,Unknown,3.0,4.6,2.62,no,And,20140101
Critter Escape,Unknown,4.0,6.7,1.35,no,And,20130101
Cross Horizon,Marvelous Entertainment,8.5,5.5,0.42,no,And,20130101
Crowntakers,Bulwark Studios,9.7,8.6,3.92,no,And,20140101
Cryamore,Unknown,6.2,9.2,0.52,no,And,20150101
Crystareino,Kemco-Seika,5.4,2.7,0.21,no,And,20140101
CSI: Hidden Crimes,Unknown,8.0,8.7,1.56,no,And,20140101
CSR Racing,Unknown,8.4,6.4,2.5,no,And,20130101
Cut the Birds,Unknown,6.1,7.3,1.24,no,And,20130101
Cut the Rope,ZeptoLab,8.1,6.1,2.62,no,And,20110101
Cut the Rope 2,Unknown,4.4,0.8,2.14,no,And,20140101
Cut the Rope: Experiments,Unknown,4.5,5.8,5.57,no,And,20120101
Cut the Rope: Holiday Gift,Unknown,4.0,8.7,0.35,no,And,20100101
Cut the Rope: Time Travel,Unknown,8.7,7.4,3.42,no,And,20130101
Danger Dash,Unknown,8.1,4.5,4.66,no,And,20130101
Dark Legends,Unknown,0.9,9.8,0.68,no,And,19950101
Dark Woods: Curse of Eve,Unknown,6.4,8.4,0.55,no,And,20130101
Darkstone,Unknown,0.0,9.0,1.03,no,And,20140101
Dawn of Titans,NaturalMotion,8.5,7.1,1.56,no,And,20160101
Dawnkeeper: Last Survivors,Unknown,7.1,8.6,0.47,no,And,20140101
Dead Defence,Unknown,7.2,5.5,2.31,no,And,20130101
DEAD TRIGGER 2,Unknown,5.6,1.1,1.77,no,And,20130101
Death Rally (Remake),Unknown,6.4,9.0,2.81,no,And,20110101
Deep Blue Sea,Unknown,7.0,7.3,7.59,no,And,20140101
Deep Loot,Unknown,8.2,3.2,2.28,no,And,20200101
Deer Hunter 2014,Unknown,5.9,4.4,1.07,no,And,20130101
Defenders & Dragons,Unknown,7.9,5.9,0.25,no,And,20140101
Defense Technica,Unknown,7.6,8.2,1.28,no,And,20140101
Defense Zone 2,Unknown,3.4,3.4,3.46,no,And,20120101
Defense: Evolution,Unknown,3.0,9.3,4.5,no,And,20140101
Demon Tribe,Unknown,6.2,1.7,0.85,no,And,20130101
Depths of Betrayal,Unknown,3.8,7.6,0.95,no,And,20130101
Desert Bus,Amateur Pixels,8.5,9.2,2.5,no,And,20130101
Despicable Me: Minion Rush,Unknown,2.3,4.3,2.78,no,And,20130101
Deus Ex GO,Square Enix,2.4,9.3,2.82,no,And,20160101
Deus Ex: The Fall,Unknown,5.3,6.0,7.09,no,And,20140101
Diamond Dash,Unknown,5.7,7.5,2.93,no,And,20110101
Digging Deep: Tap the Blocks,Unknown,2.7,8.6,4.27,no,And,20140101
Dino Hunter: Deadly Shores,Glu Mobile Inc.,8.6,8.9,0.55,no,And,20140101
Disney Checkout Challenege,Disney Interactive Studios,5.6,7.1,1.13,no,And,20140101
Disney Hidden Worlds,Unknown,9.2,2.1,0.97,no,And,20130101
Disney Infinity 3.0,Avalanche Software,9.0,8.3,4.19,E10,And,20150101
Disney Wheres My Valentine?,Unknown,1.3,4.4,0.41,no,And,20120101
DiveBomb Chomp,Unknown,0.7,8.6,0.1,no,And,20140101
Divine Gate,Unknown,6.4,0.5,2.95,no,And,20130101
Dolmus Driver,Unknown,8.2,8.8,2.44,no,And,20130101
Donut County,Unknown,7.1,5.7,1.03,no,And,20180101
Donut Dash!,Unknown,6.1,2.9,3.12,no,And,20140101
Doom & Destiny,Unknown,8.3,8.6,0.07,no,And,20130101
DOORS 4 FREE - room escape -,Unknown,8.1,8.9,4.58,no,And,20140101
Doppler,Unknown,5.1,5.8,1.11,no,And,20140101
Double Fine Adventure (Working Title),Unknown,5.7,9.3,0.49,no,And,20140101
Double Pack Tomb Raider: Legend / Anniversary,Unknown,4.9,8.9,1.13,no,And,20120101
DoubleDown Casino - Slots & Video Poker,Unknown,8.1,8.3,3.71,no,And,20120101
Downhill Supreme 2,Unknown,6.8,8.4,2.72,no,And,20140101
Downtown Mafia,Unknown,3.1,4.4,1.55,no,And,20140101
Dr. Driving,Unknown,9.0,5.1,1.35,no,And,20130101
Dr. Greylord,Unknown,4.7,8.3,0.69,no,And,20140101
Dracula 2: The Last Sanctuary,Unknown,0.9,5.3,1.58,no,And,20120101
Dragon Ball: Hunter,Unknown,8.0,9.4,1.14,no,And,20140101
Dragon Coins,Unknown,3.2,5.3,1.82,no,And,20140101
Dragon Fantasy Book I,Unknown,5.0,6.4,0.87,no,And,20120101
Dragon Fighting Mission RPG,Unknown,4.9,8.5,1.4,no,And,20140101
Dragon Mania,Unknown,7.9,8.0,0.29,no,And,20130101
Dragon Quest X,Square Enix,9.1,8.2,0.85,no,And,20130101
Dragon Realms,Unknown,8.0,9.7,0.91,no,And,20130101
Dragon Story,Unknown,7.4,8.6,3.27,no,And,20120101
Dragons of Atlantis: Heirs of the Dragon,Unknown,6.7,8.5,4.04,no,And,20130101
Dragons World,Unknown,9.3,7.8,0.61,no,And,20130101
dragonvale,Unknown,4.1,6.3,0.6,no,And,20110101
Draw Something,Unknown,8.8,7.6,0.79,no,And,20120101
Dream League Soccer,Unknown,9.2,5.1,0.73,no,And,20130101
DUBWARS,Unknown,7.0,6.3,0.39,no,And,20140101
Ducati Challenge,Unknown,0.3,7.7,0.95,no,And,20110101
Duck Dynasty: Battle of the Beards,Unknown,5.5,8.5,2.57,no,And,20130101
Duck Tail,Unknown,7.0,8.1,0.47,no,And,20140101
DuckTales: Scrooges Loot,Unknown,4.5,8.6,0.26,no,And,20130101
Ducky Doodle 3D,Unknown,6.6,0.3,2.92,no,And,20140101
Dumb Ways to Die,Unknown,0.3,1.2,0.14,no,And,20130101
Dungeon Highway,Unknown,6.2,6.3,7.74,no,And,20140101
Dungeon Hunter 4,Unknown,8.0,3.6,0.26,no,And,20130101
Durango,Unknown,8.6,9.0,1.13,no,And,20150101
EarthNight,cleaversoft,6.9,8.7,0.44,no,And,20190101
Egg Baby,Unknown,9.8,8.9,0.4,no,And,20130101
ELGARD - MORPG,Unknown,0.2,5.7,0.03,no,And,20120101
Elysian Shadows,Elysian Shadows Team,8.0,8.2,6.66,no,And,20160101
Empire Z,Unknown,6.2,6.8,0.13,no,And,20140101
Empire: Four Kingdoms,Unknown,8.0,8.2,1.08,no,And,20130101
End of Serenity,Unknown,9.1,3.5,1.21,no,And,20120101
Epic Skater,Kongregate,6.8,8.8,0.07,no,And,20140101
Episode: Choose Your Story,Unknown,0.7,8.7,3.58,no,And,20140101
Escape - Living Room,Unknown,7.8,8.9,2.67,no,And,20130101
Escape from LaVille,Unknown,4.6,9.9,4.3,no,And,20110101
Escape Quest,Unknown,7.3,5.7,2.09,no,And,20140101
escape story,Unknown,7.6,5.6,0.17,no,And,20140101
Escape The Ape,Unknown,8.9,4.8,1.06,no,And,20130101
Escape the Mansion,Gipnetix Games,4.8,1.4,1.59,no,And,20140101
Escape The Prison Room,Unknown,2.5,7.8,2.67,no,And,20140101
Escape the room: Epidemics,Unknown,8.1,8.8,1.12,no,And,20140101
Eternity Warriors 3,Unknown,7.7,4.7,0.03,no,And,20140101
Evil Defenders,CP Decision Limited,1.0,7.2,0.08,no,And,20140101
Evofish,Unknown,6.8,7.1,3.77,no,And,20130101
Evolution: Battle for Utopia,Unknown,9.0,9.0,6.64,no,And,20140101
Exogenesis: Perils of Rebirth,Kwan,8.8,9.3,3.21,no,And,20150101
Extreme Road Trip 2,Unknown,9.1,5.1,1.48,no,And,20130101
Fail Hard,Unknown,6.1,7.9,2.12,no,And,20140101
Fall Out Bird,Unknown,8.3,5.3,5.15,no,And,20140101
Fallout Shelter,Bethesda Softworks,7.5,8.1,0.26,no,And,20150101
Family Farm Seaside,Unknown,4.0,5.4,5.33,no,And,20130101
Family Feud 2,Ludia,9.8,6.7,1.45,no,And,20140101
Family Guy: The Quest for Stuff,Unknown,7.4,8.8,1.76,no,And,20140101
Fantasy Town,Unknown,5.8,6.8,0.19,no,And,20110101
Farm Defense Puzzle,Unknown,8.6,7.5,0.73,no,And,20140101
Farm Heroes Saga,Unknown,4.4,7.5,0.92,no,And,20140101
Farm Story,Unknown,1.9,9.2,0.59,no,And,20130101
Farming Simulator 2014,Giants Software,7.2,4.9,3.37,no,And,20130101
Farming USA,Unknown,4.8,8.6,6.99,no,And,20140101
FarmVille 2: Country Escape,Unknown,5.9,8.6,1.37,no,And,20140101
Fashion Story,Unknown,7.6,8.0,3.19,no,And,20110101
Fast & Furious 6: The Game,Unknown,7.3,9.7,5.24,no,And,20130101
Fat Princess: Piece of Cake,Sony Computer Entertainment America,5.6,6.9,5.13,no,And,20140101
Ferris Mueller's Day Off,Unknown,4.6,4.9,0.39,no,And,20140101
Ferro: Robot on the Run,Ludobit,5.8,9.5,2.26,no,And,20140101
FIFA 14,EA mobile,1.7,8.4,2.25,no,And,20140101
FIFA 15 Ultimate Team,Unknown,8.8,5.6,0.92,no,And,20140101
Fight of the Castle,Unknown,5.8,7.4,0.65,no,And,20140101
Fighting Fantasy: Starship Traveller,Unknown,3.2,4.2,0.71,no,And,20140101
Film Quiz!Guess the Movie,Unknown,5.6,7.4,1.09,no,And,20130101
Film Quiz!Guess the Movie 2,Unknown,5.1,6.6,2.03,no,And,20140101
Final Fantasy Agito,Square Enix,2.3,4.8,3.95,no,And,20150101
Final Fantasy Artniks Dive,Square Enix,5.5,9.3,0.63,no,And,20160101
Final Fantasy Record Keeper,Square Enix,5.9,9.3,1.02,no,And,20150101
Final Fantasy Tactics,Unknown,2.0,7.2,0.38,no,And,20130101
Final Fantasy VII G-Bike,Square Enix,3.7,7.0,1.63,no,And,20150101
Final Kick,Ivanovich Games,9.2,6.2,1.51,no,And,20140101
Finger VS Axes,Unknown,8.4,6.1,3.68,no,And,20140101
Fishing Paradise 3D,Unknown,8.6,9.7,1.38,no,And,20130101
Fiz: The Brewery Management Game,Unknown,3.7,8.9,0.46,no,And,20130101
Flag Quiz,Unknown,9.2,9.0,2.61,no,And,20140101
Flap for Life,Unknown,0.3,5.2,1.33,no,And,20140101
Flappy Bird,Unknown,7.8,8.7,12.09,no,And,20130101
Flappy Fin & Friends,Unknown,5.5,8.2,0.78,no,And,20140101
Flick Home Run! : Zombies,Unknown,7.3,1.2,2.89,no,And,20140101
Flick Knights,Ballpit Monster,0.4,9.0,3.39,no,And,20140101
Flight Control,Unknown,7.6,9.3,1.97,no,And,20110101
Flip,Unknown,0.9,1.5,0.05,no,And,20140101
Floras,Unknown,7.1,7.0,0.34,no,And,20140101
Flower Farmer,Unknown,3.8,5.7,6.0,no,And,20140101
Flyhunter Origins,Unknown,9.2,6.1,1.16,no,And,20140101
Flying War,Unknown,2.1,5.2,0.27,no,And,20140101
Flying Words,Unknown,4.5,9.7,12.64,no,And,20140101
FlyingSheep,Unknown,0.3,4.4,1.71,no,And,20140101
Food Battle: The Game,Unknown,7.2,6.7,2.64,no,And,20200101
Football Manager 2013,Unknown,8.1,5.1,0.93,no,And,20120101
Football Manager 2015,Sports Interactive,7.2,9.3,0.77,no,And,20200101
Football Manager Handheld 2014,Sports Interactive,9.5,0.9,1.3,no,And,20130101
Fortuna Magus,Unknown,9.0,4.8,5.34,no,And,20140101
Fraction Monkeys,Unknown,3.4,3.1,4.8,no,And,20140101
Frederic: Evil Strikes Back,Unknown,8.6,8.3,0.73,no,And,20140101
FreeCell Deluxe,Unknown,7.4,9.7,1.71,no,And,20120101
Freecell Pro,Unknown,9.4,9.8,3.23,no,And,20120101
Freedom Fall,Unknown,7.5,8.4,2.71,no,And,20130101
Friendly Fire!,Unknown,4.5,9.3,3.59,no,And,20130101
Froggy Splash 2,Unknown,9.3,8.2,0.76,no,And,20140101
Frontline Commando 2,Unknown,1.2,9.4,2.1,no,And,20140101
Frozen Free Fall,Unknown,6.8,8.9,2.45,no,And,20130101
Fruit Moves,Unknown,8.7,3.6,1.7,no,And,20140101
Fruit Ninja,Unknown,6.0,7.2,0.92,no,And,20100101
Fun Ways to Pun,Unknown,3.9,5.1,1.09,no,And,20140101
Fun Ways to Sing,Unknown,8.3,9.0,0.76,no,And,20140101
Funky Smugglers,Unknown,6.1,8.9,6.46,no,And,20120101
Fuzion Pirates,Unknown,2.9,6.1,0.34,no,And,20140101
Galaxy Legend,Unknown,2.7,9.1,1.54,no,And,20130101
Gang Lords,Unknown,5.0,8.5,0.83,no,And,20130101
Ganja Farm,Unknown,7.0,9.8,0.98,no,And,20140101
Gekitotsu! Break Gakuen,Eighting,8.2,6.8,0.31,no,And,20140101
Gems With Friends,Unknown,1.4,7.3,0.28,no,And,20120101
Geometry Dash,Unknown,5.1,6.5,1.07,no,And,20130101
Get Water!,Unknown,4.0,7.3,4.73,no,And,20140101
Ghost PangPang,eFusion MMOG GmbH,7.7,5.1,2.42,no,And,20140101
Ghostbusters Paranormal Blast,XMG Studio Inc.,8.0,6.4,0.32,no,And,20120101
Ginsei Shogi: Fuuun Ryuuko Raiden,Unknown,1.7,9.1,0.41,no,And,20140101
Glacier Rush,SuperVillain Studios,5.7,8.8,2.23,no,And,20140101
Glint,Unknown,5.6,9.7,1.43,no,And,20140101
Glory of Generals,Unknown,8.3,9.2,5.65,no,And,20130101
