name,developer,ucs,user,sale,rating,platform,date
AquaPazza: AquaPlus Dream Match,Unknown,6.7,9.2,0.22,no,Arc,20110101
Blade Arcus from Shining,Unknown,4.9,7.4,0.54,no,Arc,20140101
BlazBlue: Central Fiction,Arc System Works,5.5,7.8,0.43,T,Arc,20150101
BlazBlue: Chrono Phantasma,Arc System Works,9.3,8.6,0.13,no,Arc,20120101
Burnout Anthology,Unknown,8.8,5.9,1.05,no,Arc,19900101
Daytona USA 2: Battle on the Edge,Unknown,7.3,8.4,0.36,no,Arc,19980101
Dead or Alive 5,Unknown,5.4,9.3,0.71,no,Arc,20140101
DeathSmiles,Unknown,7.1,9.0,0.43,no,Arc,20070101
Die Hard Arcade,Unknown,8.0,9.0,1.59,no,Arc,19960101
Dissidia: Final Fantasy (Arcade),Square Enix,7.0,7.6,10.78,no,Arc,20160101
Dungeons & Dragons: Shadow over Mystara,Unknown,0.4,2.0,1.29,no,Arc,19960101
Dungeons & Dragons: Tower of Doom,Unknown,5.3,4.5,1.44,no,Arc,19930101
Dynamite Cop!,Unknown,7.2,6.5,0.96,no,Arc,19980101
Final Fight,Unknown,8.2,6.8,0.0,no,Arc,19890101
Freecell+,Unknown,3.7,8.5,6.82,no,Arc,19930101
Ghosts 'n Goblins,Unknown,7.9,4.3,0.55,no,Arc,19850101
Guilty Gear Xrd: Sign,Arc System Works,8.6,6.7,0.23,T,Arc,20140101
Jojo's Bizarre Adventure,Unknown,3.6,7.7,0.5,no,Arc,19980101
Metal Slug,Unknown,6.9,9.0,2.81,no,Arc,19960101
Mortal Kombat,Midway,7.2,7.5,3.25,no,Arc,19920101
Mortal Kombat 4,Eurocom Entertainment Software,8.3,6.5,0.23,no,Arc,19970101
Mortal Kombat II,Midway,2.2,7.4,1.66,no,Arc,19930101
NASCAR Racing Online Series,Unknown,4.9,4.7,0.8,no,Arc,20070101
Pac-Man,Unknown,9.0,8.8,0.25,no,Arc,19800101
Persona 4: Arena,Unknown,6.3,8.7,0.91,no,Arc,20120101
Persona 4: The Ultimax Ultra Suplex Hold,Unknown,4.1,8.8,1.44,no,Arc,20130101
Pokken Tournament,Namco Bandai Games,5.7,8.2,0.15,no,Arc,20150101
Pole Position,Unknown,5.8,3.1,2.14,no,Arc,19820101
Silent Scope: Bone Eater,Unknown,2.0,7.1,1.41,no,Arc,20150101
Soul Blade,Unknown,9.5,9.1,5.28,no,Arc,19960101
SoulCalibur,Unknown,1.4,5.7,0.06,no,Arc,19980101
SoulCalibur II,Unknown,7.5,8.1,1.43,no,Arc,20020101
Stargate,Unknown,3.7,9.5,1.69,no,Arc,19810101
Street Fighter,Unknown,7.2,9.7,0.36,no,Arc,19870101
Tekken 7,Namco Bandai Games,6.4,9.2,0.23,no,Arc,20150101
The King of Fighters '97,Unknown,1.0,9.1,4.03,no,Arc,19970101
Theatrhythm Final Fantasy: All-Star Festival,Square Enix,0.3,8.6,0.66,no,Arc,20200101
Twin Cobra,Unknown,9.3,8.9,1.14,no,Arc,19870101
Under Night In-Birth,Ecole Software,5.2,6.1,0.6,no,Arc,20120101
