name,developer,ucs,user,sale,rating,platform,date
Age of Warring Empire,Unknown,3.9,6.9,0.3,no,BRW,20130101
Amnesia Twin Pack,Unknown,5.5,6.9,2.03,no,BRW,20110101
Angry Birds Free,Unknown,5.5,8.4,0.27,no,BRW,20100101
Atlantis Adventure,Unknown,6.0,3.2,0.76,no,BRW,20130101
Atrevete a Sonar,Unknown,7.0,9.9,1.09,no,BRW,20120101
Avengers Alliance,Unknown,2.0,9.1,1.92,no,BRW,20120101
Battle Camp,Unknown,7.4,7.8,0.54,no,BRW,20130101
BigHead Bash,Unknown,5.3,8.1,4.77,no,BRW,20120101
Bubble Safari,Unknown,8.4,6.5,0.12,no,BRW,20120101
Bubble Witch Saga,Unknown,8.7,8.9,1.21,no,BRW,20110101
Bulu Monster,Unknown,7.6,9.4,0.36,no,BRW,20130101
Caesars Slots,Unknown,8.4,5.2,6.72,no,BRW,20120101
Cafeland,Unknown,4.2,6.7,0.2,no,BRW,20120101
Candy Crush Saga,King.com,5.8,9.7,1.44,no,BRW,20120101
Car Town,Unknown,6.6,9.3,0.09,no,BRW,20100101
CastleVille,Unknown,8.5,1.9,0.28,no,BRW,20110101
ChefVille,Unknown,2.7,7.4,3.07,no,BRW,20120101
Cloud Raiders,Unknown,8.8,9.8,0.52,no,BRW,20140101
CoasterVille,Unknown,0.1,9.1,0.63,no,BRW,20120101
Criminal Case,Unknown,8.6,7.5,2.77,no,BRW,20120101
Diamond Dash,Unknown,9.3,9.6,1.41,no,BRW,20120101
Disney City Girl,Unknown,8.8,6.6,0.79,no,BRW,20120101
DoubleDown Casino - Slots & Video Poker,Unknown,3.7,4.0,4.38,no,BRW,20120101
Dragon City,Unknown,5.1,7.9,9.02,no,BRW,20120101
Dragons & Titans,Unknown,7.9,0.9,1.73,no,BRW,20130101
Farm Heroes Saga,Unknown,8.7,7.5,2.27,no,BRW,20130101
Game of Thrones Ascent,Unknown,7.9,7.0,1.76,no,BRW,20130101
Gold Fish Casino Slots,Williams Electronics,6.1,5.9,2.09,no,BRW,20150101
Gourmet Ranch,Unknown,9.2,8.2,3.1,no,BRW,20100101
Happy Pets,Unknown,2.6,8.2,1.81,no,BRW,20090101
Here Be Monsters,Unknown,6.2,4.1,0.33,no,BRW,20120101
Hero Zero,Unknown,8.1,5.4,0.06,no,BRW,20120101
Hit it Rich! Free Casino Slots,Unknown,8.2,6.1,1.33,no,BRW,20130101
Jelly Splash,Unknown,6.1,6.4,0.67,no,BRW,20130101
Kitchen Scramble,Unknown,9.1,8.2,2.59,no,BRW,20130101
Mahjong Zen,Social Point,8.0,8.5,0.19,no,BRW,20110101
Make 10,Unknown,3.5,7.3,1.33,no,BRW,20110101
Monster Legends,Unknown,5.6,6.6,4.72,no,BRW,20130101
Mutants Genetic Gladiator,Unknown,2.3,8.7,0.47,no,BRW,20130101
Mutants: Genetic Gladiators,Unknown,2.8,1.4,0.62,no,BRW,20130101
My Muppets Show,Unknown,9.3,8.4,1.71,no,BRW,20130101
Papa Pear Saga,Unknown,6.5,3.4,10.19,no,BRW,20130101
Pepper Panic Saga,Unknown,9.1,3.6,0.93,no,BRW,20130101
Pet Rescue Saga,Unknown,8.6,8.4,0.01,no,BRW,20120101
Plants vs. Zombies Adventures,Unknown,8.0,7.6,5.01,no,BRW,20130101
Poker by Zynga,Unknown,7.3,6.5,0.93,no,BRW,20100101
Pool Live Tour,Unknown,7.5,7.8,1.31,no,BRW,20120101
Robot Unicorn Attack,Unknown,3.7,7.6,1.76,no,BRW,20100101
Royal Story,Unknown,4.8,5.4,2.4,no,BRW,20130101
Shadowbound,R2Games,7.0,9.3,7.77,no,BRW,20140101
Slots - Titans Way,Unknown,7.3,7.7,2.75,no,BRW,20130101
Solitaire Blitz,Unknown,8.9,8.5,0.4,no,BRW,20120101
StreetRace Rivals,Unknown,8.3,0.3,2.16,no,BRW,20130101
The Great Giana Sisters,Unknown,8.5,0.9,4.32,no,BRW,19870101
The Hunger Games Adventures,Unknown,0.0,7.9,2.96,no,BRW,20120101
The Tribez,Unknown,1.8,8.5,3.24,no,BRW,20120101
Throne Rush,Unknown,2.6,6.8,1.88,no,BRW,20130101
TrainStation,Unknown,6.9,8.6,1.22,no,BRW,20120101
Village Life,Unknown,8.8,2.1,0.26,no,BRW,20120101
Virtual City 2: Paradise Resort,Unknown,9.0,5.7,0.7,no,BRW,20120101
War of Thrones,Unknown,2.3,0.7,1.74,no,BRW,20110101
Words of Wonder,Unknown,3.1,7.2,0.27,no,BRW,20130101
Zuma Blitz,Unknown,9.4,9.3,3.36,no,BRW,20100101
