name,developer,ucs,user,sale,rating,platform,date
After Burner,Unknown,9.2,8.2,0.75,no,C64,19890101
Alien,Unknown,4.9,4.0,0.28,no,C64,19840101
Alien 3,Unknown,7.6,6.2,3.03,no,C64,19920101
Auf Wiedersehen Monty: ZX Spectrum,Unknown,7.9,6.9,2.5,no,C64,19870101
Decathlon,Unknown,5.8,8.2,7.82,no,C64,19860101
Die Hard 2: Die Harder,Unknown,7.6,7.6,0.49,no,C64,19910101
Doomdark's Revenge,Unknown,9.8,4.9,1.18,no,C64,19850101
Elite,Unknown,6.1,9.0,0.4,no,C64,19850101
Final Fight,Unknown,9.3,6.5,2.37,no,C64,19910101
Ghostbusters,Unknown,7.0,9.5,1.51,no,C64,19840101
Ghosts 'n Goblins,Unknown,7.7,6.8,0.23,no,C64,19860101
Howard the Duck,Unknown,5.7,8.5,0.87,no,C64,19860101
Impossamole,Unknown,1.8,5.6,3.26,no,C64,19900101
Impossible Mission,Unknown,7.3,8.1,0.93,no,C64,19840101
Kindan no Byoutou,Unknown,6.4,7.8,1.57,no,C64,19910101
King's Bounty,Unknown,0.8,8.5,0.59,no,C64,19900101
Monty on the Run,Unknown,6.6,8.6,6.07,no,C64,19850101
Pole Position,Unknown,7.6,9.4,5.75,no,C64,19840101
Predator,Unknown,5.0,1.5,0.03,no,C64,19880101
Star Trek: The Rebel Universe,Unknown,8.2,8.4,3.62,no,C64,19870101
Stargate,Unknown,9.1,9.1,0.84,no,C64,19850101
Sword of Fargoal,Unknown,6.8,5.6,0.67,no,C64,19830101
T2: The Arcade Game,Unknown,3.7,5.9,4.08,no,C64,19870101
The Activision Decathlon,Unknown,8.5,9.0,0.99,no,C64,19840101
The Great Giana Sisters,Unknown,3.4,7.0,1.11,no,C64,19870101
The Lords of Midnight,Unknown,8.5,7.4,3.24,no,C64,19840101
Throne of Fire,Unknown,9.0,8.6,1.33,no,C64,19860101
Wanted: Monty Mole,Unknown,6.9,8.7,1.96,no,C64,19840101
War in Middle Earth,Unknown,1.3,7.1,7.78,no,C64,19890101
Wishbringer,Unknown,6.0,7.5,0.83,no,C64,19850101
Wizball,Unknown,8.9,7.5,1.07,no,C64,19870101
