name,developer,ucs,user,sale,rating,platform,date
Sonic Adventure,Sonic Team,8.9,7.3,2.42,E,DC,19990101
Crazy Taxi,Hitmaker,9.3,9.2,1.81,T,DC,20000101
NFL 2K,Visual Concepts,9.7,9.1,1.2,E,DC,19990101
Shenmue,Sega-AM2,8.9,5.7,1.07,T,DC,20000101
Resident Evil - Code: Veronica,Capcom,9.2,4.9,2.34,M,DC,20000101
NFL 2K1,Visual Concepts,9.6,2.4,1.09,E,DC,20000101
Seaman,VIVARIUM Inc.,8.1,7.2,0.52,T,DC,20000101
Sega Rally Championship 2,Sega-AM3,8.5,6.3,0.41,E,DC,19990101
Virtua Fighter 3tb,Sega,8.1,8.6,0.37,T,DC,19990101
J-League Pro Soccer Club o Tsukurou!,Smilebit,6.9,8.4,0.36,no,DC,19990101
SoulCalibur,Namco,9.6,6.1,0.34,T,DC,19990101
Sakura Wars 3: Paris wa Moeteiru ka,Overworks,5.3,9.4,0.33,no,DC,20010101
Virtua Striker 2,Sega,8.9,8.9,0.32,E,DC,20000101
"Sakura Wars 4: Koi Seyo,Otome",Overworks,8.6,9.3,0.29,no,DC,20020101
The House of the Dead 2,Wow Entertainment,7.5,4.8,0.26,M,DC,19990101
Pro Yakyuu Team o Tsukurou!,Smilebit,8.4,7.2,0.23,no,DC,19990101
Capcom vs. SNK,Capcom,8.8,8.2,0.22,T,DC,20000101
Phantasy Star Online,Sonic Team,8.9,8.8,0.2,T,DC,20010101
Grandia II,Game Arts,8.6,9.4,0.2,T,DC,20000101
Phantasy Star Online Ver. 2,Sonic Team,8.3,7.6,0.19,T,DC,20010101
Soccer Tsuku Tokudai Gou: J-League Pro Soccer Club o Tsukurou,Smilebit,9.0,8.4,0.18,no,DC,20000101
Tokyo Xtreme Racer,Genki,5.8,6.7,0.17,E,DC,19990101
Shenmue II,Sega-AM2,8.7,8.7,0.15,no,DC,20010101
Power Stone,Capcom,8.6,8.8,0.14,T,DC,19990101
Marvel vs. Capcom 2,Capcom,9.0,4.9,0.14,T,DC,20000101
Dead or Alive 2,Team Ninja,9.0,9.1,0.14,T,DC,20000101
Sega GT,TOSE Software,7.8,8.5,0.13,E,DC,20000101
Capcom vs. SNK 2: Millionaire Fighting 2001,Capcom,5.5,9.4,0.12,no,DC,20010101
Sonic Adventure 2,Sonic Team,8.9,5.1,0.12,E,DC,20010101
Sakura Wars,Overworks,7.6,8.8,0.11,no,DC,20000101
The King of Fighters: Dream Match 1999,SNK Corporation,7.2,9.2,0.1,T,DC,19990101
Blue Stinger,Climax Entertainment,6.7,8.7,0.1,M,DC,19990101
Marvel vs. Capcom: Clash of Super Heroes,Capcom,8.5,8.3,0.1,T,DC,19990101
"Sakura Wars 2: Kimi, Shinitamou koto Nakare",Overworks,8.9,5.2,0.1,no,DC,20000101
Skies of Arcadia,Overworks,9.2,9.5,0.09,T,DC,20000101
Sega Bass Fishing,Sega-AM1,6.5,2.0,0.09,no,DC,19990101
Derby Tsuku: Derby Uma o Tsukurou!,Sega,8.7,4.7,0.08,no,DC,20000101
Godzilla Generations,General Entertainment,3.2,8.5,0.08,no,DC,19980101
Sentimental Graffiti 2,NEC Interchannel,3.9,8.9,0.08,no,DC,20000101
The King of Fighters: Evolution,SNK Corporation,7.6,5.4,0.07,T,DC,20010101
Crazy Taxi 2,Hitmaker,8.3,4.3,0.07,T,DC,20010101
July,Fortyfive,4.8,7.8,0.06,no,DC,19980101
Kanon,Key,4.7,6.6,0.06,no,DC,20000101
PenPen TriIceLon,Team Land Ho!,5.8,0.7,0.06,E,DC,19990101
Jikkyou Powerful Pro Yakyuu DreamCast Edition,Diamond Head,1.6,5.1,0.06,no,DC,20000101
The Typing of the Dead,Smilebit,8.6,8.7,0.05,M,DC,20010101
NBA 2K,Visual Concepts,8.9,7.9,0.05,E,DC,19990101
Capcom vs. SNK: Millennium Fight 2000 Pro,Capcom,6.9,3.6,0.05,no,DC,20010101
Gundam Battle Online,Bandai,4.7,8.9,0.04,no,DC,20010101
Pia Carrot e Youkoso!! 2.5,Cocktail Soft,8.1,6.5,0.04,no,DC,20080101
Fighting Vipers 2,Sega-AM2,8.7,6.0,0.04,no,DC,20010101
Triggerheart Exelica,Warashi Inc.,7.1,5.6,0.02,no,DC,20070101
18 Wheeler: American Pro Trucker,Sega-AM2,7.4,6.3,0.27,E,DC,20010101
21: TwoOne,Princess Soft,7.6,9.5,4.01,no,DC,20010101
4 Wheel Thunder,Kalisto,8.1,8.4,5.73,E,DC,20000101
4x4 Evolution,Terminal Reality,7.9,5.5,1.94,E,DC,20000101
90 Minutes: Sega Championship Football,Smilebit,8.0,9.4,5.58,no,DC,20010101
Advanced Daisenryaku 2001,SystemSoft,9.3,7.8,1.91,no,DC,20010101
Advanced Daisenryaku: Europe no Arashi - Doitsu Dengeki Sakusen,SystemSoft,6.8,7.5,0.87,no,DC,20000101
Aero Dancing F: Todoroki Tsubasa no Hatsu Hikou,CRI,8.0,9.4,1.6,no,DC,20000101
Aero Dancing i: Jikai Sakuma de Machite Masen,CRI,5.0,2.6,3.13,no,DC,20010101
Aero Dancing: Torodoki Taichou no Himitsu Disc,CRI,9.8,3.3,3.45,no,DC,20000101
AeroWings,CRI,7.4,8.8,2.04,E,DC,19990101
AeroWings 2: Airstrike,CRI,8.1,6.7,2.85,E,DC,20000101
After...,Pione Soft,4.6,7.8,7.3,no,DC,20040101
Aikagi,S-Neo,9.9,6.5,5.28,no,DC,20030101
AIR,Key,7.1,7.7,0.23,no,DC,20010101
AirForce Delta,KCE Studios,7.2,7.5,0.85,E,DC,19990101
Akihabara Dennou Kumi Peta Pies!,Sega,8.3,7.1,0.7,no,DC,19990101
Alien Front Online,Sega,7.8,1.5,0.61,T,DC,20010101
Alone in the Dark: The New Nightmare,Darkworks,7.4,8.2,0.98,M,DC,20010101
Angel Present,NEC Interchannel,8.3,4.5,0.19,no,DC,20010101
Angel Wish,Pione Soft,8.7,5.7,0.56,no,DC,20050101
Animastar,Aki Corporation,8.1,9.0,2.68,no,DC,20000101
Aoi Hagane no Kihei: Space Griffon,Panther Software,4.0,6.7,6.97,no,DC,19990101
Aqua GT,East Point Software LTD,5.0,8.2,3.96,no,DC,20000101
Armada,Metro3D,8.3,6.0,4.83,E,DC,19990101
Army Men: Sarge's Heroes,Midway,5.9,2.3,0.51,T,DC,20000101
Atari Anniversary Edition,Digital Eclipse,5.1,5.6,0.67,E,DC,20010101
Atsumare! GuruGuru Onsen,Overworks,4.7,8.9,2.26,no,DC,19990101
Atsumare! GuruGuru Onsen BB,Overworks,9.0,9.2,0.7,no,DC,20000101
Baldr Force EXE,Alchemist,4.9,4.8,0.33,no,DC,20040101
Bang! Gunship Elite,Red Storm Entertainment,7.2,9.8,0.05,E,DC,20000101
Bangai-O,"Treasure Co., Ltd.",8.7,6.2,4.69,E,DC,20010101
BassRush Dream,Visco,9.1,7.9,3.71,no,DC,20000101
Battle Beaster,Studio Wonder Effect,2.6,8.5,3.47,no,DC,20010101
Battle Tank Simulator Panzer Front,Enterbrain,9.4,8.0,3.91,no,DC,19990101
BikkuriMan 2000 Viva! Festival!,Sega Toys,7.5,4.7,0.69,no,DC,20000101
BioHazard Code: Veronica Kanzenban,Capcom,8.5,6.8,2.12,no,DC,20010101
Black/Matrix Advanced,Flight-Plan,6.7,7.9,1.14,no,DC,19990101
bleem! Gran Turismo 2,bleem!,3.8,8.6,0.51,no,DC,20010101
bleemcast! Metal Gear Solid,bleem!,3.9,4.6,0.82,no,DC,20010101
bleemcast! Tekken 3,bleem!,0.4,9.1,3.02,no,DC,20010101
Blue Sky Blue,Reindeer,3.2,8.0,0.49,no,DC,20030101
Blue Submarine No. 6: Saigetsu Fumahito- Time and Tide,Sega,1.5,6.0,0.0,no,DC,20000101
Boko Yume no Tatsujin,Fujicom,9.0,4.8,3.67,no,DC,20020101
Boku no Tennis Jinsei,Binbou Soft,2.4,9.3,2.77,no,DC,20010101
Boku to Bokura no Natsu,KID,7.3,2.8,2.38,no,DC,20020101
"Boku, Doraemon",Sega,7.2,2.8,0.65,no,DC,20010101
Bomber Hehhe,Fujicom,8.9,9.0,1.4,no,DC,20020101
Bomberman Online,Hudson Soft,8.4,1.7,1.78,E,DC,20010101
Border Down,G.Rev,6.0,2.8,7.01,no,DC,20030101
Bounty Hunter Sara: Holy Mountain no Teiou,Flagship,5.8,6.7,0.48,no,DC,20010101
Bust-A-Move 4,Taito Corporation,8.2,1.8,0.99,E,DC,20000101
Buzz Lightyear of Star Command,Traveller's Tales,5.2,9.2,1.72,E,DC,20000101
Caesars Palace 2000: Millennium Gold Edition,Runecraft,2.5,7.6,3.86,E,DC,20000101
