name,developer,ucs,user,sale,rating,platform,date
New Super Mario Bros.,Nintendo EAD,9.1,8.1,2.78,E,DS,20060101
Nintendogs,Nintendo EAD,8.4,8.4,0.21,E,DS,20050101
Mario Kart DS,Nintendo EAD,9.1,9.4,4.44,E,DS,20050101
Brain Age: Train Your Brain in Minutes a Day,Nintendo SDD,8.1,5.4,0.51,E,DS,20060101
Pokemon Diamond / Pearl Version,Game Freak,8.6,8.6,0.49,E,DS,20070101
Pokemon Black / White Version,Game Freak,8.6,9.0,0.38,E,DS,20110101
Brain Age 2: More Training in Minutes a Day,Nintendo SDD,8.0,7.0,2.73,E,DS,20070101
Pokemon Heart Gold / Soul Silver Version,Game Freak,8.6,9.1,2.2,E,DS,20100101
Animal Crossing: Wild World,Nintendo EAD,8.5,9.7,3.2,E,DS,20050101
Super Mario 64 DS,Nintendo EAD,8.6,4.3,0.17,E,DS,20040101
Mario Party DS,Hudson Soft,7.1,9.1,1.58,E,DS,20070101
Pokemon Black 2 and White 2,Game Freak,8.0,8.3,5.16,E,DS,20120101
Pokemon Platinum Version,Game Freak,8.3,8.9,0.51,E,DS,20090101
Big Brain Academy,Nintendo EAD,7.7,1.5,0.86,E,DS,20060101
Cooking Mama,Office Create,6.6,7.6,5.66,E,DS,20060101
Dragon Quest IX: Sentinels of the Starry Skies,Level 5,8.6,9.7,4.22,E10,DS,20100101
Mario & Sonic at the Olympic Games,Sega,7.0,8.6,5.1,E,DS,20080101
Pokemon Mystery Dungeon: Explorers of Time / Darkness,ChunSoft,6.4,9.0,1.83,E,DS,20080101
LEGO Star Wars: The Complete Saga,Traveller's Tales,7.8,8.0,4.77,E,DS,20070101
The Legend of Zelda: Phantom Hourglass,Nintendo EAD,9.1,8.6,0.06,E,DS,20070101
Mario & Luigi: Bowser's Inside Story,AlphaDream Corporation,9.1,7.2,0.46,E,DS,20090101
Professor Layton and the Curious Village,Level 5,8.7,2.4,1.05,E,DS,20080101
English Training: Have Fun Improving Your Skills!,Plato,9.0,6.9,3.56,no,DS,20060101
Professor Layton and the Diabolical Box,Level 5,8.5,0.1,0.71,E10,DS,20090101
Tomodachi Collection,Nintendo SPD Group No.1,8.3,8.1,0.3,no,DS,20090101
MySims,EA Redwood Shores,6.7,8.0,3.66,E,DS,20070101
Cooking Mama 2: Dinner With Friends,Office Create,6.9,8.8,3.58,E,DS,20070101
Pokemon Mystery Dungeon: Blue Rescue Team,ChunSoft,6.3,9.3,0.47,E,DS,20060101
Mario & Sonic at the Olympic Winter Games,Sega,7.6,7.6,3.47,E,DS,20090101
Guitar Hero: On Tour,Vicarious Visions,7.1,8.1,3.46,E10,DS,20080101
Yoshi's Island DS,Artoon,8.2,8.0,4.79,E,DS,20060101
Flash Focus: Vision Training in Minutes a Day,Bandai Namco Games,6.1,6.1,0.28,E,DS,20070101
Personal Trainer: Cooking,Nintendo EAD,8.4,9.4,1.33,E,DS,20080101
Club Penguin: Elite Penguin Force,1st Playable Productions,7.0,9.4,3.14,E,DS,20080101
LEGO Batman: The Videogame,Traveller's Tales,7.8,9.1,3.06,E10,DS,20080101
Rhythm Heaven,Nintendo SPD Group No.1,8.5,7.8,0.62,E,DS,20090101
Professor Layton and the Unwound Future,Level 5,8.4,7.9,3.96,E10,DS,20100101
Sonic Rush,Dimps Corporation,7.8,6.6,0.02,E,DS,20050101
Kirby Super Star Ultra,HAL Laboratory,7.3,9.0,1.89,E,DS,20080101
Mario vs. Donkey Kong: Mini-Land Mayhem!,Nintendo Software Technology Corporation,7.8,5.0,0.81,E,DS,20100101
Style Savvy,syn Sophia,7.6,9.1,1.81,E,DS,20090101
The Legend of Zelda: Spirit Tracks,Nintendo EAD,8.7,4.9,1.84,E10,DS,20090101
Pokemon Ranger,HAL Laboratory,6.6,5.8,4.67,E,DS,20060101
Imagine: Babyz,Visual Impact,3.5,8.0,2.87,no,DS,20070101
Imagine: Fashion Designer,Virtual Toys / Lexis Numerique,3.0,9.8,2.81,E,DS,20070101
Tetris DS,Nintendo,8.5,0.9,0.71,E,DS,20060101
Hannah Montana,DC Studios,6.5,4.4,2.65,E,DS,20060101
Clubhouse Games,Agenda,8.3,9.3,2.08,E,DS,20060101
WarioWare Touched!,Intelligent Systems,7.8,7.2,1.84,E,DS,20050101
Pokemon Ranger: Shadows of Almia,HAL Laboratory,6.7,5.0,1.18,E,DS,20080101
Art Academy,Headstrong Games,6.8,7.9,0.39,E,DS,20100101
Final Fantasy III,Matrix Software,7.4,8.9,1.27,E10,DS,20060101
LEGO Harry Potter: Years 1-4,Traveller's Tales,8.0,8.7,2.29,E10,DS,20100101
Kirby Squeak Squad,"HAL Laboratory, Flagship",7.3,6.7,1.51,E,DS,20060101
LEGO Indiana Jones: The Original Adventures,Traveller's Tales,0.9,6.1,2.2,E,DS,20080101
High School Musical: Makin' the Cut!,Artificial Mind and Movement,7.3,9.8,2.2,E,DS,20070101
Scribblenauts,5TH Cell,8.2,6.8,2.17,E10,DS,20090101
Inazuma Eleven 3: Lightning Bolt / Bomb Blast / Team Ogre Attacks!,Level 5,1.3,2.5,0.31,no,DS,20100101
The Sims 2: Pets,Maxis,4.8,4.3,2.07,E,DS,20060101
Professor Layton and the Last Specter,Level 5,8.4,4.9,0.64,E10,DS,20110101
Toy Story 3: The Video Game,Avalanche Software,8.4,8.0,2.06,E,DS,20100101
Carnival Games,Cat Daddy Games,8.2,4.9,2.04,E,DS,20080101
Mario Hoops 3 on 3,Square Enix,7.1,7.0,0.34,E,DS,20060101
Dragon Quest Monsters: Joker 2,TOSE Software,8.1,4.1,0.28,E10,DS,20110101
