name,developer,ucs,user,sale,rating,platform,date
101 Pinball World,Unknown,8.6,4.8,6.73,no,DSi,20120101
3 Heroes Crystal Soul,Unknown,8.3,7.2,0.42,no,DSi,20120101
"3, 2, 1... WordsUp!",Unknown,0.4,9.1,0.14,no,DSi,20120101
40-in-1 Explosive Megamix,Unknown,7.7,3.1,8.38,no,DSi,20120101
90's Pool,Unknown,8.3,5.1,0.66,no,DSi,20120101
Aahh! Spot the Difference,Unknown,9.2,7.3,0.04,no,DSi,20120101
Abyss,Unknown,7.6,8.2,0.17,no,DSi,20120101
Academy: Checkers,Unknown,4.1,7.8,1.71,no,DSi,20110101
Ace Mathician,Unknown,6.5,6.0,0.07,no,DSi,20120101
Animal Boxing,Akaoni Studio,5.1,1.2,1.47,no,DSi,20110101
Anonymous Notes Chapter 3: From The Abyss,Unknown,8.2,9.8,0.81,no,DSi,20110101
ANONYMOUS NOTES CHAPTER 4 - FROM THE ABYSS,Unknown,7.6,5.1,1.21,no,DSi,20110101
Bookstore Dream,Unknown,7.5,3.5,0.58,no,DSi,20120101
Bookworm,Unknown,5.9,9.8,0.96,no,DSi,20090101
Box Pusher,Unknown,3.7,9.4,1.94,no,DSi,20120101
Cake Ninja,Unknown,6.6,9.0,2.85,no,DSi,20110101
Candle Route,Unknown,5.6,2.2,3.8,no,DSi,20120101
Castle Conqueror Against,Unknown,1.6,9.5,4.0,no,DSi,20110101
Cat Frenzy,Unknown,5.3,6.2,2.23,no,DSi,20120101
Chess Pro,Unknown,5.3,8.3,0.89,no,DSi,20130101
Christmas Wonderland,Unknown,9.1,7.9,2.61,no,DSi,20120101
Chuck E. Cheese's Alien Defense Force,Unknown,9.5,2.9,1.89,no,DSi,20120101
Color Commando,Unknown,6.4,8.3,3.65,no,DSi,20130101
Come On! Dragons,Unknown,6.9,7.0,2.51,no,DSi,20120101
Crazy Chicken Pirates 3D,Unknown,7.1,0.9,2.33,no,DSi,20120101
Crazy Hunter,Unknown,3.5,8.0,2.0,no,DSi,20120101
Crystal Caverns of Amon-Ra,Unknown,5.6,4.4,1.74,no,DSi,20110101
Curling Super Championship,Unknown,6.5,9.5,2.13,no,DSi,20120101
Cute Witch! runner,Unknown,8.7,8.6,0.02,no,DSi,20130101
Decathlon 2012,Unknown,7.6,7.2,0.6,no,DSi,20120101
Deep Sea Creatures,Unknown,3.0,8.8,0.8,no,DSi,20140101
Devil Band - Rock the Underworld,Unknown,5.9,8.5,2.27,no,DSi,20120101
