name,developer,ucs,user,sale,rating,platform,date
1001 Blockbusters,SelectSoft,7.0,9.5,3.82,no,DSiW,20110101
1001 Crystal Mazes Collection,Teyon Entertainment,6.8,6.7,0.67,E,DSiW,20100101
101 Dolphin Pets,Teyon Entertainment,9.2,8.1,1.22,E,DSiW,20110101
101 MiniGolf World,Teyon Entertainment,2.8,9.8,0.24,E,DSiW,20100101
101 Shark Pets,Teyon Entertainment,7.3,7.6,4.88,E,DSiW,20100101
16 Shot! Shooting Watch,Hudson Soft,9.7,4.7,4.68,E,DSiW,20100101
1950s Lawn Mower Kids,Zordix AB,4.5,4.3,1.8,no,DSiW,20110101
200V Challenge Spirit Mahjong,Tasuke,8.8,5.5,0.07,no,DSiW,20090101
21: Blackjack,Digital Leisure Inc.,8.4,6.1,7.54,T,DSiW,20100101
2Puzzle It: Fantasy,Neuland Multimedia,5.5,7.2,0.03,no,DSiW,20100101
3-bun Tenkatouitsu: Bakumatsu Quiz-Hen,"GAE, Inc.",5.4,9.8,1.04,no,DSiW,20100101
3-bun Tenkatouitsu: Harumon Sengoku Quiz-Hen,GAE,8.4,5.4,1.39,no,DSiW,20100101
3-bun Tenkatouitsu: Nishihon Sengoku Quiz-Hen,GAE,2.3,7.5,0.8,no,DSiW,20100101
3450 Algo,Comolink,6.2,3.3,1.93,no,DSiW,20110101
3D Mahjong,Cosmigo,4.0,8.8,6.1,E,DSiW,20100101
3D Twist & Match,Sanuk Games,8.8,8.1,1.89,E,DSiW,20110101
4 Travellers: Play French,AGENIUS Interactive,9.6,7.9,1.74,E,DSiW,20100101
4 Travellers: Play Spanish,AGENIUS Interactive,9.3,6.6,0.77,E,DSiW,20100101
5 in 1 Mahjong,cerasus.media GmbH,8.6,6.2,2.15,E,DSiW,20110101
5 in 1 Solitaire,Digital Leisure Inc.,9.0,3.5,0.85,E,DSiW,20100101
505 Tangram,GameOn GmbH,5.8,8.0,0.65,E,DSiW,20110101
6 in 1 Dictionary with Camera Function,Nintendo / Intelligent Systems,7.2,6.5,0.49,no,DSiW,20090101
7 Card Games,cerasus.media,8.2,9.2,6.01,T,DSiW,20100101
99Bullets,EnjoyUp Games,7.1,8.5,0.63,E,DSiW,20110101
@Simple DS Series Vol. 1: The Misshitsukara no Dasshutsu,Intense,2.0,5.8,0.06,no,DSiW,20090101
@Simple DS Series Vol. 2: The Misshitsukara no Dasshutsu - Gakkou-hen,Intense,8.8,3.5,0.52,no,DSiW,20090101
@Simple DS Series Vol. 4: The Misshitsukara no Dasshutsu - Karakuri Yashiki,Intense,1.2,3.5,0.07,no,DSiW,20100101
@Simple DS Series Vol. 6: The Misshitsukara no Dasshutsu: s Sky Tower Hen,Intense,8.0,6.5,1.47,no,DSiW,20100101
A Fairy Tale,Black Lantern Studios,8.8,5.8,1.83,E,DSiW,20110101
A Kappa's Trail,Brownie Brown,7.4,1.0,2.01,E,DSiW,20100101
A Topsy Turvy Life: The Turvys Strike Back,Tecmo Koei Holdings,6.8,6.9,0.14,E,DSiW,20100101
A Topsy Turvy Life: Turvy Drops,Tecmo Koei Holdings,8.7,4.8,4.55,E,DSiW,20100101
Absolute Baseball,Tasuke,6.3,8.3,0.3,E,DSiW,20110101
Absolute BrickBuster,Tasuke,3.9,8.0,1.02,E,DSiW,20100101
Absolute Chess,Tasuke,7.4,9.0,0.7,E,DSiW,20100101
Absolute Reversi,Tasuke,6.6,9.5,0.34,E,DSiW,20100101
Academy: Checkers,Gamelion,8.9,8.6,1.48,no,DSiW,20110101
Academy: Tic-Tac-Toe,Gamelion Studios,8.7,7.4,1.21,E,DSiW,20100101
ACT Series: Tango Choo Nichi Ei Hen,Digital Media Lab,8.5,7.3,0.07,no,DSiW,20100101
ACT Series: Tango Choo Nichi Jyuu Hen,Digital Media Lab,8.8,5.6,2.76,no,DSiW,20090101
