name,developer,ucs,user,sale,rating,platform,date
Pokemon Red / Green / Blue Version,Game Freak,9.4,9.0,0.55,E,GB,19980101
Tetris,Bullet Proof Software,7.3,5.8,1.42,E,GB,19890101
Pokemon Gold / Silver Version,Game Freak,9.2,8.1,2.89,E,GB,20000101
Super Mario Land,Nintendo R&D1,5.1,8.6,2.17,E,GB,19890101
Pokemon Yellow: Special Pikachu Edition,Game Freak,8.7,6.8,6.06,E,GB,19990101
Super Mario Land 2: 6 Golden Coins,Nintendo R&D1,9.0,9.4,1.29,E,GB,19920101
Dr. Mario,Nintendo R&D1,1.6,6.5,1.87,no,GB,19900101
Super Mario Land 3: Wario Land,Nintendo R&D1,7.9,9.4,1.25,E,GB,19940101
Kirby's Dream Land,HAL Laboratory,6.3,8.7,4.4,E,GB,19920101
Super Mario Bros. Deluxe,Nintendo EAD,9.7,5.5,6.21,E,GB,19990101
Donkey Kong Land,Rare Ltd.,8.4,4.3,2.36,E,GB,19950101
The Legend of Zelda: Link's Awakening,Nintendo EAD,2.6,7.1,0.23,E,GB,19930101
Pokemon Trading Card Game,Hudson Soft,8.3,9.4,0.37,E,GB,20000101
F-1 Race,Nintendo,9.5,8.6,2.28,E,GB,19910101
Yoshi,Game Freak,8.0,4.9,1.96,no,GB,19920101
Donkey Kong,Nintendo EAD,9.0,7.8,0.53,E,GB,19940101
Kirby's Dream Land 2,HAL Laboratory,9.0,9.3,1.88,E,GB,19950101
Donkey Kong Land 2,Rare Ltd.,5.7,7.8,3.07,E,GB,19960101
Dragon Quest Monsters,TOSE,8.0,6.8,5.19,E,GB,19990101
Wario Land 3,Nintendo R&D1,8.0,5.9,4.86,E,GB,20000101
Kirby's Pinball Land,HAL Laboratory,4.5,8.5,0.58,no,GB,19930101
Yu-Gi-Oh: Duel Monsters 4,Konami,2.9,7.5,2.18,no,GB,20000101
Golf,Nintendo,8.0,5.2,0.24,E,GB,19900101
Tennis,Nintendo R&D1,8.0,7.8,0.22,E,GB,19890101
Alleyway,Nintendo R&D1 / Intelligent Systems,7.4,3.9,1.15,no,GB,19890101
Harry Potter and the Sorcerer's Stone,Griptonite Games,8.2,7.1,1.73,E,GB,20010101
Metroid II: Return of Samus,Intelligent Systems,7.3,7.0,0.94,E,GB,19910101
Baseball,Nintendo,8.6,6.7,1.81,no,GB,19890101
Yu-Gi-Oh! Duel Monsters,Konami Computer Entertainment Shinjuku,16.3,8.5,1.61,no,GB,19980101
Dragon Quest Monsters 2: Cobi's Journey,TOSE Software,9.3,10.0,1.22,E,GB,20010101
Yoshi's Cookie,Jupiter Multimedia,5.6,9.6,2.59,no,GB,19930101
Wario Land II,Nintendo R&D1,2.1,8.1,0.07,E,GB,19980101
Game de Hakken!! Tamagotchi 2,Tom Create,8.0,4.7,1.45,no,GB,19970101
Tamagotchi,Tom Create,3.1,8.4,1.45,E,GB,19970101
Disney's DuckTales,Capcom,3.6,4.9,0.99,no,GB,19900101
Tony Hawk's Pro Skater,Natsume,7.1,7.9,1.33,E,GB,20000101
Yakuman,Intelligent Systems,3.7,2.6,4.48,no,GB,19890101
Tetris 2,Nintendo,7.0,7.8,1.71,no,GB,19930101
Kirby Tilt 'n' Tumble,HAL Laboratory,7.5,9.0,1.84,E,GB,20010101
Game & Watch Gallery 2,Nintendo,9.2,8.4,0.55,E,GB,19980101
Game & Watch Gallery 3,Nintendo,8.4,9.8,0.03,E,GB,19990101
SolarStriker,Nintendo R&D1,5.5,7.9,3.84,no,GB,19900101
Mario Tennis,Camelot Software Planning,5.8,8.3,0.43,E,GB,20010101
Qix,Taito Corporation,9.0,7.4,1.32,no,GB,19900101
Super R.C. Pro-Am,Rare Ltd.,9.1,7.9,2.02,no,GB,19910101
The Final Fantasy Legend,Square,6.0,8.3,4.15,no,GB,19900101
Yu-Gi-Oh! Duel Monsters II: Dark Duel Stories,Konami,7.5,8.8,1.1,no,GB,19990101
Donkey Kong Land III,Rare Ltd.,6.6,8.9,0.44,E,GB,19970101
Game & Watch Gallery,Nintendo,5.0,8.5,2.14,E,GB,19970101
Pokemon Card GB2: GRdan Sanjou,Hudson Soft,6.4,9.2,0.89,no,GB,20010101
Yu-Gi-Oh! Dark Duel Stories,KCEJ,6.2,2.8,0.83,E,GB,20020101
Dragon Quest III,TOSE,7.7,8.5,0.81,T,GB,20010101
Dragon Warrior I&II,TOSE,7.9,9.6,0.77,E,GB,20000101
Final Fantasy Legend III,SquareSoft,7.0,8.4,0.76,no,GB,19930101
Yoshi,Nintendo,1.7,6.6,0.73,no,GB,19920101
Mario's Picross,Jupiter Multimedia,5.6,9.0,0.62,E,GB,19950101
Medarot 2: Kabuto / Kuwagata Version,Natsume,1.3,8.4,0.54,no,GB,19990101
Medarot: Kabuto / Kuwagata Version,Natsume,4.1,3.8,0.4,no,GB,19970101
Dragon Warrior Monsters 2: Tara's Adventure,TOSE Software,5.1,7.9,0.4,E,GB,20010101
From TV Animation One Piece: Yume no Lufy Kaizokudan Tanjou!,Alpha Unit,7.1,6.5,0.39,no,GB,20010101
Wario Land II (GBC),Nintendo R&D1,7.8,8.4,0.38,E,GB,19990101
Final Fantasy Adventure,Square,9.0,6.7,0.38,no,GB,19910101
Mini-Yonku GB: Let's & Go!!,Jupiter Multimedia,2.7,4.1,0.37,no,GB,19970101
Picross 2,Jupiter Multimedia,5.4,5.6,0.35,no,GB,19960101
Extra Bases,Namco,9.1,9.3,0.33,no,GB,19910101
Kirby's Block Ball,HAL Laboratory,9.1,9.2,0.32,E,GB,19960101
Mario Golf,Camelot Software Planning,3.1,8.2,0.31,E,GB,19990101
Gameboy Gallery,Nintendo,4.9,3.4,0.3,no,GB,19950101
Hamster Tarou,Jorudan,2.0,9.3,0.3,no,GB,19990101
Mega Man: Dr. Wily's Revenge,Capcom,8.0,9.6,0.28,no,GB,19910101
Mega Man II,Capcom,7.6,6.3,0.28,E,GB,19920101
Donkey Kong GB: Dinky Kong & Dixie Kong,Rare Ltd.,3.7,8.8,0.28,no,GB,20000101
Fushigi no Dungeon: Fuurai no Shiren GB: Tsukikagemura no Kaibutsu,Aquamarine,6.0,7.0,0.27,no,GB,19960101
Medarot 3: Kabuto / Kuwagata Version,Natsume,7.6,6.6,0.27,no,GB,20000101
Power Pro Kun Pocket 2,Diamond Head,4.5,1.9,0.25,no,GB,20000101
Harvest Moon GB,Victor Interactive Software,2.4,0.3,0.23,E,GB,19980101
Tetris 2 (weekly jp sales),Nintendo,8.7,2.1,0.23,no,GB,19930101
Tetris Attack,Intelligent Systems,4.8,5.9,0.23,E,GB,19960101
Kirby's Star Stacker,HAL Laboratory,5.7,5.6,0.22,E,GB,19970101
Trade & Battle: Card Hero,Intelligent Systems,5.0,2.9,0.2,no,GB,20000101
GameBoy Wars,Intelligent Systems,7.3,9.1,0.18,no,GB,19910101
Mega Man III,Capcom,7.3,7.4,0.18,no,GB,19920101
Power Pro Kun Pocket,Diamond Head,5.7,7.5,0.17,no,GB,19990101
Sakura Wars GB,Media Factory,7.7,6.6,0.14,no,GB,20000101
Star Ocean: Blue Sphere,tri-Ace,7.8,9.5,0.14,no,GB,20010101
Yu-Gi-Oh! Monster Capture GB,Konami,5.2,9.7,0.14,no,GB,20000101
Mega Man IV,Capcom,7.3,8.7,0.13,no,GB,19930101
