name,developer,ucs,user,sale,rating,platform,date
Pokemon Ruby / Sapphire Version,Game Freak,8.8,9.4,2.05,E,GBA,20030101
Pokemon FireRed / LeafGreen Version,Game Freak,8.3,8.1,0.06,E,GBA,20040101
Pokemon Emerald Version,Game Freak,7.7,8.2,0.54,E,GBA,20050101
Mario Kart: Super Circuit,Intelligent Systems,9.3,7.1,0.7,E,GBA,20010101
Super Mario World: Super Mario Advance 2,Nintendo EAD,9.4,7.8,2.96,E,GBA,20020101
Super Mario Advance,Nintendo EAD,8.2,2.8,2.08,E,GBA,20010101
Super Mario Advance 4: Super Mario Bros. 3,Nintendo EAD,9.2,8.6,3.22,E,GBA,20030101
Namco Museum,Mass Media,8.6,9.4,4.24,E,GBA,20010101
Pac-Man Collection,Mass Media,5.6,5.8,2.94,E,GBA,20010101
Yoshi's Island: Super Mario Advance 3,Nintendo EAD,3.1,7.7,1.4,E,GBA,20020101
Finding Nemo,Vicarious Visions,7.0,9.7,2.82,E,GBA,20030101
The Legend of Zelda: A Link to the Past,"Flagship Co., Ltd. / Nintendo EAD",9.6,2.1,2.54,E,GBA,20020101
Frogger's Adventures: Temple of the Frog,Konami,6.7,8.3,2.39,E,GBA,20010101
Pokemon Mystery Dungeon: Red Rescue Team,ChunSoft,5.3,7.4,0.77,E,GBA,20060101
Classic NES Series: Super Mario Bros.,Nintendo EAD,8.3,5.8,1.5,E,GBA,20040101
Sonic Advance,Dimps Corporation / Sonic Team,8.9,9.4,2.24,E,GBA,20020101
Spyro: Season of Ice,Digital Eclipse,9.4,8.7,2.23,E,GBA,20010101
Wario Land 4,Nintendo R&D1,9.0,7.4,1.97,E,GBA,20010101
Mario & Luigi: Superstar Saga,AlphaDream Corporation,8.8,2.3,1.33,E,GBA,20030101
Kirby: Nightmare in Dream Land,HAL Laboratory,8.1,8.6,4.26,E,GBA,20020101
Yu-Gi-Oh! The Eternal Duelist Soul,Konami Computer Entertainment Japan,6.0,9.7,2.07,E,GBA,20020101
The Incredibles,Helixe,5.4,9.4,2.06,E,GBA,20040101
Harry Potter and the Chamber of Secrets,Eurocom Entertainment Software,7.2,9.3,1.99,E,GBA,20020101
2 Games in 1: Sonic Advance & ChuChu Rocket!,Sega,0.3,6.3,1.83,no,GBA,20050101
Donkey Kong Country,Rare Ltd.,7.5,6.9,0.73,E,GBA,20030101
Sonic Advance 2,Dimps Corporation / Sonic Team,9.3,5.5,1.8,E,GBA,20030101
The Legend of Zelda: The Minish Cap,Flagship,8.9,8.7,0.14,E,GBA,20050101
2 Games in 1 Double Pack: The Incredibles / Finding Nemo: The Continuing Adventures,Helixe / Altron,8.8,9.3,1.76,E,GBA,20070101
2 Games in 1: Disney Princess & The Lion King,Various,6.3,9.3,1.75,no,GBA,20040101
Crash Bandicoot: The Huge Adventure,Vicarious Visions,8.3,8.9,1.73,E,GBA,20020101
Tetris Worlds,3d6 Games,6.0,0.2,1.71,E,GBA,20010101
Final Fantasy Tactics Advance,Square Enix,8.2,7.3,2.11,E,GBA,20030101
Harry Potter and the Sorcerer's Stone,Griptonite Games,6.6,7.2,1.69,E,GBA,20010101
Dragon Ball Z: The Legacy of Goku,Webfoot Technologies,6.5,9.8,1.69,E,GBA,20020101
"Monsters, Inc.",Artificial Mind and Movement,4.5,5.4,1.67,E,GBA,20010101
Golden Sun,Camelot Software Planning,9.1,6.9,5.87,E,GBA,20010101
Kingdom Hearts: Chain of Memories,Jupiter Corporation,7.4,7.9,1.87,E,GBA,20040101
Metroid Fusion,Nintendo R&D1,9.0,7.8,2.04,E,GBA,20020101
Spyro 2: Season of Flame,Digital Eclipse,1.1,6.2,1.58,E,GBA,20020101
Disney Princess,Art,6.6,9.7,1.47,E,GBA,20030101
Kirby & the Amazing Mirror,Flagship,7.9,8.8,0.09,E,GBA,20040101
The SpongeBob SquarePants Movie,WayForward,7.2,5.4,1.46,E,GBA,20040101
Classic NES Series: Super Mario Bros.,Nintendo,5.9,9.9,1.43,no,GBA,20040101
