name,developer,ucs,user,sale,rating,platform,date
Pokemon Crystal Version,Game Freak,8.7,7.8,1.17,E,GBC,20010101
Pokemon Pinball,Jupiter Corporation,8.7,9.4,0.5,E,GBC,19990101
The Legend of Zelda: Oracle of Ages / Seasons,Capcom,1.6,6.5,1.61,E,GBC,20010101
The Legend of Zelda: Link's Awakening DX,Nintendo EAD,9.4,6.8,1.97,E,GBC,19980101
Donkey Kong Country,Rare Ltd.,9.1,4.5,9.3,E,GBC,20000101
The Legend of Zelda: Oracle of Ages,Flagship,9.4,7.9,1.92,E,GBC,20010101
Tetris DX,Nintendo R&D1,3.7,5.9,0.56,E,GBC,19980101
The Legend of Zelda: Oracle of Seasons,Flagship,9.3,7.8,1.86,E,GBC,20010101
Hamtaro: Ham-Hams Unite!,Shogakukan,7.2,6.3,0.56,E,GBC,20020101
Bass Masters Classic,Natsume,6.4,4.2,0.78,no,GBC,19990101
Metal Gear: Ghost Babel,TOSE,2.0,7.0,0.86,no,GBC,20000101
Mr. Nutz,Unknown,4.2,9.9,1.11,no,GBC,19990101
Oddworld: Abe's Exoddus,Unknown,8.3,6.6,0.77,no,GBC,20000101
Pokemon Puzzle Challenge,Intelligent Systems,4.0,0.9,0.18,E,GBC,20000101
Star Wars Episode I Racer,LucasArts,7.4,4.8,1.46,E,GBC,19990101
Warlocked,Bits Studios,3.9,8.2,2.56,E,GBC,20000101
"Ys: Celceta, Sea of Trees",Unknown,8.7,5.9,0.74,no,GBC,20000101
