name,developer,ucs,user,sale,rating,platform,date
Super Smash Bros. Melee,HAL Laboratory,9.2,6.2,2.69,T,GC,20010101
Mario Kart: Double Dash!!,Nintendo EAD,8.5,9.6,0.59,E,GC,20030101
Super Mario Sunshine,Nintendo EAD,9.2,7.0,1.05,E,GC,20020101
The Legend of Zelda: The Wind Waker,Nintendo EAD,9.6,7.7,3.23,E,GC,20030101
Luigi's Mansion,Nintendo EAD,7.9,8.9,0.06,E,GC,20010101
Metroid Prime,Retro Studios,9.6,9.5,0.39,T,GC,20020101
Mario Party 4,Hudson Soft,7.0,9.8,1.98,E,GC,20020101
Pokemon Colosseum,Genius Sonority Inc.,7.0,7.5,2.41,E,GC,20040101
Animal Crossing,Nintendo EAD,8.3,0.1,0.1,E,GC,20020101
Mario Party 5,Hudson Soft,5.9,8.2,1.52,E,GC,20030101
Mario Party 7,Hudson Soft,6.0,7.4,0.38,E,GC,20050101
Paper Mario: The Thousand-Year Door,Intelligent Systems,9.0,9.2,2.89,E,GC,20040101
Star Wars Rogue Leader: Rogue Squadron II,Factor 5,9.2,0.0,1.9,T,GC,20010101
Star Fox Adventures,Rare Ltd.,8.1,8.8,1.72,T,GC,20020101
Sonic Mega Collection,Sonic Team,7.5,7.7,5.35,E,GC,20020101
Mario Party 6,Hudson Soft,7.2,5.0,0.61,E,GC,20040101
Pikmin,Nintendo EAD,8.1,7.7,3.67,E,GC,20010101
Resident Evil 4,Capcom Production Studio 4,9.6,7.3,0.76,M,GC,20050101
Sonic Adventure DX: Director's Cut,Sonic Team,5.4,7.9,6.05,E,GC,20030101
Super Mario Strikers,Next Level Games,8.0,6.5,4.21,E,GC,20050101
Super Monkey Ball 2,Amusement Vision,8.1,9.3,1.52,E,GC,20020101
SoulCalibur II,Namco,9.2,7.2,1.5,T,GC,20030101
Super Monkey Ball,Amusement Vision,9.0,9.8,1.46,E,GC,20010101
The Legend of Zelda: Twilight Princess,Nintendo EAD,9.5,9.0,2.44,T,GC,20060101
Pokemon XD: Gale of Darkness,Genius Sonority Inc.,6.9,2.6,1.25,E,GC,20050101
Sonic Heroes,Sonic Team,7.2,8.0,2.81,E,GC,20040101
LEGO Star Wars: The Video Game,Traveller's Tales,7.9,2.8,1.41,E,GC,20050101
Kirby Air Ride,HAL Laboratory,6.4,6.4,0.32,E,GC,20030101
Resident Evil,Capcom,8.9,7.9,2.89,M,GC,20020101
Donkey Kong Jungle Beat,Nintendo EAD Tokyo,7.9,6.0,1.34,E10,GC,20050101
Final Fantasy: Crystal Chronicles,Square Enix,7.7,7.5,1.71,T,GC,20040101
Mario Golf: Toadstool Tour,Camelot Software Planning,8.1,3.9,8.67,E,GC,20030101
Resident Evil Zero,Capcom Production Studio 3 / Flagship,8.2,9.6,2.25,M,GC,20020101
Need for Speed Underground,EA Black Box,6.5,7.7,1.21,E,GC,20030101
Spider-Man: The Movie,Treyarch,7.6,7.9,1.19,E,GC,20020101
Donkey Konga,Namco,7.3,6.7,1.62,E,GC,20040101
Mario Power Tennis,Camelot Software Planning,8.1,6.8,1.62,E,GC,20040101
Need for Speed Underground 2,EA Black Box,3.7,9.3,1.14,E,GC,20040101
Pikmin 2,Nintendo EAD,9.1,9.8,1.13,E,GC,20040101
Metroid Prime 2: Echoes,Retro Studios,9.2,6.9,1.19,T,GC,20040101
Tales of Symphonia,Namco Tales Studio,8.5,8.9,1.1,T,GC,20040101
Star Fox: Assault,Namco,6.6,8.5,1.08,T,GC,20050101
Mario Superstar Baseball,Namco / NOW Production,7.2,7.6,0.49,E,GC,20050101
Naruto: Clash of Ninja 2,8ing/Raizing,7.4,9.0,1.04,T,GC,20060101
Shrek 2,"Luxoflux, Inc.",6.9,8.2,1.02,E,GC,20040101
Sonic Adventure 2 Battle,Sonic Team,6.8,8.1,2.48,E,GC,20020101
