name,developer,ucs,user,sale,rating,platform,date
Sonic the Hedgehog,Sonic Team,7.5,4.4,0.07,no,GEN,19910101
Sonic the Hedgehog 2,Sonic Team,6.7,6.8,0.78,no,GEN,19920101
Disney's Aladdin,Virgin Interactive,7.1,7.8,0.6,no,GEN,19930101
Mortal Kombat,Probe Entertainment Limited,7.5,7.0,2.67,no,GEN,19930101
Streets of Rage,Sega,5.1,7.4,2.6,no,GEN,19900101
Mortal Kombat II (US & Others sales),Probe Entertainment Limited,8.7,8.0,2.39,no,GEN,19940101
NBA Jam,Iguana Entertainment,7.0,7.8,2.05,no,GEN,19930101
Sonic & Knuckles,Sonic Team,7.4,7.1,1.82,no,GEN,19940101
Sonic the Hedgehog 3,Sonic Team,3.3,4.5,1.76,E,GEN,19940101
Street Fighter II': Special Champion Edition,Capcom,8.3,9.2,5.66,no,GEN,19930101
The Lion King,Westwood Studios,7.5,7.3,1.41,no,GEN,19940101
Mortal Kombat 3,Sculptured Software,1.2,6.7,1.34,M,GEN,19950101
NBA Jam Tournament Edition,Iguana Entertainment,8.3,9.3,1.11,E,GEN,19950101
Virtua Racing,Sega-AM2,4.8,6.0,0.26,no,GEN,19940101
Shining Force II,Camelot Software Planning,9.0,8.0,0.19,no,GEN,19940101
Super Street Fighter II,Capcom,7.1,8.7,0.15,no,GEN,19940101
"Lunar 2: Eternal Blue(sales, but wrong system)",Game Arts,9.7,8.9,0.14,no,GEN,19940101
Gunstar Heroes,"Treasure Co., Ltd.",8.7,9.7,0.13,no,GEN,19930101
Ecco the Dolphin,Novotrade International,1.5,7.8,0.12,no,GEN,19930101
Yuu Yuu Hakusho: Makyo Toitsusen,"Treasure Co., Ltd.",8.7,9.2,0.08,no,GEN,19940101
Dragon Slayer: Eiyuu Densetsu,Sega Falcom,3.4,10.0,0.08,no,GEN,19940101
Dragon Slayer: The Legend of Heroes,Nihon Falcom Corporation,7.7,8.6,0.08,no,GEN,19940101
Ecco: The Tides of Time,Novotrade International,5.4,9.7,0.07,no,GEN,19940101
Street Fighter II': Special Champion Edition (JP weekly sales),Unknown,9.9,8.2,0.07,no,GEN,19930101
Streets of Rage 3,Sega,8.2,7.6,0.07,no,GEN,19940101
Dynamite Headdy,"Treasure Co., Ltd.",8.6,8.4,0.05,no,GEN,19940101
Beyond Oasis,Ancient,7.8,8.5,0.05,E,GEN,19940101
J-League Pro Striker 2,Sega,7.6,7.1,0.04,no,GEN,19940101
Castlevania Bloodlines,Konami,4.9,8.4,0.04,no,GEN,19940101
Mortal Kombat II (JP sales),Probe Entertainment Limited,8.1,5.4,0.03,no,GEN,19940101
Puzzle & Action: Tant-R,Sega,7.8,9.3,0.03,no,GEN,19940101
3 Ninjas Kick Back,Malibu Games,6.0,8.8,1.33,no,GEN,19940101
3 Ninjas Kick Back / Hook,Unknown,3.6,7.6,2.52,no,GEN,19930101
688 Attack Sub,John W. Ratcliff,7.3,5.8,1.66,no,GEN,19910101
Aa Harimadana,Sega,1.2,8.2,2.11,no,GEN,19930101
Aa Harimanada,Sega,4.0,8.9,3.89,no,GEN,19930101
AAAHH!!! Real Monsters,Realtime Associates,1.5,8.4,3.19,E,GEN,19950101
Action 52,Farsight Technologies,6.2,9.6,0.23,no,GEN,19930101
Advanced Busterhawk Gley Lancer,NCS,8.8,7.5,2.64,no,GEN,19920101
Advanced Daisenryaku: Deutsch Dengekisakusen,Sega,4.5,4.0,4.26,no,GEN,19910101
Aero The Acro-Bat,Iguana Entertainment,7.8,4.7,0.07,no,GEN,19930101
Aero The Acro-Bat 2,Iguana Entertainment,8.7,7.5,1.05,no,GEN,19940101
Aerobiz,Koei,7.7,7.9,0.41,no,GEN,19920101
Aerobiz Supersonic,Koei,6.1,8.9,5.4,E,GEN,19940101
After Burner II,Sega-AM2,5.5,9.0,2.73,no,GEN,19900101
Air Buster,Kaneko Co. Ltd,8.2,8.0,4.29,no,GEN,19910101
Air Diver,Asmik Corporation of America,3.8,8.4,4.18,no,GEN,19900101
Alex Kidd in the Enchanted Castle,Sega,4.8,8.3,0.94,no,GEN,19890101
Alien 3,Probe Entertainment Limited,3.8,8.1,4.29,no,GEN,19920101
Alien Soldier,"Treasure Co., Ltd.",4.8,6.3,1.0,no,GEN,19950101
Alien Storm,Sega,3.1,3.8,2.12,no,GEN,19910101
Alisia Dragoon,Game Arts / Gainax,2.5,7.8,0.81,no,GEN,19920101
Altered Beast,Sega,2.5,5.1,0.18,no,GEN,19890101
American Gladiators,Incredible Technologies,3.3,4.5,1.01,no,GEN,19920101
Andre Agassi Tennis,TecMagik,8.2,7.7,0.61,no,GEN,19920101
Animaniacs,Konami,0.7,4.7,5.33,no,GEN,19940101
Arcade Classics,Al Baker and Associates,3.9,8.4,1.16,E,GEN,19960101
Arch Rivals,Arc Developments,6.4,3.9,4.05,no,GEN,19920101
Arcus Odyssey,Wolf Team,3.4,7.8,2.19,no,GEN,19910101
Arnold Palmer Tournament Golf,Sega,7.7,8.6,0.38,no,GEN,19890101
Arrow Flash,"Renovation Products, Inc.",5.0,9.5,2.23,no,GEN,19900101
Art Alive,Sega,3.2,6.0,1.82,no,GEN,19910101
Art of Fighting,SNK Corporation,6.5,6.0,1.21,no,GEN,19940101
Asterix and the Great Rescue,Core Design Ltd.,9.2,8.6,3.35,no,GEN,19940101
Asterix and the Power of the Gods,Core Design Ltd.,6.9,2.8,1.88,no,GEN,19950101
Atomic Robo-Kid,Micronics,9.5,9.4,1.97,no,GEN,19900101
Atomic Runner,Data East,0.5,5.2,0.0,no,GEN,19920101
ATP Tour Championship Tennis,SIMS,7.4,0.1,0.07,E,GEN,19940101
Australian Rugby League,Electronic Arts,3.3,6.6,0.58,no,GEN,19950101
Awesome Possum Kicks Dr. Machino's Butt!,Tengen,2.0,7.2,1.39,no,GEN,19930101
Aworg (MN),Sega,8.2,6.7,1.37,no,GEN,19910101
Ayrton Senna's Super Monaco GP II,Sega,7.7,7.5,8.7,no,GEN,19920101
B.O.B.,Chris Gray Enterprises,8.6,8.9,0.83,no,GEN,19930101
Back to the Future Part III,Probe Entertainment Limited,5.6,7.8,4.22,no,GEN,19910101
Bahamut Senki,Sega,5.1,8.5,0.44,no,GEN,19910101
Ball Jacks,Namco,5.1,7.3,1.47,no,GEN,19930101
Ballz 3D,PF.Magic,8.0,8.4,2.49,no,GEN,19940101
Barbie Super Model,Tahoe Software,4.7,5.6,1.05,no,GEN,19920101
Barbie Vacation Adventure,Software Creations,3.7,8.7,0.51,no,GEN,19940101
Barkley: Shut Up and Jam 2,Accolade,5.6,8.6,0.87,E,GEN,19950101
Barkley: Shut Up and Jam!,Accolade,7.0,9.2,7.76,no,GEN,19930101
Barney's Hide and Seek,Realtime Associates,7.4,8.3,1.07,no,GEN,19930101
Bass Masters Classic,Black Pearl,8.1,8.0,1.13,E,GEN,19950101
Bass Masters Classic: Pro Edition,Black Pearl,6.9,5.4,1.7,E,GEN,19960101
Batman,SunSoft,4.2,6.6,0.37,no,GEN,19900101
