name,developer,ucs,user,sale,rating,platform,date
Sonic the Hedgehog 2,Aspect,5.2,8.9,0.04,no,GG,19920101
5 In One Fun Pak,Beam Software,4.4,1.9,3.06,E,GG,19940101
Aa Harimanada,Sega,8.3,0.8,0.53,no,GG,19930101
Aerial Assault,Sega,8.8,9.6,3.48,no,GG,19920101
Alien 3,Probe Entertainment Limited,9.2,2.7,0.8,no,GG,19940101
Alien Syndrome,SIMS,8.7,7.1,0.37,no,GG,19920101
Andre Agassi Tennis,TecMagik,6.2,8.7,0.74,no,GG,19930101
Arcade Classics,Al Baker and Associates,5.6,7.5,2.75,E,GG,19960101
Arch Rivals,Arc Developments,8.4,7.0,3.88,no,GG,19920101
Arena: Maze of Death,Eden Entertainment Software,9.4,9.0,0.15,E,GG,19960101
Ariel: The Little Mermaid,Blue Sky Software,6.3,5.5,0.57,no,GG,19920101
Asterix and the Great Rescue,Core Design Ltd.,8.2,6.7,0.31,no,GG,19950101
Asterix and the Secret Mission,Sega,2.8,8.8,0.54,no,GG,19930101
Ax Battler: A Legend of Golden Axe,Aspect,6.4,7.8,4.67,no,GG,19910101
Ayrton Senna's Super Monaco GP II,Sega,5.9,7.5,1.58,no,GG,19920101
Baku Baku,Minato Giken,8.0,9.0,0.01,E,GG,19960101
Batman Forever,Probe Entertainment,5.9,9.6,2.91,E,GG,19950101
Batman Returns,Aspect Co. Ltd.,7.2,9.0,1.68,no,GG,19920101
Batter Up,Namco,7.1,7.0,1.61,no,GG,19910101
Battleship,Mindscape,6.4,9.6,0.56,no,GG,19930101
Battletoads,Rare Ltd.,8.3,7.3,3.42,no,GG,19930101
Beavis and Butt-head,NuFX,4.9,7.0,3.22,no,GG,19940101
Bishoujo Senshi Sailor Moon S,Bandai,8.8,7.0,1.54,no,GG,19950101
Bram Stoker's Dracula,Probe Entertainment Limited,7.7,9.4,0.73,no,GG,19930101
Bubble Bobble,Taito Corporation,8.2,8.7,9.27,no,GG,19940101
Bugs Bunny in Double Trouble,Atod AB,8.4,4.0,0.2,E,GG,19960101
Bust-A-Move,Taito Corporation,4.5,8.3,3.37,E,GG,19950101
Buster Ball,Riverhillsoft,7.3,8.9,0.33,no,GG,19920101
Buster Fight,SIMS,6.3,7.5,2.61,no,GG,19940101
Caesars Palace,Virgin Interactive,7.4,7.1,0.9,no,GG,19930101
Captain America and the Avengers,Realtime Associates,6.8,6.6,4.7,no,GG,19930101
Castle of Illusion Starring Mickey Mouse,Sega (AM7),6.1,0.8,0.11,no,GG,19910101
Chakan,Sega,5.8,6.5,0.79,no,GG,19920101
Chase H.Q.,Taito Corporation,5.3,0.5,1.67,no,GG,19910101
Cheese Cat-Astrophe Starring Speedy Gonzales,Cryo Interactive,7.2,4.4,4.39,E,GG,19950101
Chicago Syndicate,Sega,6.5,9.6,0.05,E,GG,19950101
Choplifter III,Beam Software,8.4,9.0,7.54,no,GG,19950101
Chuck Rock,Core Design,8.2,6.5,0.79,no,GG,19920101
Chuck Rock II: Son of Chuck,Core Design Ltd.,2.0,6.4,0.78,no,GG,19930101
Cliffhanger,Spidersoft,5.3,8.4,0.11,no,GG,19940101
Clutch Hitter,Sega,4.9,5.6,0.27,no,GG,19910101
Coca-Cola Kid,Aspect,8.2,7.7,1.69,no,GG,19940101
Columns,Sega,5.8,8.7,8.04,no,GG,19910101
Cool Spot,Virgin Interactive,7.6,6.9,0.72,no,GG,19930101
Cosmic Spacehead,Supersonic Software,8.0,6.7,0.94,no,GG,19960101
Crayon Shin-Chan: Taiketsu! Kantam Panic!!,Minato Giken,6.1,7.8,0.69,no,GG,19950101
Crystal Warriors,Sega,3.6,9.2,0.28,no,GG,19910101
Cutthroat Island,Software Creations,6.4,9.2,5.72,E,GG,19950101
