name,developer,ucs,user,sale,rating,platform,date
Alien Hominid,Tuna Interactive,7.5,8.8,0.05,no,GIZ,20050101
Angel Fish,Fathammer,7.0,8.8,0.83,no,GIZ,19970101
Ball Busters,Gizmondo Studios,4.3,3.1,0.84,no,GIZ,19950101
CamGun,Domenecus Software,6.3,8.9,1.56,no,GIZ,20200101
Casino,Hustler,8.3,6.9,2.83,no,GIZ,19780101
Chicane,Gizmondo Studios,8.6,4.6,1.09,no,GIZ,19950101
Christmas Delights,Pocket Software,2.9,7.9,0.32,no,GIZ,20030101
Christmas Mahjong,AIP Mobile,7.6,6.1,2.41,no,GIZ,20140101
City,Gizmondo Studios,3.7,6.7,0.92,no,GIZ,20150101
City Zombies,Gameview Studios,6.1,6.9,1.6,no,GIZ,20090101
Classic Compendium,AI Factory,6.6,8.7,0.01,E,GIZ,20050101
Classic Compendium 2,AI Factory,8.2,8.3,0.37,E,GIZ,20050101
Colors,Indie Studios,7.7,8.1,0.16,no,GIZ,20140101
Fallen Kingdoms,Gizmondo Studios,8.5,8.8,5.84,no,GIZ,20090101
Fathammer Classics Pack,AI Factory,3.2,7.6,0.84,E,GIZ,20050101
FIFA Soccer 2005,Exient Entertainment,5.6,7.0,3.2,no,GIZ,20040101
Ghost,Gizmondo Studios,7.2,5.1,1.1,no,GIZ,19950101
Gizmondo Motocross 2005,Housemarque,7.8,8.5,0.96,E,GIZ,20050101
Goal,Factory1,5.5,9.4,2.27,no,GIZ,20070101
Hockey Rage 2005,Pixelgene,6.5,8.1,1.57,T,GIZ,20050101
Interstellar Flames 2,Xen Games,8.3,9.8,0.9,no,GIZ,19970101
Johnny Whatever,Gizmondo Studios,8.6,7.6,1.51,no,GIZ,20080101
Jump,Gizmondo Studios,4.5,6.0,1.52,no,GIZ,20060101
Magma Balls,Horizon Software I.T.,2.7,8.5,0.09,no,GIZ,20110101
Mahjong Fairyland,"Joymaster Holding Co., Ltd.",8.3,7.7,0.25,no,GIZ,19960101
Man Vs Bee,tritoneTech,4.8,6.9,0.23,no,GIZ,19940101
MANGA POKER,BITWEEN S.R.L.,8.4,9.1,0.86,no,GIZ,20020101
Marbles Invasion,Nations Software,8.7,5.5,0.89,no,GIZ,20160101
Marbles Multiball 3D - The Castle Adventure,Mad Processor,8.8,8.9,4.23,no,GIZ,20160101
MegaTrivia 2,Hometown I.S.,9.0,5.9,3.07,no,GIZ,19900101
Movie Challenge: Oscars Special,Redwind Software,8.2,9.9,7.05,no,GIZ,20100101
Mr. Trivia,Iron Square,9.6,9.7,1.89,no,GIZ,20070101
Pocket Ping Pong 2005,Netdol,7.8,7.7,5.8,T,GIZ,20050101
Point of Destruction,Gizmondo Studios Manchester,8.3,4.9,0.25,E,GIZ,20050101
Richard Burns Rally,Gizmondo Studios,-0.0,6.9,2.2,E,GIZ,20050101
SpeedGun Stadium,Fathammer,8.8,9.1,6.47,no,GIZ,20060101
SSX 3,Gizmondo Studios,0.9,2.4,0.48,E,GIZ,20050101
Sticky Balls,Gizmondo Studios Manchester,1.7,8.4,0.07,E,GIZ,20050101
Stuntcar Extreme,Fathammer,9.3,9.0,0.51,no,GIZ,19890101
Super Drop Mania,Fathammer,9.2,5.9,2.63,no,GIZ,19970101
Supernaturals,Gizmondo Studios,9.7,2.6,0.96,no,GIZ,20100101
Toy Golf,Ninai Games,4.7,7.3,2.29,E,GIZ,20050101
Trailblazer,Gizmondo Studios,9.1,8.9,0.82,E,GIZ,20050101
Unkichi,"ACE Technology Co., Ltd.",5.6,8.2,0.31,no,GIZ,19920101
Worms World Party,Team17 Software,5.0,7.7,0.18,no,GIZ,20050101
