name,developer,ucs,user,sale,rating,platform,date
ABPA Backgammon,APh Technological Consulting,8.9,7.1,2.79,no,Int,19800101
Advanced Dungeons & Dragons,APh Technological Consulting,3.1,7.2,3.4,no,Int,19820101
Advanced Dungeons & Dragons: Treasure of Tarmin,APh Technological Consulting,9.3,1.0,1.27,no,Int,19830101
Armor Battle,APh Technological Consulting,7.7,5.5,0.69,no,Int,19800101
Astrosmash,Mattel,8.3,7.5,6.78,no,Int,19810101
Atlantis,Imagic,7.7,7.2,5.05,no,Int,19820101
Auto Racing,APh Technological Consulting,6.0,4.6,5.17,no,Int,19800101
B-17 Bomber,Mattel,7.7,9.1,0.09,no,Int,19820101
BASIC Programming Language,APh Technological Consulting,7.1,9.6,2.2,no,Int,20180101
Beamrider,Cheshire Engineering,7.3,7.2,0.36,no,Int,19830101
Beauty & the Beast,Imagic,2.8,5.9,0.7,no,Int,19820101
Blockade Runner,Interphase,5.4,9.9,7.0,no,Int,19830101
Body Slam: Super Pro Wrestling,Realtime Associates,6.9,6.6,3.26,no,Int,19880101
Bomb Squad,Mattel,8.2,1.7,0.66,no,Int,19820101
Boxing,Mattel,8.1,8.7,4.32,no,Int,19810101
Bump 'N' Jump,Technology Associates,9.4,8.0,1.55,no,Int,19830101
BurgerTime,Mattel,5.8,6.8,0.28,no,Int,19830101
Buzz Bombers,Mattel,8.6,8.5,2.98,no,Int,19830101
Carnival,Coleco,3.9,7.8,0.08,no,Int,19820101
Centipede,Atari,6.4,8.1,2.98,no,Int,19830101
Championship Tennis,Mattel,3.7,6.6,5.3,no,Int,19850101
Checkers,APh Technological Consulting,9.0,2.3,1.65,no,Int,19800101
Chip Shot: Super Pro Golf,Realtime Associates,5.6,2.5,0.86,no,Int,19870101
Commando,Realtime Associates,5.2,9.7,1.03,no,Int,19870101
Congo Bongo,Sega,8.9,9.1,5.96,no,Int,19830101
Conversational French,APh Technological Consulting,9.1,9.9,0.1,no,Int,20190101
Crosswords II,Mattel,9.3,9.2,4.12,no,Int,20180101
Crosswords III,Mattel,1.0,8.7,0.09,no,Int,20180101
Defender,Atari,4.8,7.0,0.96,no,Int,19830101
Demon Attack,Imagic,7.9,9.2,1.58,no,Int,19820101
