name,developer,ucs,user,sale,rating,platform,date
99 Levels to Hell,Unknown,1.5,5.2,0.75,no,Linux,20120101
A Wizard's Lizard,"Lost Decade Games, LLC",6.6,8.0,1.93,no,Linux,20140101
Aaru's Awakening,Unknown,9.4,7.5,0.92,no,Linux,20130101
Adventurezator: When Pigs Fly,Pigasus Games,6.7,7.5,0.92,no,Linux,20150101
Aeon Command,Unknown,6.6,7.4,3.79,no,Linux,20140101
Age of Reflex,Unknown,3.1,5.5,0.38,no,Linux,20140101
Airships,Unknown,8.5,6.7,0.51,no,Linux,20140101
Amnesia: A Machine for Pigs,thechineseroom,8.5,7.6,0.65,no,Linux,20130101
Anodyne,Analgesic Productions,7.4,8.0,0.15,M,Linux,20130101
Anomaly 2,Unknown,2.8,9.7,2.69,no,Linux,20130101
Anomaly Korea,Unknown,5.2,8.1,0.5,no,Linux,20130101
Anomaly: Warzone Earth,Unknown,7.6,6.9,4.4,no,Linux,20110101
Apotheon,Unknown,8.1,6.9,3.7,no,Linux,20150101
Armello,League of Geeks,7.6,3.0,0.86,E10,Linux,20150101
Armikrog,Pencil Test Studios,2.9,3.4,4.96,no,Linux,20150101
Ascendant,Unknown,5.7,8.7,1.61,no,Linux,20140101
Assault Android Cactus,Unknown,7.4,6.3,1.33,no,Linux,20130101
Aztez,Unknown,9.0,7.7,1.84,no,Linux,20150101
Bard to the Future,Battlebard Games,3.0,5.6,7.75,no,Linux,20150101
Battle Group 2,Bane Games,6.0,7.6,0.29,no,Linux,20140101
Battle Worlds: Kronos,KING Art Games,4.5,8.8,1.56,E10,Linux,20130101
BattleBlock Theater,The Behemoth,1.2,5.9,7.33,no,Linux,20140101
Battlefied 2,Unknown,9.4,7.7,0.56,no,Linux,20120101
BeatBlasters III,Unknown,3.8,9.8,0.47,no,Linux,20140101
Bik - A Space Adventure,Zotnip,6.0,4.5,1.38,no,Linux,20140101
Bionic Heart,Unknown,7.0,2.2,1.09,no,Linux,20090101
Blackhole,FiolaSoft Studio,8.7,9.1,7.23,T,Linux,20150101
Blinding Dark,Bulkypix,4.3,8.8,2.67,no,Linux,20140101
Blockscape,Unknown,3.9,7.9,3.15,no,Linux,20200101
Bravada,Unknown,6.8,8.8,0.39,no,Linux,20140101
Buzz Buzz Bang,keith curtis,8.1,3.4,8.15,no,Linux,19930101
CANDLE,Unknown,3.7,5.7,0.02,no,Linux,20140101
Cannons Lasers Rockets,Unknown,8.4,7.5,4.97,no,Linux,20140101
Carmageddon: Reincarnation,Unknown,2.1,4.2,1.5,no,Linux,20150101
Castle Story,Unknown,7.6,7.8,0.24,no,Linux,20200101
Chaos Reborn,Gollop Games,6.9,3.3,3.45,no,Linux,20150101
Chasm,Unknown,9.7,8.8,0.01,no,Linux,20150101
Chuck's Challenge 3D,Unknown,4.5,7.5,0.74,no,Linux,20140101
Circuits,Unknown,9.4,9.7,1.41,no,Linux,20140101
Cities: Skylines,Colossal Order,2.2,7.9,2.81,no,Linux,20150101
CoinRPG,Unknown,8.4,1.4,0.22,no,Linux,20200101
continue?9876543210,Unknown,6.3,5.0,1.04,no,Linux,20140101
Costume Quest 2,Double Fine Productions,5.5,8.6,2.12,no,Linux,20140101
Crimsonland,Unknown,5.9,9.4,3.89,no,Linux,20140101
Cross Reverie,Sinxsoft,0.7,8.2,4.14,no,Linux,20160101
Crypt of the NecroDancer,Brace Yourself Games,6.8,8.8,1.51,T,Linux,20150101
Cute Knight Kingdom,Unknown,7.1,7.6,1.65,no,Linux,20090101
Darkest Dungeon,Red Hook Studios,1.7,7.1,3.95,no,Linux,20160101
Darkwood,Unknown,3.8,8.4,4.78,no,Linux,20140101
Date Warp,Unknown,8.8,8.3,1.25,no,Linux,20100101
Defense Grid 2,Unknown,3.9,9.3,2.12,no,Linux,20140101
Democracy 3,Unknown,6.1,8.8,0.09,no,Linux,20130101
Depression Quest,The Quinnspiracy,4.1,4.5,0.48,no,Linux,20140101
Derrick the Deathfin,Unknown,8.8,5.0,1.01,no,Linux,20140101
Detective Case and Clown Bot in: Murder in the Hotel Lisbon,Unknown,9.3,6.9,6.09,no,Linux,20140101
Dex,Dreadlocks Ltd,5.6,3.7,0.59,M,Linux,20150101
Distance,Unknown,7.9,9.2,1.16,no,Linux,20200101
Dominions 3: The Awakening,Unknown,8.3,9.7,0.52,no,Linux,20130101
Doodle Attack,Unknown,3.9,3.5,1.96,no,Linux,20150101
