name,developer,ucs,user,sale,rating,platform,date
A.P.B.,"Quicksilver Software, Inc",6.7,8.7,0.21,no,Lynx,19910101
Awesome Golf,Atari,7.9,6.4,0.33,no,Lynx,19910101
Baseball Heroes,Atari,9.0,6.3,0.76,no,Lynx,19920101
Basketbrawl,Atari,5.3,0.3,1.73,no,Lynx,19920101
Batman Returns,Atari,6.6,7.1,0.85,no,Lynx,19920101
Battlewheels,Beyond Games,8.3,8.1,0.79,no,Lynx,19920101
Battlezone 2000,Atari,5.1,7.4,9.08,E,Lynx,19940101
Bill and Ted's Excellent Adventure,Atari,8.4,8.1,2.76,no,Lynx,19890101
Blockout,Atari,8.2,8.4,4.44,no,Lynx,19910101
Blue Lightning,Epyx,7.2,7.5,3.46,no,Lynx,19890101
Bubble Trouble,Telegames,6.7,8.7,3.11,no,Lynx,19910101
California Games,Epyx,8.8,8.0,0.1,no,Lynx,19890101
Caverns of Xaskazien,Little Devils Inc.,1.5,7.0,0.77,no,Lynx,20130101
Championship Rally,Songbird Productions,7.2,7.0,3.29,no,Lynx,20000101
Checkered Flag,Atari,5.3,3.7,0.3,no,Lynx,19910101
Chip's Challenge,Atari,7.8,7.3,0.2,no,Lynx,19890101
Crystal Mines II,Color Dreams,7.8,9.4,7.45,no,Lynx,19900101
CyberVirus,Songbird Productions,9.4,6.0,7.27,no,Lynx,20020101
Daemonsgate,Electronic Innovative Design,7.4,9.7,0.65,no,Lynx,20060101
Desert Strike: Return to the Gulf,"Telegames, Inc.",3.7,7.6,1.66,no,Lynx,19920101
Destert Strike,Telegames,7.8,8.3,3.48,no,Lynx,19920101
Dinolympics,"Imagitec Design, Inc.",6.9,9.7,1.19,no,Lynx,19920101
Dirty Larry: Renegade Cop,Atari,7.8,8.1,1.18,no,Lynx,19920101
Double Dragon,"Telegames, Inc.",6.9,8.3,0.7,no,Lynx,19930101
Dracula the Undead,Atari,3.2,8.6,1.93,no,Lynx,19910101
Electrocop,Epyx,6.8,8.9,0.38,no,Lynx,19890101
European Soccer Challenge,"Telegames, Inc.",6.1,9.1,0.23,no,Lynx,19930101
Eye of the Beholder,NuFX,0.7,6.5,0.22,no,Lynx,19990101
Fat Bobby,Telegames,7.4,2.2,0.77,no,Lynx,19970101
Fidelity Ultimate Chess Challenge,"Telegames, Inc.",7.7,8.4,1.73,no,Lynx,19920101
Forsaken Fortress,Unknown,7.0,6.8,0.12,no,Lynx,20150101
Gates of Zendocon,"Epyx, Inc.",3.6,4.9,1.31,no,Lynx,19930101
Gauntlet: The Third Encounter,Atari,8.7,7.9,0.86,no,Lynx,19900101
Gordo 106,Atari,7.1,8.8,0.59,no,Lynx,19910101
Hard Drivin',"NuFX, Inc.",7.4,6.6,0.43,no,Lynx,19910101
Hockey,Alpine Studios,9.4,9.4,0.21,no,Lynx,19920101
Hydra,Tengen,8.7,9.7,3.48,no,Lynx,19920101
Hyperdrome,"Telegames, Inc.",6.9,1.2,0.8,no,Lynx,19900101
Ishido: The Way of Stones,Atari,2.7,7.0,0.57,no,Lynx,19910101
Jimmy Connors' Tennis,NMS Software,5.2,8.3,3.79,no,Lynx,19930101
Joust,"Shadowsoft, Inc.",7.5,8.8,3.34,no,Lynx,19920101
Klax,Atari,8.4,4.5,0.77,no,Lynx,19900101
Krazy Ace Miniature Golf,"Telegames, Inc.",8.0,6.8,0.78,no,Lynx,19930101
Kung Food,Lore Games,7.8,9.8,5.44,no,Lynx,19920101
Lemmings,DMA Design,3.6,7.3,0.39,no,Lynx,19930101
Lexis,Songbird Productions,7.1,7.3,4.37,no,Lynx,19990101
Lynx Casino,"Brian A. Rice, Inc.",5.3,5.9,6.28,no,Lynx,19920101
Lynx Othello,Harry Dodgson,2.1,4.2,7.09,no,Lynx,20000101
Malibu Beach Volleyball,Atari,7.2,4.5,0.0,no,Lynx,19900101
Ms. Pac-Man,Atari,4.6,9.4,1.02,no,Lynx,19900101
NFL Football,Atari,6.1,3.6,0.05,no,Lynx,19920101
Ninja Gaiden,Atari,6.0,5.7,1.62,no,Lynx,19910101
Ninja Gaiden III: The Ancient Ship of Doom,Tecmo,9.7,9.8,0.91,no,Lynx,19910101
Pac-Land,Atari,9.1,4.7,0.64,no,Lynx,19920101
Paperboy,Atari,4.3,9.9,0.04,no,Lynx,19900101
Pinball Jam,Atari,4.6,8.7,1.84,no,Lynx,19920101
Pit-Fighter,Atari,7.1,4.5,2.52,no,Lynx,19920101
Ponx,Songbird Productions,8.2,8.6,1.02,no,Lynx,20090101
Power Factor,Atari,8.5,8.7,0.44,no,Lynx,19920101
Qix,Knight Technologies,0.5,8.5,4.84,no,Lynx,19920101
Raiden,"Telegames, Inc.",6.3,8.6,1.63,no,Lynx,19970101
Rampage,Atari,9.9,5.9,0.02,no,Lynx,19920101
Rampart,Atari,7.6,8.7,1.86,no,Lynx,19910101
Remnant,Songbird Productions,7.6,3.7,4.69,no,Lynx,20000101
RoadBlasters,Atari,1.2,5.8,7.57,no,Lynx,19900101
