name,developer,ucs,user,sale,rating,platform,date
Ace of Aces,Sega,7.2,8.5,3.16,no,MS,19910101
Action Fighter,Sega,8.4,3.9,1.21,no,MS,19860101
Advanced Dungeons & Dragons: Heroes of the Lance,Tiertex Design Studios,7.2,8.4,2.32,no,MS,19910101
Aerial Assault,Sega,9.0,9.5,2.87,no,MS,19900101
After Burner,Sega,8.3,7.5,1.63,no,MS,19880101
Air Rescue,Sega,7.7,7.3,0.25,no,MS,19920101
Alex Kidd in Miracle World,Sega,1.5,8.8,1.19,no,MS,19860101
Alex Kidd in Shinobi World,Sega,9.0,7.9,0.56,no,MS,19900101
Alex Kidd: High-Tech World,Sega,7.4,8.0,1.9,no,MS,19890101
Alex Kidd: The Lost Stars,Sega,9.8,7.9,0.3,no,MS,19880101
ALF,Sega,6.2,9.3,3.36,no,MS,19890101
Alien 3,Probe Entertainment Limited,6.3,9.1,0.78,no,MS,19920101
Alien Storm,Sega,6.3,5.8,0.39,no,MS,19910101
Alien Syndrome,Sega,5.9,9.6,4.8,no,MS,19880101
Altered Beast,Sega,9.2,5.3,0.51,no,MS,19890101
Andre Agassi Tennis,TecMagik,2.7,8.6,0.09,no,MS,19930101
Arcade Smash Hits,Virgin Games,1.7,6.4,0.97,no,MS,19920101
Argos no Juujiken,Tecmo,7.9,1.8,0.12,no,MS,19880101
Assault City,Sanritsu,6.0,5.0,2.04,no,MS,19900101
Asterix,Sega,7.0,6.1,2.44,no,MS,19910101
Asterix and the Great Rescue,Core Design Ltd.,2.7,9.1,2.42,no,MS,19930101
Asterix and the Secret Mission,Sega,3.7,7.1,0.15,no,MS,19930101
Astro Warrior,Sega,9.2,9.4,4.21,no,MS,19860101
Astro Warrior / Pit Pot,Sega,2.0,7.3,4.69,no,MS,19860101
Ayrton Senna's Super Monaco GP II,Sega,5.5,8.1,0.03,no,MS,19920101
Aztec Adventure,Sega,6.1,8.0,0.27,no,MS,19880101
Back to the Future Part II,Mirrorsoft,6.5,7.8,1.85,no,MS,19900101
Back to the Future Part III,Mirrorsoft,5.5,8.2,3.51,no,MS,19930101
Baku Baku,Tec Toy,4.5,5.7,0.28,no,MS,19980101
Bank Panic,Sanritsu,6.6,6.4,0.42,no,MS,19870101
Basketball Nightmare,Sega,8.3,9.1,0.3,no,MS,19890101
Batman Returns,Aspect Co. Ltd.,7.5,9.4,0.52,no,MS,19890101
Battle OutRun,Sega,7.8,8.2,5.95,no,MS,19890101
Battlemaniacs,Syrox Developments,7.8,6.5,0.96,no,MS,19930101
Battletoads in Battlemaniacs,Rare Ltd.,9.2,7.2,2.06,no,MS,19930101
Beat Hazard,Cold Beam Games Ltd,8.3,1.0,1.47,no,MS,20090101
Black Belt,Sega,5.8,8.8,2.68,no,MS,19860101
Blade Eagle 3-D,Sega,2.2,8.1,2.71,no,MS,19880101
Blocks That Matter,Swing Swing Submarine,9.3,6.0,1.04,no,MS,19890101
BMX Trial: Alex Kidd,Sega,8.2,8.6,0.07,no,MS,19870101
Bomber Raid,Sanritsu,5.6,9.1,6.78,no,MS,19880101
Bonanza Brothers,Synergy Inc.,1.6,8.1,2.27,no,MS,19910101
Bram Stoker's Dracula,Probe Entertainment Limited,3.8,4.4,1.56,no,MS,19930101
Bubble Bobble,Taito Corporation,8.4,8.7,4.92,no,MS,19920101
Buggy Run,Sega,6.9,8.4,0.86,no,MS,19940101
California Games,Epyx,0.8,8.8,0.07,no,MS,19890101
California Games II,Sega,1.3,4.4,0.69,no,MS,19930101
Captain Silver,Sega,7.7,3.6,3.13,no,MS,19880101
Casino Games,Compile,6.6,7.4,4.89,no,MS,19890101
Castelo Ra-Tim-Bum,Tec Toy,6.8,8.6,1.92,no,MS,19970101
Castle of Illusion Starring Mickey Mouse,Sega (AM7),9.1,8.0,2.83,no,MS,19900101
Champions of Europe,TecMagik,5.5,6.1,5.31,no,MS,19880101
Championship Hockey,U.S. Gold,6.7,9.0,3.54,no,MS,19920101
Chase H.Q.,Taito Corporation,1.3,9.8,0.82,no,MS,19900101
Cheese Cat-Astrophe Starring Speedy Gonzales,Cryo Interactive,6.4,8.3,0.69,no,MS,19950101
Choplifter,Sega,7.9,6.9,0.05,no,MS,19860101
Chuck Rock,Virgin Interactive,6.5,7.7,0.48,no,MS,19920101
Chuck Rock II: Son of Chuck,Core Design Ltd.,3.7,8.1,2.44,no,MS,19930101
Cloud Master,"Hot-B Co., Ltd.",7.4,0.3,0.33,no,MS,19890101
Columns,Sega,6.8,8.2,0.53,no,MS,19900101
Comical MachineGun Joe,Sega,6.9,9.7,0.19,no,MS,19860101
Cool Spot,Virgin Interactive,8.0,8.5,0.17,no,MS,19930101
Cosmic Spacehead,Codemasters,7.9,6.9,1.58,no,MS,19910101
Cyborg Hunter,Activision,7.9,2.9,0.32,no,MS,19880101
Daffy Duck in Hollywood,Probe Entertainment Limited,4.7,8.2,2.49,no,MS,19930101
Danan: The Jungle Fighter,Sega,8.2,8.6,2.34,no,MS,19910101
Dead Angle,Seibu Kaihatsu,5.5,9.8,2.1,no,MS,19890101
Deep Duck Trouble Starring Donald Duck,Aspect,8.3,8.3,0.59,no,MS,19930101
Desert Speedtrap Starring Road Runner and Wile E. Coyote,Probe Entertainment Limited,0.7,8.6,4.86,no,MS,19930101
Desert Strike,Electronic Arts,6.6,8.3,1.87,no,MS,19920101
Dick Tracy,Sega,2.1,5.0,4.05,no,MS,19900101
Disney's Aladdin,Nexa,5.2,9.2,0.82,no,MS,19940101
Disney's Ariel the Little Mermaid,BlueSky Software,8.1,7.5,4.21,no,MS,19920101
Disney's Bonkers: Wax Up!,Tec Toy,5.2,5.6,3.09,no,MS,19940101
Double Dragon,Technos Japan Corporation,9.0,7.5,1.39,no,MS,19880101
Double Hawk,OperaHouse,8.4,2.9,0.33,no,MS,19900101
Dr. Robotnik's Mean Bean Machine,Compile,3.4,9.0,0.19,no,MS,19940101
Dragon Crystal,Sega,5.9,8.9,0.98,no,MS,19910101
Dragon: The Bruce Lee Story,Virgin Interactive,5.5,9.0,2.09,no,MS,19950101
Duke Nukem Forever,3D Realms Entertainment,9.8,7.3,2.64,no,MS,19960101
Dynamite Duke,Sega,1.7,4.9,1.03,no,MS,19890101
Dynamite Dux,Sega,7.6,3.3,0.49,no,MS,19890101
Dynamite Headdy,Minato Giken,6.5,8.7,1.2,no,MS,19940101
E-SWAT,Sega,6.6,8.7,1.12,no,MS,19900101
Earthworm Jim,Eurocom Entertainment Software,6.2,6.8,1.23,no,MS,19960101
Ecco the Dolphin,Novotrade International,5.9,2.7,0.32,no,MS,19930101
Ecco: The Tides of Time,Novotrade International,5.5,6.3,0.6,no,MS,19960101
Edge,Mobigame,7.4,7.0,1.66,no,MS,20110101
Enduro Racer,Sega-AM2,8.0,4.6,0.21,no,MS,19870101
F-16 Fighting Falcon,Sega,8.7,8.5,1.27,no,MS,19860101
F1,Teque Interactive,6.2,8.1,2.37,no,MS,19930101
Fantastic Dizzy,Codemasters,7.7,7.2,0.61,no,MS,19930101
Fantasy Zone,Sega,7.4,6.9,3.39,no,MS,19860101
Fantasy Zone II,Sega,2.9,8.3,1.04,no,MS,19870101
