name,developer,ucs,user,sale,rating,platform,date
A Mind Forever Voyaging,"Infocom, Inc.",7.3,8.0,1.76,no,MSD,19850101
After Burner,SunSoft,6.6,8.7,0.09,no,MSD,19890101
After Burner II,Bits Laboratory,8.8,7.2,5.88,no,MSD,19890101
Alone in the Dark (1992),Unknown,6.3,9.1,4.18,no,MSD,19920101
Alone in the Dark 2,Unknown,7.8,6.1,1.52,no,MSD,19940101
Command & Conquer: Covert Operations,Unknown,4.4,8.0,4.09,no,MSD,19950101
Death Rally,Unknown,7.8,8.1,0.9,no,MSD,19960101
Die Hard 2: Die Harder,Unknown,9.9,8.7,2.55,no,MSD,19920101
Elite,Unknown,9.8,6.9,0.87,no,MSD,19910101
Frontier: First Encounters,Unknown,8.2,8.1,6.7,no,MSD,19950101
Full Throttle,Unknown,3.8,8.1,0.8,no,MSD,19950101
King's Bounty,Unknown,7.9,6.7,5.65,no,MSD,19900101
Midwinter,Unknown,2.2,7.4,3.63,no,MSD,19890101
Midwinter II: Flames of Freedom,Unknown,7.5,6.3,0.04,no,MSD,20140101
Nintendo DSi Instrument Tuner,Unknown,8.3,5.0,3.8,no,MSD,19930101
Predator 2,Arc Developments,8.9,3.7,3.64,no,MSD,19910101
Rise of the Robots,Probe Entertainment Limited,2.5,0.5,2.88,no,MSD,19940101
The Cosmology of Kyoto,Unknown,6.3,7.4,0.35,no,MSD,19950101
The Lost Vikings,Unknown,5.5,1.8,0.93,no,MSD,19930101
Total Carnage,Unknown,8.7,9.0,4.68,no,MSD,19940101
Trantor: The Last Stormtrooper,Probe Software,9.2,8.5,2.82,no,MSD,19880101
War in Middle Earth,Unknown,9.2,0.9,0.34,no,MSD,19890101
Warcraft II: Tides of Darkness,Unknown,7.2,8.1,3.47,no,MSD,19960101
Wishbringer,Unknown,8.8,7.9,0.35,no,MSD,19850101
Wizball,Unknown,7.4,4.8,7.02,no,MSD,19880101
"Ys: Celceta, Sea of Trees",Unknown,6.2,5.2,2.33,no,MSD,19940101
