name,developer,ucs,user,sale,rating,platform,date
Resident Evil 4,Unknown,9.7,0.6,0.03,no,Mob,20090101
Transformers: Revenge of the Fallen,Unknown,6.2,8.3,0.02,no,Mob,20090101
James Bond 007: Blood Stone,Unknown,0.9,8.9,0.02,no,Mob,20100101
Transformers: War for Cybertron,Unknown,5.3,9.6,0.01,no,Mob,20100101
007 Legends,Eurocom,5.4,8.8,1.73,T,Mob,20120101
A-10 Cuba!,Unknown,6.2,8.5,0.57,no,Mob,19960101
Activision Anthology,Unknown,9.1,9.1,0.1,no,Mob,20030101
Bad Piggies,Unknown,7.7,9.4,0.7,no,Mob,20130101
Bass Masters Classic,Unknown,4.4,7.2,7.24,no,Mob,19980101
Bass Masters Classic: Tournament Edition,Unknown,0.7,8.8,0.25,no,Mob,19980101
Batman Returns (Atari Version),Atari,4.7,6.0,3.7,no,Mob,19930101
Before Crisis: Final Fantasy VII,Unknown,2.1,6.5,2.01,no,Mob,20040101
iRacing,Unknown,6.7,5.1,0.39,no,Mob,20080101
Metal Gear Acid Mobile,Konami,8.4,5.2,2.38,no,Mob,20080101
Metal Gear Solid Mobile,Ideaworks3D,4.0,0.7,1.52,no,Mob,20080101
Prison Escape,Unknown,3.6,8.3,0.95,no,Mob,20010101
Ratchet & Clank: Going Mobile,Handheld Games,6.5,4.1,0.14,no,Mob,20050101
Sega Ages 2500 Series Vol. 10: After Burner II,Unknown,5.8,8.7,0.79,no,Mob,19950101
Sega Ages: After Burner II,Unknown,7.2,0.9,0.1,no,Mob,19970101
Transformers: The Game,Unknown,4.1,7.6,3.14,no,Mob,20070101
Zombie Panic in Wonderland,Unknown,8.1,0.8,1.81,no,Mob,20120101
God of War: Betrayal,Sony Online Entertainment Los Angeles,7.1,7.6,0.11,no,Mob,20070101
