name,developer,ucs,user,sale,rating,platform,date
Super Mario 64,Nintendo EAD,9.7,7.2,1.67,E,N64,19960101
Mario Kart 64,Nintendo EAD,8.5,8.5,0.98,E,N64,19970101
GoldenEye 007,Rare Ltd.,9.8,8.9,2.08,T,N64,19970101
The Legend of Zelda: Ocarina of Time,Nintendo EAD,9.9,10.0,1.53,E,N64,19980101
Super Smash Bros.,HAL Laboratory,8.4,8.0,0.37,E,N64,19990101
Pokemon Stadium,HAL Laboratory,7.5,9.5,0.49,E,N64,20000101
Donkey Kong 64,Rare Ltd.,9.3,5.8,3.06,E,N64,19990101
Diddy Kong Racing,Rare Ltd.,8.3,5.8,0.81,E,N64,19970101
Star Fox 64,Nintendo EAD,9.0,7.2,0.53,E,N64,19970101
Banjo-Kazooie,Rare Ltd.,9.3,9.4,1.46,E,N64,19980101
Pokemon Snap,HAL Laboratory,7.9,9.2,3.17,E,N64,19990101
The Legend of Zelda: Majora's Mask,Nintendo EAD,9.3,9.5,1.09,E,N64,20000101
Star Wars Episode I Racer,LucasArts,8.7,6.1,7.22,E,N64,19990101
Wave Race 64,Nintendo EAD,9.2,6.5,2.54,E,N64,19960101
Yoshi's Story,Nintendo EAD,7.0,8.4,0.53,E,N64,19980101
Mario Party,Hudson Soft,7.6,8.3,1.32,E,N64,19990101
Star Wars: Shadows of the Empire,LucasArts,7.5,7.5,0.61,T,N64,19960101
Pokemon Stadium 2,HAL Laboratory,7.9,8.0,2.16,E,N64,20010101
Perfect Dark,Rare Ltd.,9.7,7.4,1.15,M,N64,20000101
Mario Party 2,Hudson Soft,9.0,6.5,1.82,E,N64,20000101
WCW/nWo Revenge,Aki Corp.,8.5,7.4,2.38,E,N64,19980101
Mario Tennis,Camelot Software Planning,8.8,4.6,0.24,E,N64,20000101
Star Wars: Rogue Squadron,Factor 5,9.0,6.8,2.54,T,N64,19980101
Tony Hawk's Pro Skater,Edge of Reality,9.3,7.7,2.11,E,N64,20000101
1080: TenEighty Snowboarding,Nintendo EAD,9.1,7.9,0.98,E,N64,19980101
Mario Party 3,Hudson Soft,7.0,8.1,0.53,E,N64,20010101
