name,developer,ucs,user,sale,rating,platform,date
Super Mario Bros.,Nintendo EAD,10.0,7.6,1.72,no,NES,19850101
Duck Hunt,Nintendo R&D1,4.1,9.6,1.97,no,NES,19850101
Super Mario Bros. 3,Nintendo R&D2,6.4,8.1,1.59,E,NES,19900101
Super Mario Bros. 2,Nintendo EAD,6.4,8.0,6.58,no,NES,19880101
The Legend of Zelda,Nintendo EAD,7.4,8.6,3.84,no,NES,19870101
Tetris,Nintendo,8.1,9.4,3.91,no,NES,19890101
Dr. Mario,Nintendo R&D1,7.0,7.8,0.29,no,NES,19900101
Zelda II: The Adventure of Link,Nintendo EAD,5.8,6.5,1.6,no,NES,19880101
Teenage Mutant Ninja Turtles,Konami,5.9,7.8,4.17,no,NES,19890101
Excitebike,Nintendo R&D1,8.1,7.9,2.01,no,NES,19850101
Golf,Nintendo,6.5,3.6,2.42,no,NES,19850101
Dragon Quest III,ChunSoft,2.5,8.0,1.49,no,NES,19920101
Kung Fu,Irem Software Engineering,3.6,9.1,0.57,no,NES,19850101
Baseball,Nintendo,4.3,7.8,1.93,no,NES,19850101
Dragon Quest IV,ChunSoft,4.5,8.6,0.76,no,NES,19920101
World Class Track Meet,Bandai,0.8,8.0,1.05,no,NES,19870101
Mike Tyson's Punch-Out!!,Nintendo IRD,7.9,9.5,3.56,no,NES,19870101
Metroid,Nintendo R&D1,4.8,8.0,2.96,no,NES,19870101
Super Mario Bros. 2 (FDS),Nintendo EAD,7.9,9.6,2.56,no,NES,19860101
Dragon Quest II,ChunSoft,8.4,8.9,0.16,no,NES,19900101
Ice Hockey,Nintendo,8.1,2.7,4.15,no,NES,19880101
Pro Wrestling,TRY Corporation,9.2,6.9,2.6,no,NES,19870101
Mario Bros.,Nintendo R&D1,7.2,6.8,4.42,no,NES,19860101
Teenage Mutant Ninja Turtles II: The Arcade Game,Konami,7.7,8.6,2.23,no,NES,19900101
R.B.I. Baseball,Namco,1.1,7.9,2.2,no,NES,19880101
Tennis,Nintendo,3.8,6.8,7.96,no,NES,19850101
Volleyball,Nintendo R&D1,3.5,6.6,2.43,no,NES,19870101
Mahjong,Nintendo,3.4,9.6,4.03,no,NES,19830101
R.C. Pro-Am,Rare Ltd.,8.0,6.7,2.08,no,NES,19880101
Famista '89 - Kaimaku Han!!,Namco,8.4,7.0,2.05,no,NES,19890101
Dragon Warrior,ChunSoft,0.7,8.4,2.33,no,NES,19890101
Rad Racer,SquareSoft,9.3,3.5,0.77,no,NES,19870101
Soccer,"Iwasaki Electronics Co., Ltd.",9.3,7.1,0.94,no,NES,19870101
Pinball,Nintendo,3.6,5.0,1.71,no,NES,19850101
Kid Icarus,Nintendo R&D1,1.5,10.0,3.05,no,NES,19870101
Kirby's Adventure,HAL Laboratory,7.0,6.4,0.93,no,NES,19930101
Yoshi,Game Freak,6.4,9.2,0.27,no,NES,19920101
Disney's DuckTales,Capcom,8.5,8.7,0.14,no,NES,19890101
Ghosts 'n Goblins,Micronics,3.4,9.3,4.1,no,NES,19860101
Donkey Kong Classics,Nintendo,5.1,1.2,4.27,no,NES,19880101
Tecmo Bowl,Tecmo,8.6,6.6,0.09,no,NES,19890101
F1 Race,Nintendo,7.6,4.4,0.78,no,NES,19840101
Xevious,Namco,8.3,8.1,1.52,no,NES,19900101
Mega Man 2,Capcom,4.4,9.0,0.78,no,NES,19890101
Ice Climber,Nintendo R&D1,6.3,8.0,0.55,no,NES,19850101
Ninja Hattori Kun: Ninja wa Shuugyou Degogiru no Maki,Hudson Soft,6.4,8.0,1.5,no,NES,19860101
Nintendo World Cup,Technos Japan Corporation,3.0,5.6,2.71,no,NES,19900101
4 Nin uchi Mahjong,Hudson Soft,3.1,9.9,5.13,no,NES,19840101
R.B.I. Baseball 2,Namco,8.6,9.9,1.42,no,NES,19900101
Final Fantasy III,Square,4.3,7.1,2.26,no,NES,19900101
Teenage Mutant Ninja Turtles III: The Manhattan Project,Konami,3.6,8.8,1.39,no,NES,19920101
Gradius,Konami,3.6,8.3,1.36,no,NES,19860101
Gyromite,Nintendo R&D1,2.1,6.0,10.67,no,NES,19850101
Hogan's Alley,Intelligent Systems,6.7,9.6,2.11,no,NES,19850101
Dragon Ball: Daimaou Fukkatsu,TOSE,8.3,6.3,1.25,no,NES,19880101
Gegege no Kitarou 2: Youkai Gundan no Chousen,Bandai,3.5,8.7,1.25,no,NES,19870101
Castlevania,Konami,6.2,-0.0,1.23,no,NES,19870101
Pac-Man,Namco,9.5,7.6,1.22,no,NES,19930101
Disney's Chip 'n Dale: Rescue Rangers,Capcom,5.1,8.9,4.35,no,NES,19900101
Final Fantasy,Square,8.5,5.6,1.61,no,NES,19900101
Ganbare Goemon! Karakuri Douchuu,Konami,4.7,6.4,1.2,no,NES,19860101
TwinBee,Konami,5.2,6.6,1.2,no,NES,19860101
Tecmo Super Bowl,Tecmo,8.6,9.9,1.45,no,NES,19910101
R.B.I. Baseball 3,Namco,5.3,8.6,1.18,no,NES,19910101
Doraemon,Hudson Soft,0.4,8.1,1.15,no,NES,19860101
Commando,Capcom,0.6,8.4,0.9,no,NES,19860101
Donkey Kong,Nintendo,2.2,8.9,0.09,no,NES,19860101
Yoshi's Cookie,Bullet Proof Software,1.0,9.4,1.93,no,NES,19930101
Donkey Kong Jr.,Nintendo R&D1,6.8,5.2,2.89,no,NES,19860101
Famicom Jump: Eiyuu Retsuden,TOSE,9.6,7.8,1.1,no,NES,19890101
Lode Runner,Hudson Soft,6.2,7.7,1.1,no,NES,19870101
Popeye,Nintendo,7.8,9.9,0.27,no,NES,19860101
Mega Man 3,Capcom,6.0,5.3,0.32,no,NES,19900101
Adventure Island,Hudson Soft / West One,7.9,6.3,1.05,no,NES,19880101
Tag Team Match M.U.S.C.L.E.,Bandai,3.7,9.9,1.05,no,NES,19860101
Bomberman,Hudson Soft,6.7,9.8,1.03,no,NES,19890101
1942,Capcom,8.3,0.5,1.0,no,NES,19860101
NES Open Tournament Golf,Nintendo R&D2,8.2,3.5,0.11,no,NES,19910101
Tetris 2,Nintendo,7.3,7.9,0.98,no,NES,19930101
Star Soldier,Hudson Soft,7.6,5.7,0.96,no,NES,19880101
Castlevania II: Simon's Quest,Konami,9.1,7.4,0.93,no,NES,19880101
Mega Man 4,Capcom,0.4,7.4,0.93,no,NES,19920101
Balloon Fight,Nintendo R&D1,7.5,8.5,0.92,no,NES,19860101
Castlevania III: Dracula's Curse,Konami,3.0,8.5,0.85,no,NES,19900101
Clu Clu Land,Nintendo R&D1,5.2,0.2,0.82,no,NES,19850101
Mega Man,Capcom,4.7,7.6,0.81,no,NES,19870101
Mega Man 5,Capcom,0.2,3.6,0.79,no,NES,19920101
Final Fantasy II,Square,7.2,6.0,0.76,no,NES,19880101
Super Mario USA,Nintendo EAD,1.4,8.4,0.69,no,NES,19920101
Mappy,Namco,7.6,7.5,0.69,no,NES,19840101
Nazo no Murasame-Jou (FDS),Nintendo EAD,8.5,3.1,0.57,no,NES,19860101
Mega Man 6,Capcom,3.3,6.9,0.52,no,NES,19940101
Wrecking Crew,Nintendo,9.5,7.9,0.51,no,NES,19850101
Bomberman II,Hudson Soft,9.0,4.2,0.44,no,NES,19920101
Dig Dug,Namco,8.0,5.9,0.41,no,NES,19850101
Jurassic Park,Ocean,8.2,7.7,0.36,no,NES,19930101
Tetris 2 + Bombliss,ChunSoft,5.8,8.2,0.32,no,NES,19910101
Famista '91,Namco,9.0,8.7,0.3,no,NES,19900101
Famista '92,Namco,0.4,3.8,0.28,no,NES,19910101
Final Fantasy I & II,SquareSoft,7.3,7.0,0.11,no,NES,19940101
Teenage Mutant Ninja Turtles: Tournament Fighters,Konami,5.9,6.9,0.07,no,NES,19940101
Adventures of Lolo,HAL Laboratory,8.5,5.5,0.06,no,NES,19890101
10-Yard Fight,Irem Software Engineering,3.1,5.7,0.61,no,NES,19850101
1943: The Battle of Midway,Capcom,6.3,9.4,1.16,no,NES,19880101
3-D WorldRunner,Square,4.4,4.8,0.26,no,NES,19870101
6 in 1,MegaSoft,8.3,9.1,0.71,no,NES,19920101
720 Degrees,Mindscape Inc.,7.3,8.1,1.25,no,NES,19890101
8 Eyes,Thinking Rabbit,7.7,0.8,0.36,no,NES,19900101
A Boy and His Blob: Trouble on Blobolonia,Imagineering,5.9,9.4,0.91,no,NES,19890101
A Nightmare on Elm Street,Rare Ltd.,7.5,7.1,1.19,no,NES,19900101
A Ressha de Gyoukou,ArtDink,0.1,8.0,1.06,no,NES,19910101
Abadox: The Deadly Inner War,Natsume,5.0,8.2,2.44,no,NES,19900101
Action 52,Active Enterprises,2.1,9.1,0.43,no,NES,19910101
Advanced Dungeons & Dragons: Hillsfar,Strategic Simulations,8.6,9.6,0.01,no,NES,19930101
Advanced Dungeons & Dragons: Dragons of Flame,Atelier Double,7.8,9.2,4.0,no,NES,19920101
Advanced Dungeons & Dragons: DragonStrike,Westwood Studios,4.3,6.5,0.69,no,NES,19920101
Advanced Dungeons & Dragons: Heroes of the Lance,"Strategic Simulations, Inc.",5.9,9.3,1.82,no,NES,19910101
Advanced Dungeons & Dragons: Pool of Radiance,Marionette,9.0,7.9,5.17,no,NES,19920101
Adventure Island 3,Hudson Soft,7.3,5.5,0.44,no,NES,19920101
Adventure Island II,Hudson Soft,6.6,8.4,0.88,no,NES,19910101
Adventures in the Magic Kingdom,Capcom,7.9,3.4,1.3,no,NES,19900101
Adventures of Dino-Riki,Rix Soft,2.4,8.8,1.44,no,NES,19890101
Adventures of Lolo 2,HAL Laboratory,5.9,9.6,2.48,no,NES,19900101
Adventures of Lolo 3,HAL Laboratory,5.1,3.0,1.87,no,NES,19910101
Adventures of Tom Sawyer,Seta Corporation,3.9,7.4,0.21,no,NES,19890101
After Burner,SunSoft,7.9,8.6,6.12,no,NES,19890101
After Burner II,Unknown,5.0,2.6,0.12,no,NES,19890101
Ai Sensei no Oshiete: Watashi no Hoshi,Irem Software Engineering,6.1,5.8,4.99,no,NES,19930101
Air Fortress,HAL Laboratory,5.7,8.8,1.6,no,NES,19890101
Airwolf,Acclaim Entertainment,0.1,9.8,3.25,no,NES,19890101
