name,developer,ucs,user,sale,rating,platform,date
Samurai Shodown II,SNK Corporation,6.1,9.5,0.25,no,NG,19940101
The King of Fighters '95 (CD),SNK Corporation,8.3,9.6,0.23,no,NG,19950101
The King of Fighters '95,SNK Corporation,6.1,8.5,0.2,no,NG,19950101
Samurai Spirits (CD),SNK Corporation,5.2,5.6,0.2,no,NG,19940101
The King of Fighters '94 (CD),SNK Corporation,4.9,3.6,0.14,no,NG,19940101
The King of Fighters '94,SNK Corporation,5.7,7.8,0.12,no,NG,19940101
Samurai Shodown III,SNK Corporation,6.5,9.9,0.08,no,NG,19950101
Samurai Shodown,SNK Corporation,6.0,2.2,0.07,no,NG,19930101
The King of Fighters '96,SNK Corporation,4.1,9.3,0.06,no,NG,19960101
Art of Fighting 3: The Path of the Warrior,SNK Corporation,8.5,6.9,0.04,no,NG,19960101
Far East of Eden Shinden,RED Company,6.2,2.4,0.03,no,NG,19950101
Super Dodge Ball,Technos,7.0,7.1,0.02,no,NG,19960101
3 Count Bout,SNK Corporation,7.1,6.5,3.78,no,NG,19930101
3 Count Bout (CD),UPL,9.3,4.8,0.82,no,NG,19950101
Aero Fighters 2,Video System,7.4,7.0,2.76,no,NG,19940101
Aero Fighters 3,Video System,6.7,8.6,1.73,no,NG,19950101
Aero Fighters 3 (CD),Video System,3.5,7.3,2.47,no,NG,19950101
Aggressors of Dark Kombat,ADK Corporation,7.3,5.0,0.81,no,NG,19960101
Aggressors of Dark Kombat (CD),ADK Corporation,7.0,9.2,3.27,no,NG,19950101
Alpha Mission II,SNK Corporation,4.4,9.8,2.2,no,NG,19910101
Alpha Mission II (CD),SNK Corporation,6.1,5.0,2.29,no,NG,19940101
Andro Dunos,Visco,9.7,9.6,0.29,no,NG,19920101
Art of Fighting,SNK Corporation,7.0,9.7,2.31,no,NG,19920101
Art of Fighting (CD),SNK Corporation,6.8,3.5,1.15,no,NG,19940101
Art of Fighting 2,SNK Corporation,7.2,9.6,0.11,no,NG,19940101
Art of Fighting 2 (CD),SNK Corporation,4.4,5.5,0.39,no,NG,19940101
Art of Fighting: Ryuuko no Ken Gaiden (CD),SNK Corporation,3.1,8.1,1.31,no,NG,19960101
Bakumatsu Rouman Dai Ni Maku: Gekka no Kenshi (CD),SNK Corporation,6.2,6.7,0.98,no,NG,19990101
Baseball Stars 2,SNK Corporation,8.4,8.8,3.0,no,NG,19920101
Baseball Stars 2 (CD),SNK Corporation,6.0,8.1,0.75,no,NG,19940101
Baseball Stars Professional,SNK Corporation,9.0,9.4,2.94,no,NG,19910101
Baseball Stars Professional (CD),SNK Corporation,1.4,6.5,1.1,no,NG,19950101
Blazing Star,Yumekobo,2.8,8.4,2.01,no,NG,19980101
Blue's Journey,ADK Corporation,6.9,8.1,1.63,no,NG,19910101
Burning Fight,SNK Corporation,5.9,8.7,5.59,no,NG,19910101
Burning Fight (CD),SNK Corporation,4.4,7.5,2.08,no,NG,19940101
Bust-A-Move (CD),Taito Corporation,9.5,6.5,2.06,no,NG,19950101
Capcom Classics Collection Reloaded,Unknown,9.0,9.9,1.3,no,NG,19990101
Chibi Maruko-Chan: Maruko Deluxe Quiz,Takara,3.2,7.5,0.78,no,NG,19960101
Choutetsu Brikin'ger,Saurus,7.5,6.7,0.79,no,NG,19960101
Crossed Swords,ADK Corporation,8.0,8.1,0.16,no,NG,19910101
Crossed Swords (CD),ADK Corporation,3.4,7.7,0.32,no,NG,19940101
Crossed Swords II (CD),ADK Corporation,7.1,8.4,2.97,no,NG,19950101
Cyber-Lip,SNK Corporation,7.4,8.8,1.33,no,NG,19910101
Cyber-Lip (CD),SNK Corporation,8.4,7.8,2.83,no,NG,19950101
Double Dragon,Technos Japan Corporation,7.2,7.8,1.38,no,NG,19950101
Double Dragon (CD),Technos Japan Corporation,9.6,8.7,1.07,no,NG,19950101
Dunk Dream,Data East,7.2,9.2,0.39,no,NG,19940101
Eightman,Pallas,5.2,9.2,0.07,no,NG,19910101
Fast Striker,NG:DEV.TEAM,9.2,4.5,6.03,no,NG,20100101
Fatal Fury,SNK Corporation,8.5,8.2,0.08,no,NG,19910101
Fatal Fury 2,SNK Corporation,7.2,4.9,0.92,no,NG,19930101
Fatal Fury 2 (CD),SNK Corporation,8.8,5.8,6.33,no,NG,19950101
Fatal Fury 3: Road to the Final Victory,SNK Corporation,8.2,7.9,3.94,no,NG,19950101
Fatal Fury 3: Road to the Final Victory (CD),SNK Corporation,7.5,4.0,5.55,no,NG,19950101
Fatal Fury Special,SNK Corporation,8.0,3.0,0.52,no,NG,19930101
