name,developer,ucs,user,sale,rating,platform,date
Alien Front,Sega WOW,6.9,6.9,1.68,T,NGage,20090101
Ashen,Torus Games,5.9,7.2,2.41,T,NGage,20040101
Asphalt: Urban GT,Gameloft,7.5,6.6,0.81,E,NGage,20040101
Asphalt: Urban GT 2,Gameloft,8.0,9.0,3.01,E10,NGage,20050101
Atari Masterpieces Vol. I,Backbone Entertainment,7.6,9.2,0.34,E,NGage,20050101
Atari Masterpieces Vol. II,Backbone Entertainment,1.7,9.3,5.75,E,NGage,20060101
Bomberman,Hudson Soft,5.4,5.8,2.64,E,NGage,20040101
Call of Duty,Activision,5.9,3.6,5.44,T,NGage,20040101
Catan,Suzak,8.1,8.6,1.89,E,NGage,20050101
Civilization,Gryphondale Studios,5.7,8.7,2.95,E,NGage,20060101
Colin McRae Rally 2005,Ideaworks3D,8.3,8.5,1.31,E,NGage,20040101
Crash Nitro Kart,Vicarious Visions,6.0,2.6,3.68,E,NGage,20040101
FIFA Soccer 2004,Exient Entertainment,6.4,8.6,2.09,E,NGage,20040101
FIFA Soccer 2005,Exient Entertainment,8.2,5.8,2.23,E,NGage,20040101
Glimmerati,BugBear,8.4,9.7,3.05,M,NGage,20050101
High Seize,"RedLynx, Ltd.",8.5,2.1,3.04,T,NGage,20050101
Marcel Desailly Pro Soccer,G Artist,4.4,8.4,0.71,E,NGage,20040101
Metal Gear Solid Mobile,Ideaworks3D,7.8,4.3,0.87,no,NGage,20080101
Mile High Pinball,Bonus Mobile Entertainment,8.0,5.9,3.42,E,NGage,20050101
MLB Slam!,THQ,2.8,8.7,0.86,E,NGage,20080101
MotoGP,THQ,2.7,4.7,0.56,E,NGage,20030101
NCAA Football 2004,Exient Entertainment,5.7,9.1,1.12,E,NGage,20030101
One,Digital Legends Entertainment,6.8,7.9,2.97,T,NGage,20050101
Operation Shadow,Torus Games,4.1,6.2,1.18,T,NGage,20040101
Pandemonium!,Ideaworks3D,5.8,6.8,4.76,E,NGage,20030101
Pathway to Glory,"RedLynx, Ltd.",8.6,7.7,1.15,T,NGage,20040101
Pathway to Glory: Ikusa Islands,"RedLynx, Ltd.",5.0,9.0,2.09,T,NGage,20050101
Payload,Tantalus Interactive,4.1,8.1,1.86,T,NGage,20050101
Pocket Kingdom: Own the World,Sega,7.7,8.6,1.11,T,NGage,20040101
Puyo Pop,Sega,5.7,0.3,1.44,E,NGage,20030101
Puzzle Bobble VS,Taito Corporation,2.2,7.8,2.53,E,NGage,20030101
Rayman 3,Gameloft,8.0,6.5,0.93,E,NGage,20030101
Red Faction,Monkeystone Games,5.4,5.3,0.14,M,NGage,20030101
Requiem of Hell,Digital-Red,5.8,5.9,5.05,M,NGage,20040101
Rifts: Promise of Power,Backbone Entertainment,8.0,8.3,0.14,T,NGage,20050101
Sega Rally Championship,Hitmaker,8.2,3.5,1.44,E,NGage,19970101
Snakes,IOMO,8.4,2.3,1.7,E,NGage,20050101
SonicN,Sonic Team,5.4,7.9,0.63,E,NGage,20030101
Spider-Man 2,Activision,5.8,4.4,0.49,T,NGage,20040101
SSX Out of Bounds,Exient Entertainment,6.9,7.5,0.77,E,NGage,20050101
Super Monkey Ball,Amusement Vision,5.8,7.6,0.48,E,NGage,20030101
System Rush,Ideaworks3D,8.2,7.3,1.2,E,NGage,20050101
The Elder Scrolls Travels: Shadowkey,Vir2L Studios,6.4,4.1,0.44,T,NGage,20040101
The King of Fighters Extreme,Hudson Soft,6.0,9.5,1.0,T,NGage,20050101
The Roots: Gates of Chaos,Cenega Publishing,6.6,7.4,1.4,T,NGage,20050101
The Sims: Bustin' Out,Ideaworks3D,7.3,0.2,0.03,T,NGage,20040101
Tiger Woods PGA Tour 2004,Backbone Emeryville,6.8,9.0,2.41,E,NGage,20040101
Tom Clancy's Ghost Recon: Jungle Storm,Gameloft,8.2,7.7,0.03,T,NGage,20040101
Tom Clancy's Splinter Cell: Chaos Theory,Gameloft,9.0,9.6,2.25,T,NGage,20050101
Tom Clancy's Splinter Cell: Team Stealth Action,Gameloft,7.5,8.4,2.11,T,NGage,20030101
Tomb Raider,Ideaworks3D,5.0,4.8,0.04,T,NGage,20030101
Tony Hawk's Pro Skater,Neversoft Entertainment,7.9,9.3,3.24,T,NGage,20030101
Tony Hawk's Pro Skater,Neversoft Entertainment,7.2,9.6,0.13,T,NGage,20030101
Virtua Tennis,Hitmaker,3.6,7.6,0.62,E,NGage,20030101
"Warhammer 40,000: Glory in Death",Razorback Developments,6.7,8.2,0.13,T,NGage,20060101
Worms World Party,Paragon 5,8.1,8.3,0.03,E,NGage,20050101
WWE Aftershock,Exient Entertainment,5.4,7.9,5.48,T,NGage,20050101
X-Men Legends,Barking Lizards,8.2,9.4,1.34,T,NGage,20050101
X-Men Legends II: Rise of Apocalypse,Barking Lizards,1.8,9.8,0.79,no,NGage,20050101
Xanadu Next,Nihon Falcom Corporation,6.8,7.6,1.54,T,NGage,20050101
