name,developer,ucs,user,sale,rating,platform,date
Mario Kart 8 Deluxe,Nintendo EPD,9.3,0.6,1.66,E,NS,20170101
Super Mario Odyssey,Nintendo EPD,9.9,8.6,2.24,E10,NS,20170101
Super Smash Bros. Ultimate,Bandai Namco Games,9.4,9.7,0.2,E10,NS,20180101
The Legend of Zelda: Breath of the Wild,Nintendo EPD,9.9,10.0,1.47,E10,NS,20170101
"Pokemon: Let's Go, Pikachu/Eevee",Game Freak,8.6,1.2,1.22,E,NS,20180101
Splatoon 2,Nintendo EPD,8.2,8.4,7.7,E10,NS,20170101
Super Mario Party,"Nd Cube Co., Ltd.",7.3,8.2,5.38,E,NS,20180101
"Pokemon: Let's Go, Pikachu!",Game Freak,8.3,7.3,4.57,E,NS,20180101
1-2-Switch,Nintendo EPD,5.7,7.4,0.47,E10,NS,20170101
"Pokemon: Let's Go, Eevee!",Game Freak,8.3,9.4,2.73,E,NS,20180101
Mario + Rabbids: Kingdom Battle,Ubisoft Milan,8.3,7.5,2.59,E10,NS,20170101
Mario Tennis Aces,Camelot Software Planning,7.8,7.7,0.72,E,NS,20180101
Kirby Star Allies,HAL Laboratory,8.1,10.0,2.07,E10,NS,20180101
ARMS,Nintendo EPD,7.9,7.0,0.86,E10,NS,20170101
Donkey Kong Country: Tropical Freeze,Retro Studios,9.1,9.1,2.97,E,NS,20180101
Minecraft,4J Studios,9.2,8.9,1.89,E10,NS,20180101
Xenoblade Chronicles 2,Monolith Soft,8.2,6.5,0.48,T,NS,20170101
Octopath Traveler,Square Enix,8.1,8.7,0.43,T,NS,20180101
Pokken Tournament DX,Namco Bandai Games,8.0,7.0,6.3,E10,NS,20170101
The Elder Scrolls V: Skyrim,Bethesda Softworks,8.6,9.1,1.15,M,NS,20170101
Crash Bandicoot N. Sane Trilogy,Toys for Bob,6.0,7.1,1.11,E10,NS,20180101
FIFA 18,EA Vancouver,5.8,9.1,1.1,E,NS,20170101
Nintendo Labo: Toy-Con 01 Variety Kit,Nintendo EPD,7.7,7.2,0.7,E,NS,20180101
