name,developer,ucs,user,sale,rating,platform,date
Majesty 2: The Fantasy Kingdom Sim,Ino-Co / 1C Company,7.3,8.2,0.03,E10,OSX,20090101
Mahjong World Contest,Unknown,9.4,9.1,1.35,no,OSX,20120101
MechRunner,Unknown,9.0,5.8,1.58,no,OSX,20150101
0x10c,Unknown,9.8,9.2,1.92,no,OSX,20140101
15DicePuzzle,Unknown,2.3,7.7,1.0,no,OSX,20150101
1849,Unknown,9.8,8.1,5.21,no,OSX,20140101
4PM,4PM Game LTD,6.2,6.9,0.31,no,OSX,20140101
8BitBoy,Unknown,5.3,7.5,0.78,no,OSX,20140101
99 Levels to Hell,Unknown,5.2,3.8,2.89,no,OSX,20120101
A Hat in Time,Gears for Breakfast,7.3,9.3,1.74,no,OSX,20170101
A Wizard's Lizard,"Lost Decade Games, LLC",4.0,9.4,0.97,no,OSX,20140101
A-10 Cuba!,Match Software,4.9,8.4,0.88,no,OSX,19960101
Aaru's Awakening,Unknown,9.4,7.4,1.22,no,OSX,20130101
Activision Anthology,Aspyr,1.4,4.0,0.2,no,OSX,20030101
Advanced Tactics Gold,VR Designs,7.6,5.6,1.89,no,OSX,20110101
Adventure Chronicles: The Search For Lost Treasure,Unknown,9.1,9.1,3.15,no,OSX,20120101
Adventurezator: When Pigs Fly,Pigasus Games,6.5,7.7,0.03,no,OSX,20150101
Aeon Command,Unknown,7.7,7.6,1.03,no,OSX,20140101
Age of Reflex,Unknown,5.1,8.5,0.15,no,OSX,20140101
Age of Wonders 3,Unknown,3.5,6.8,0.52,no,OSX,20150101
Airships,Unknown,8.8,7.0,0.15,no,OSX,20140101
Akaneiro: Demon Hunters,Unknown,4.2,6.6,0.13,no,OSX,20130101
Alien Spidy,Unknown,6.4,9.7,5.49,no,OSX,20130101
Alone in the Dark (1992),Unknown,6.0,7.3,0.76,no,OSX,19940101
Alone in the Dark 2,Unknown,7.8,5.3,0.24,no,OSX,19960101
Amazing World,GANZ,8.3,9.9,3.07,no,OSX,20140101
Amnesia: A Machine for Pigs,thechineseroom,3.4,7.8,0.08,no,OSX,20130101
Among The Sleep,Krillbite Studio,7.3,7.9,0.67,no,OSX,20140101
Angry FireBalls,Unknown,4.6,8.8,2.39,no,OSX,20110101
Angry Kittens Attack,Unknown,8.9,8.8,1.37,no,OSX,20140101
Anodyne,Analgesic Productions,6.9,9.4,1.96,M,OSX,20130101
Anomaly 2,Unknown,8.4,8.3,0.9,no,OSX,20130101
Anomaly Korea,Unknown,4.3,5.5,0.63,no,OSX,20130101
Anomaly: Warzone Earth,Unknown,5.3,7.3,1.3,no,OSX,20110101
Antique Road Trip 2: Homecoming,Unknown,8.3,9.5,0.94,no,OSX,20110101
Antique Road Trip: USA,Unknown,8.4,7.6,0.06,no,OSX,20100101
Apotheon,Unknown,9.9,5.6,0.55,no,OSX,20150101
AR-K,Gato Salvaje S.L.,4.2,3.5,2.13,no,OSX,20140101
Aritana and the Harpy's Feather,Duaik Entretenimento,7.6,3.4,0.53,E,OSX,20140101
Armello,League of Geeks,6.5,7.9,0.57,E10,OSX,20150101
Armikrog,Pencil Test Studios,-0.0,7.1,1.9,no,OSX,20150101
Ascendant,Unknown,7.4,6.4,2.13,no,OSX,20140101
Assault Android Cactus,Unknown,3.7,9.1,0.7,no,OSX,20130101
Attractio,Unknown,5.6,7.8,4.95,no,OSX,20140101
Awakening: Moonfell Wood,Boomzap,5.9,2.2,0.56,no,OSX,20110101
Awakening: The Dreamless Castle,Boomzap,8.0,4.7,0.29,no,OSX,20100101
Awakening: The Goblin Kingdom,Boomzap,4.7,9.9,0.09,E10,OSX,20110101
Awakening: The Redleaf Forest,Boomzap,9.6,5.3,2.02,no,OSX,20140101
Awakening: The Skyward Castle,Boomzap,2.0,6.2,1.97,no,OSX,20120101
Awakening: The Sunhook Spire,Boomzap,7.9,9.7,1.47,no,OSX,20130101
Aztez,Unknown,4.7,1.3,4.59,no,OSX,20150101
Back To Life 2,Unknown,4.0,5.1,0.1,no,OSX,20140101
Bad Day,Unknown,7.4,4.6,8.87,no,OSX,20200101
Bad Piggies,Rovio Mobile,6.5,7.3,7.64,no,OSX,20120101
Balloon Pop Plus,Unknown,8.4,7.7,1.77,no,OSX,20130101
Ballpoint Universe: Infinite,Unknown,4.9,8.2,2.48,no,OSX,20130101
Bard to the Future,Battlebard Games,3.8,8.5,0.46,no,OSX,20150101
Battle Group 2,Bane Games,9.2,8.3,3.65,no,OSX,20140101
Battle Worlds: Kronos,KING Art Games,5.4,7.3,1.75,E10,OSX,20130101
Battlefied 2,Unknown,8.7,5.8,3.09,no,OSX,20120101
BeatBlasters III,Unknown,4.4,2.4,1.69,no,OSX,20140101
