name,developer,ucs,user,sale,rating,platform,date
TowerFall,Unknown,5.7,4.3,0.12,no,Ouya,20130101
Chronoblade,Unknown,9.1,8.3,0.12,no,Ouya,20200101
Cryamore,Unknown,0.3,6.1,2.65,no,Ouya,20150101
Dex,Dreadlocks Ltd,6.9,6.6,2.93,M,Ouya,20150101
DUBWARS,Unknown,7.8,9.4,2.83,no,Ouya,20140101
Elysian Shadows,Elysian Shadows Team,8.3,9.0,1.26,no,Ouya,20160101
Explosive Dinosaurs,Unknown,3.8,9.1,0.73,no,Ouya,20150101
Fake Colours,Good-feel Co. Ltd.,8.1,9.4,2.99,no,Ouya,20140101
Fist Puncher,Unknown,2.0,6.2,1.5,no,Ouya,20140101
Hyper Light Drifter,Rebellion Games,7.3,5.3,0.75,no,Ouya,20150101
Madera & Figaro in The Rescue of Ginger,Unknown,7.4,9.1,7.18,no,Ouya,20140101
Meltdown (2013),Unknown,8.9,3.4,2.96,no,Ouya,20140101
Monochroma,Unknown,7.5,7.8,2.29,no,Ouya,20150101
Neon Caves,Force Of Habit,7.8,8.5,0.62,no,Ouya,20140101
Pier Solar and the Great Architects,WaterMelon Development,4.3,4.3,0.32,no,Ouya,20200101
PondScum,SoNotSoft dot com,7.1,9.5,6.7,no,Ouya,20140101
Reaper Tale of a Pale Swordsman,Unknown,3.5,9.9,1.24,no,Ouya,20130101
Starbound,Unknown,7.2,7.7,0.1,no,Ouya,20140101
Super Renegade Response,Unknown,4.6,7.8,1.66,no,Ouya,20140101
The Walking Dead: Season Two,Unknown,4.8,8.9,0.92,no,Ouya,20140101
Ultionus: A Tale of Petty Revenge,Unknown,7.9,6.1,5.41,no,Ouya,20140101
Whispering Willows,Unknown,8.2,4.0,1.29,no,Ouya,20140101
So Many Me,"Extend Interactive Co., Ltd.",5.7,8.9,0.16,no,Ouya,20140101
