name,developer,ucs,user,sale,rating,platform,date
PlayerUnknown's Battlegrounds,PUBG Corporation,7.6,6.4,4.25,no,PC,20170101
Minecraft,Mojang AB,10.0,7.2,0.23,no,PC,20100101
Garry's Mod,Team Garry,6.1,9.0,1.73,no,PC,20040101
Counter-Strike: Source,Valve Software,9.3,9.5,1.23,M,PC,20040101
Portal 2,Valve Software,9.7,8.7,0.35,E10,PC,20110101
Grand Theft Auto V,Rockstar North,6.9,6.6,0.54,M,PC,20150101
Diablo III,Blizzard Entertainment,9.0,6.6,3.12,M,PC,20120101
Terraria,Re-Logic,8.8,4.8,0.48,T,PC,20110101
RollerCoaster Tycoon 3,Frontier Developments,8.3,9.8,3.98,E,PC,20040101
Portal,Valve Software,9.0,9.4,0.2,T,PC,20080101
StarCraft,Blizzard Entertainment,8.7,4.0,1.6,T,PC,19980101
Rust,Facepunch Studios,6.1,7.7,1.29,no,PC,20180101
Half-Life 2,Valve Software,9.7,8.0,4.19,M,PC,20040101
The Sims 3,EA Redwood Shores,8.5,0.9,7.96,T,PC,20090101
The Binding of Isaac,Edmund McMillen,8.3,3.7,1.38,no,PC,20110101
Guild Wars,ArenaNet,8.7,0.8,2.78,T,PC,20050101
Myst,Cyan Worlds,8.9,7.3,5.39,E,PC,19950101
Euro Truck Simulator 2,SCS Software,8.5,8.8,1.37,no,PC,20130101
Age of Empires II: HD Edition,Hidden Path Entertainment,7.8,8.4,0.41,no,PC,20130101
Tomb Raider (2013),Crystal Dynamics,8.8,8.9,2.28,M,PC,20130101
The Witcher 3: Wild Hunt,CD Projekt Red Studio,7.9,9.2,0.97,M,PC,20150101
The Forest,Unknown,7.5,8.4,0.92,no,PC,20140101
Fallout: New Vegas,Obsidian Entertainment,8.3,9.7,2.0,M,PC,20100101
Microsoft Flight Simulator,Microsoft,7.0,5.1,5.12,E,PC,19960101
Cities: Skylines,Colossal Order,5.5,9.6,1.99,E,PC,20150101
Guild Wars 2,ArenaNet,8.6,5.8,6.13,T,PC,20120101
Stardew Valley,ConcernedApe,9.2,4.4,1.39,E10,PC,20160101
World of Warcraft: Cataclysm,Blizzard Entertainment,9.0,7.2,0.82,T,PC,20100101
BioShock Infinite,Irrational Games,4.4,0.6,3.07,M,PC,20130101
Dead Island,Techland,7.1,6.6,1.51,M,PC,20110101
Arma 2: Operation Arrowhead,Bohemia Interactive,8.4,8.8,0.84,no,PC,20110101
ARK: Survival Evolved,Studio Wildcard,9.0,8.1,0.74,T,PC,20150101
Riven: The Sequel to Myst,Cyan Worlds,5.5,7.6,0.8,E,PC,19970101
StarCraft II: Wings of Liberty,Blizzard Entertainment,9.3,6.3,6.64,T,PC,20100101
Warcraft III: Reign of Chaos,Blizzard Entertainment,9.3,4.5,1.8,T,PC,20020101
Starbound,Unknown,4.7,9.9,2.59,no,PC,20140101
7 Days to Die,The Fun Pimps,8.0,7.4,0.53,M,PC,20130101
Just Cause 2,Avalanche Studios,8.2,7.8,0.54,M,PC,20100101
Half-Life,Valve Software,9.5,2.8,4.12,M,PC,19980101
The Sims 4,Maxis,7.0,9.8,4.1,T,PC,20140101
Diablo II,Blizzard North,8.8,8.1,1.37,M,PC,20000101
World of Warcraft: Wrath of the Lich King,Blizzard Entertainment,9.3,9.3,2.58,T,PC,20080101
The Elder Scrolls V: Skyrim,Bethesda Game Studios,9.2,5.7,3.99,M,PC,20110101
Half-Life 2: Episode One,Valve Software,8.7,7.7,3.67,M,PC,20060101
The Sims: Unleashed,Maxis,7.3,9.5,3.76,T,PC,20020101
