name,developer,ucs,user,sale,rating,platform,date
Doukyuusei,Flight Plan,8.5,9.9,0.14,no,PCE,19950101
Ginga Fukei Densetsu: Sapphire,CAProduction,7.9,7.1,0.02,no,PCE,19950101
1552 Tenka Dairan,ASK,4.2,9.3,1.55,no,PCE,19930101
1941: Counter Attack,Capcom,8.7,6.3,1.75,no,PCE,19910101
1943 Kai,Capcom,4.9,7.6,0.42,no,PCE,19910101
21 Emon: Mezase! Hotel Ou,NEC Interchannel,2.0,7.8,0.51,no,PCE,19940101
3x3 Eyes: Sanjiyan Henjou,NCS,7.9,5.5,1.41,no,PCE,19940101
A.III: A Ressha de Gyoukou 3,ArtDink,6.6,5.0,4.89,no,PCE,19930101
Advanced V.G.,TGL,8.2,8.1,0.27,no,PCE,19940101
Aero Blasters,Inter State,5.6,4.9,0.33,no,PCE,19900101
After Burner II,Bits Laboratory,3.2,8.4,0.64,no,PCE,19900101
Ai Cho Aniki,Bits Laboratory,6.3,2.0,2.26,no,PCE,19950101
Air Zonk,RED Company,0.9,6.2,0.58,no,PCE,19920101
Akumajou Dracula X: Chi no Rondo,Konami,5.3,6.3,0.42,no,PCE,19930101
Aldynes: The Mission Code for Rage Crisis,Produce!,8.5,9.5,1.13,no,PCE,19910101
Alien Crush,Compile,6.4,8.7,3.62,no,PCE,19890101
Andre Panza Kick Boxing,Loriciel,9.3,9.1,6.61,no,PCE,19910101
Aoi Blink,West One,9.2,4.3,2.17,no,PCE,19900101
Aoki Ookami to Shiroki Meshika: Genchou Hishi,Koei,2.6,9.9,1.52,no,PCE,19930101
Appare! Gateball,West One,6.6,9.2,1.03,no,PCE,19880101
Asuka 120% Maxima: Burning Fest. Maxima,Fill-In Cafe,3.5,8.8,0.53,no,PCE,19950101
Atomic Robo-Kid Special,UPL,3.4,8.2,0.26,no,PCE,19900101
Aurora Quest: Otaku no Seiza in Another World,Pack-In-Video,1.2,7.5,5.31,no,PCE,19930101
AV Poker: World Gambler,Games Express,8.6,4.9,1.43,no,PCE,19920101
Baby Jo: The Super Hero,Loriciels,9.1,8.3,0.08,no,PCE,19920101
Ballistix,Reflections Interactive,5.5,7.9,0.34,no,PCE,19920101
Bari Bari Densetsu,Taito Corporation,2.7,8.7,1.17,no,PCE,19890101
Barunba,Zap,6.5,3.0,3.08,no,PCE,19900101
Batman,SunSoft,8.9,7.3,1.49,no,PCE,19900101
Battle Ace,Hudson Soft,9.5,7.7,0.15,no,PCE,19890101
