name,developer,ucs,user,sale,rating,platform,date
Blue Breaker: Ken Yorimo Hohoemi o,HuneX,8.8,3.6,0.03,no,PCFX,19960101
Ah! My Goddess,NEC,6.5,6.5,1.83,no,PCFX,19970101
Akazukin Cha Cha: Osawagase Panic Race,NEC Interchannel,6.5,7.6,2.48,no,PCFX,19960101
Angelique Special,Koei,8.8,9.8,0.55,no,PCFX,19950101
Angelique Special 2,Koei,7.7,6.9,1.58,no,PCFX,19960101
Angelique Tenkuu no Requiem,Koei,5.5,9.6,5.49,no,PCFX,19980101
Anime Freak FX Vol. 1,NEC Interchannel,3.8,8.7,0.18,no,PCFX,19950101
Anime Freak FX Vol. 2,NEC Interchannel,7.6,7.1,0.32,no,PCFX,19950101
Anime Freak FX Vol. 3,NEC Interchannel,5.0,9.1,2.14,no,PCFX,19960101
Anime Freak FX Vol. 4,NEC Interchannel,4.9,7.6,0.63,no,PCFX,19970101
Anime Freak FX Vol. 5,NEC Interchannel,7.0,5.7,3.04,no,PCFX,19970101
Anime Freak FX Vol. 6,NEC Interchannel,8.2,5.1,1.55,no,PCFX,19980101
Arubarea no Otome,Gimmick House,0.8,8.4,1.97,no,PCFX,19970101
Attractio,Unknown,8.3,6.2,0.86,no,PCFX,20140101
Battle Heat,Hudson Soft,7.9,4.0,2.45,no,PCFX,19940101
Boundary Gate: Daughter of Kingdom,Pack-In-Video,0.8,6.4,0.83,no,PCFX,19970101
Can Can Bunny Extra DX,KID,5.6,7.1,2.63,no,PCFX,19960101
Chip Chan Kick!,NEC,7.5,8.8,2.05,no,PCFX,19960101
Choujin Heiki Zeroigar,NEC,4.4,7.0,0.88,no,PCFX,19970101
Cocktail Pack,Cocktail Soft,7.0,8.5,0.8,no,PCFX,19970101
Comic Road,Cocktail Soft,6.4,9.4,1.83,no,PCFX,19970101
Cutey Honey FX,DataWest,9.1,7.0,0.32,no,PCFX,19950101
Der Langrisser FX,Career Soft,8.4,6.6,0.16,no,PCFX,19960101
Doukyuusei 2,Elf,4.6,8.4,7.53,no,PCFX,19960101
Dragon Knight 4,NEC Avenue,8.3,8.9,7.61,no,PCFX,19970101
EndWar Online,Unknown,5.8,8.0,0.78,no,PCFX,20200101
Farland Story FX,NEC,2.8,9.4,2.76,no,PCFX,19960101
Fire Woman Matoigumi,NEC,3.6,9.6,7.73,no,PCFX,19960101
First Kiss * Monogatari,HuneX,7.4,8.3,2.1,no,PCFX,19980101
Fushigi no Kuni no Angelique,Koei,6.2,7.2,0.55,no,PCFX,19960101
Ginga Ojousama Densetsu Yuna FX: Kanashimi no Siren,Will,9.2,6.0,0.43,no,PCFX,19960101
J.B. Harold: Blue Chicago Blues,Riverhillsoft,6.6,9.0,1.31,no,PCFX,19960101
Kishin Douji Zenki FX: Vajra Fight,Hudson Soft,4.1,8.7,3.18,no,PCFX,19950101
Kokuu Hyouryuu Nirgends,Micro Cabin,5.1,7.5,0.48,no,PCFX,19960101
Konpeki no Kantai,Micro Cabin,6.8,5.4,0.58,no,PCFX,19950101
Last Imperial Prince,NEC,3.2,7.1,1.29,no,PCFX,19970101
Lunatic Dawn FX,ArtDink,8.4,9.4,3.97,no,PCFX,19950101
Mahjong Goku Tenjiku,Chat Noir,7.4,8.8,1.59,no,PCFX,19950101
Makeruna! Makendou Z,Fill In Cafe,0.9,8.4,1.72,no,PCFX,19980101
Megami Tengoku II,NEC,7.0,9.1,3.68,no,PCFX,19960101
Minimum Nanonic,NEC,9.3,2.7,0.44,no,PCFX,19970101
Miraculum: The Last Revelation,Ray Force,9.7,9.2,1.16,no,PCFX,19960101
Ojousama Sousamou,NEC,7.1,6.0,1.48,no,PCFX,19960101
ORION: Dino Horde,Unknown,8.9,7.5,1.22,no,PCFX,20120101
Pachio-Kun FX: Maboroshi no Shima Daikessen,NEC,8.7,6.9,0.01,no,PCFX,19950101
Pia Carrot e Youkoso!!,HuneX,9.0,4.1,2.01,no,PCFX,19970101
Power Dolls FX,Kogado Studio,4.2,9.4,0.44,no,PCFX,19960101
Return to Zork,DataWest,4.2,6.2,1.02,no,PCFX,19950101
Ruruli Ra Rura,NEC,7.5,7.9,0.39,no,PCFX,19980101
Shanghai: The Great Wall,Activision,8.1,7.7,0.37,no,PCFX,19960101
Sotsugyou II: Neo Generation,Riverhillsoft,3.4,8.6,1.64,no,PCFX,19940101
Sotsugyou R: Graduation Real,NEC,5.5,8.1,3.38,no,PCFX,19980101
Sparkling Feather,NEC Home Electronics,7.0,7.2,1.71,no,PCFX,19970101
Super Power League FX,Hudson Soft,5.3,5.7,2.21,no,PCFX,19970101
Super Real Mahjong P 5 FX,Seta Corporation,9.1,9.2,6.7,no,PCFX,19960101
Team Innocent: The Point of No Return,Hudson Soft,6.6,6.3,0.79,no,PCFX,19940101
Tekipaki Working Love FX,NEC Interchannel,3.4,8.3,5.08,no,PCFX,19980101
Tenchi Muyou! Ryououki FX,Micro Cabin,5.8,2.9,0.32,no,PCFX,19960101
Tengai MakyÅ: Ziria,Red Company Corporation,2.0,8.3,4.96,no,PCFX,20140101
Tengai Makyou: Karakuri Kakutoden,Hudson Soft,9.1,8.4,2.81,no,PCFX,19950101
Tokimeki Card Paradise: Koi no Royal Straight Flush,Sonnet,5.9,8.3,2.53,no,PCFX,19960101
Tonari no Princess Rolfee,NEC Interchannel,6.2,5.1,2.48,no,PCFX,19970101
Voice Paradise,ASK,4.5,5.9,1.06,no,PCFX,19960101
Wakusei Koukitai Little Cats,NEC,4.1,4.6,7.58,no,PCFX,19970101
Zen-Nippon Joshi Pro Wrestling: Queen of Queen,NEC,5.9,8.8,0.61,no,PCFX,19950101
Zoku Hatukoi Monogatari: Shuugaku Ryokou,NEC,9.3,9.4,1.47,no,PCFX,19970101
