name,developer,ucs,user,sale,rating,platform,date
Gran Turismo,Polyphony Digital,9.5,7.1,2.64,E,PS,19980101
Final Fantasy VII,SquareSoft,9.6,9.5,0.11,T,PS,19970101
Gran Turismo 2,Polyphony Digital,9.2,1.9,0.49,E,PS,19990101
Final Fantasy VIII,SquareSoft,9.4,9.2,6.4,T,PS,19990101
Tekken 3,Namco,9.6,4.1,0.58,T,PS,19980101
Crash Bandicoot 2: Cortex Strikes Back,Naughty Dog,8.6,2.9,7.58,E,PS,19970101
Crash Bandicoot 3: Warped,Naughty Dog,9.3,7.4,7.13,E,PS,19980101
Crash Bandicoot,Naughty Dog,7.8,6.6,0.98,E,PS,19960101
Driver,Reflections Interactive,8.5,8.8,6.27,T,PS,19990101
Metal Gear Solid,Konami Computer Entertainment Japan,9.3,7.1,1.91,M,PS,19980101
Tekken 2,Namco,9.1,9.3,5.74,T,PS,19960101
Final Fantasy IX,SquareSoft,9.2,9.1,0.75,T,PS,20000101
Tomb Raider II,Core Design Ltd.,7.6,9.9,5.24,T,PS,19970101
Tony Hawk's Pro Skater,Neversoft Entertainment,9.6,6.9,5.02,T,PS,19990101
Warzone 2100,Pumpkin Studios,6.7,7.5,5.01,T,PS,19990101
Spyro the Dragon,Insomniac Games,8.7,9.0,5.0,E,PS,19980101
Resident Evil 2,Capcom,9.3,5.4,2.48,M,PS,19980101
Crash Team Racing,Naughty Dog,9.2,8.0,4.79,E,PS,19990101
Driver 2,Reflections Interactive,7.0,9.4,4.73,T,PS,20000101
Tony Hawk's Pro Skater 2,Neversoft Entertainment,9.3,6.9,4.68,T,PS,20000101
Tomb Raider,Core Design Ltd.,8.9,6.6,4.63,T,PS,19960101
Dragon Quest VII,Heart Beat,8.0,9.0,0.2,T,PS,20010101
Frogger,Millenium Interactive,7.1,7.4,4.16,E,PS,19970101
Namco Museum Vol.3,Namco,9.1,9.4,4.05,E,PS,19970101
Namco Museum Vol.1,Namco,8.8,9.4,3.84,E,PS,19960101
Harry Potter and the Sorcerer's Stone,Argonaut Games,8.0,7.8,3.73,E,PS,20010101
Spyro: Year of the Dragon,Insomniac Games,9.1,9.5,3.71,E,PS,20000101
WWF SmackDown!,Yuke's,3.9,7.9,3.58,T,PS,20000101
Croc: Legend of the Gobbos,Argonaut Games,7.6,3.2,3.56,E,PS,19970101
Tomb Raider III: Adventures of Lara Croft,Core Design Ltd.,8.2,7.7,3.54,T,PS,19980101
Rugrats in Paris: The Movie,Avalanche Software,0.2,7.7,3.52,E,PS,20000101
Spyro 2: Ripto's Rage!,Insomniac Games,8.7,8.7,3.52,E,PS,19990101
Resident Evil 3: Nemesis,Capcom,9.4,5.8,1.99,M,PS,19990101
Grand Theft Auto 2,DMA Design,6.9,8.4,3.42,no,PS,19990101
Crash Bash,Eurocom Entertainment Software,6.8,6.5,3.39,E,PS,20000101
WWF War Zone,Iguana Entertainment,7.3,7.5,3.36,T,PS,19980101
Rugrats: Search For Reptar,n-Space,9.5,6.8,3.34,E,PS,19980101
Tekken,Namco,8.3,8.7,3.24,T,PS,19950101
007: Tomorrow Never Dies,Black Ops Entertainment,6.2,9.0,3.21,T,PS,19990101
WWF SmackDown! 2: Know Your Role,Yuke's,8.7,6.1,3.2,T,PS,20000101
Spider-Man,Neversoft Entertainment,7.5,9.1,3.13,E,PS,20000101
Need for Speed III: Hot Pursuit,EA Canada,5.3,2.8,3.12,E,PS,19980101
Rayman,Ubisoft Montpellier,7.0,5.7,3.03,E,PS,19950101
Syphon Filter,Eidetic,9.2,5.1,2.88,T,PS,19990101
Colin McRae Rally,Codemasters,7.9,9.3,2.87,E,PS,20000101
Hot Shots Golf,Camelot Software Planning,8.1,5.2,2.79,no,PS,19980101
A Bug's Life,Traveller's Tales,3.6,3.9,2.79,E,PS,19980101
Mortal Kombat Trilogy,Avalanche Software,4.6,6.8,2.79,M,PS,19960101
Resident Evil,Capcom,8.6,9.8,1.84,M,PS,19960101
Medal of Honor,DreamWorks Interactive,9.3,8.5,2.67,T,PS,19990101
Hot Shots Golf,Camelot Software Planning,3.4,9.7,2.56,no,PS,19980101
Final Fantasy Tactics,SquareSoft,8.8,7.8,2.59,T,PS,19980101
Tomb Raider: The Last Revelation,Core Design Ltd.,5.5,9.3,2.48,T,PS,19990101
Twisted Metal 2,SingleTrac,8.7,5.6,2.44,T,PS,19960101
Tetris Plus,Atlus Co.,3.2,8.5,2.4,E,PS,19960101
Dino Crisis,Capcom Production Studio 4,8.9,6.8,5.5,M,PS,19990101
Grand Theft Auto,DMA Design,6.0,7.9,2.32,M,PS,19980101
Need for Speed: High Stakes,EA Canada,9.2,8.4,2.31,E,PS,19990101
Cool Boarders 3,Idol Minds Digital Entertainment,7.7,6.0,2.31,E,PS,19980101
TOCA Championship Racing,Codemasters,8.5,8.9,2.28,E,PS,19980101
Cool Boarders 2,UEP Systems,7.1,8.1,2.25,E,PS,19970101
Syphon Filter 2,Eidetic,2.3,4.1,2.15,M,PS,20000101
Derby Stallion,ParityBit,8.4,6.2,2.09,no,PS,19970101
Spec Ops: Airborne Commando,Big Grub,8.5,7.1,2.07,T,PS,20020101
R4: Ridge Racer Type 4,Namco,9.1,7.5,2.06,E,PS,19990101
Tenchu: Stealth Assassins,Acquire,8.8,8.1,1.99,M,PS,19980101
Harry Potter and the Chamber of Secrets,Argonaut Games,2.5,9.8,1.98,E,PS,20020101
Scooby Doo and the Cyber Chase,Art,3.8,8.9,1.94,E,PS,20010101
Jet Moto 2,SingleTrac,9.5,7.5,1.94,E,PS,19970101
PaRappa The Rapper,NanaOn-Sha,9.2,9.6,1.92,E,PS,19970101
Parasite Eve,SquareSoft,7.9,6.8,0.01,M,PS,19980101
Yu-Gi-Oh! Forbidden Memories,KCEJ,7.0,6.8,1.88,E,PS,20020101
Hot Shots Golf 2,Clap Hanz,6.5,9.1,1.88,no,PS,20000101
WCW Nitro,Inland Productions,8.7,8.3,1.88,E,PS,19980101
FIFA 2000,EA Canada,8.8,7.9,1.87,E,PS,19990101
The Legend of Dragoon,SCEI,7.8,6.5,1.86,T,PS,20000101
Jet Moto,SingleTrac,3.7,8.6,1.83,E,PS,19960101
Air Combat,Namco,7.0,9.5,1.83,E,PS,19950101
NFL GameDay 2000,Red Zone Entertainment,1.8,7.6,1.8,E,PS,19990101
SpongeBob SquarePants: SuperSponge,Climax Group,7.9,9.4,1.78,E,PS,20010101
WWF Attitude,Acclaim Entertainment,8.2,9.9,1.76,T,PS,19990101
Madden NFL 2000,EA Tiburon,1.3,3.0,1.75,E,PS,19990101
Star Wars Episode I: The Phantom Menace,Big Ape Productions,6.0,7.2,1.74,T,PS,19990101
Madden NFL 99,EA Sports,7.3,7.2,1.74,E,PS,19980101
Twisted Metal III,989 Studios,4.4,5.8,1.73,T,PS,19980101
Toy Story 2: Buzz Lightyear to the Rescue!,Traveller's Tales,1.2,8.2,1.71,E,PS,19990101
Chrono Cross,SquareSoft,9.7,7.1,0.91,T,PS,20000101
Jampack Winter '99,Sony Computer Entertainment America,2.1,7.0,1.69,T,PS,19990101
WCW/NWO Thunder,Inland Productions,5.1,5.3,1.69,no,PS,19980101
NFL GameDay 98,989 Studios,8.6,9.5,1.68,E,PS,19970101
Time Crisis,Namco,8.5,6.3,1.68,T,PS,19970101
Madden NFL 2001,EA Sports,5.7,8.7,1.67,E,PS,20000101
Tony Hawk's Pro Skater 3,Neversoft,9.9,8.8,1.67,E,PS,20010101
Tom Clancy's Rainbow Six,Rebellion Developments,3.6,7.5,1.64,T,PS,19990101
Ape Escape,SCE Japan Studio,9.3,8.9,1.63,E,PS,19990101
Sled Storm,EA Canada,0.1,7.9,1.62,E,PS,19990101
Silent Hill,KCET,8.9,0.7,1.6,M,PS,19990101
Soul Blade,Namco,8.6,8.3,1.59,T,PS,19970101
NASCAR 2000,Stormfront Studios,4.8,8.7,1.59,E,PS,19990101
Jampack Summer 2K,Sony Computer Entertainment America,3.8,8.6,1.58,M,PS,20000101
Twisted Metal,SingleTrac,7.0,6.1,1.56,T,PS,19950101
Spider-Man 2: Enter: Electro,Vicarious Visions,5.5,8.6,1.55,E,PS,20010101
Die Hard Trilogy,Probe Entertainment Limited,8.5,5.4,1.54,M,PS,19960101
NFL GameDay 99,Red Line Studios,3.8,6.4,1.53,E,PS,19980101
Tiger Woods 99 PGA Tour Golf,EA Sports,9.5,9.4,1.53,E,PS,19980101
Knockout Kings,Press Start Inc.,7.5,9.2,1.52,E,PS,19980101
NASCAR 98,Stormfront Studios,8.9,7.2,1.52,E,PS,19970101
NASCAR 99,Stormfront Studios,5.1,8.9,1.52,E,PS,19980101
NBA Live 2000,NuFX,5.9,1.3,1.52,E,PS,19990101
Simpsons Wrestling,Big Ape Productions,8.7,9.4,1.51,T,PS,20010101
NBA Live 98,EA Canada,7.4,8.4,1.51,E,PS,19970101
Monopoly,Gremlin Interactive,4.1,7.2,1.51,E,PS,19970101
NFL Blitz,Midway Games,9.1,0.2,1.5,E,PS,19980101
Pac-Man World,Namco,9.2,7.1,1.5,E,PS,19990101
Triple Play 99,Treyarch,2.5,9.9,1.46,E,PS,19980101
Mortal Kombat 4,Eurocom Entertainment Software,5.2,6.4,1.46,M,PS,19980101
WCW vs the World,Aki Corp.,6.9,7.8,1.46,E,PS,19980101
Frogger 2: Swampy's Revenge,Blitz Games,9.4,7.8,1.43,E,PS,20000101
Triple Play 2000,Treyarch,4.2,9.4,1.43,E,PS,19990101
Knockout Kings 2000,EA Sports,7.4,3.1,1.41,T,PS,19990101
2Xtreme,SCEA,8.3,5.7,1.4,E,PS,19960101
Madden NFL 2002,EA Sports,4.0,7.2,1.39,E,PS,20010101
Duke Nukem: Time to Kill,n-Space,9.4,9.1,1.38,M,PS,19980101
A Collection of Activision Classic Games for the Atari 2600,"Livesay Technologies, Inc.",3.8,6.3,1.37,E,PS,19980101
Dance Dance Revolution (Japan),Konami Computer Entertainment Tokyo,7.1,6.3,1.35,no,PS,19990101
Madden NFL 98,EA Tiburon,8.8,7.7,1.35,E,PS,19970101
Triple Play 2001,Treyarch,5.1,7.8,1.33,E,PS,20000101
TOCA 2 Touring Car Championship,Codemasters,8.6,9.7,1.32,E,PS,19990101
Fighting Force,Core Design Ltd.,4.6,7.6,1.32,T,PS,19970101
Madden NFL 97,EA Tiburon,6.2,7.2,1.32,E,PS,19960101
TNN Motor Sports Hardcore 4x4,Gremlin Interactive,6.0,9.4,1.31,E,PS,19960101
Rugrats Studio Tour,n-Space,7.8,7.3,1.31,E,PS,19990101
Dragon Quest IV: Michibikareshi Monotachi,Heart Beat,7.3,5.6,0.14,no,PS,20010101
SaGa Frontier,SquareSoft,8.0,6.8,1.5,T,PS,19980101
