name,developer,ucs,user,sale,rating,platform,date
Grand Theft Auto: San Andreas,Rockstar North,9.5,5.8,0.08,M,PS2,20040101
Grand Theft Auto: Vice City,Rockstar North,9.6,6.5,16.15,M,PS2,20020101
Gran Turismo 3: A-Spec,Polyphony Digital,9.3,8.6,2.98,E,PS2,20010101
Grand Theft Auto III,DMA Design,9.5,7.8,13.1,M,PS2,20010101
Gran Turismo 4,Polyphony Digital,8.7,9.9,6.95,E,PS2,20050101
Final Fantasy X,SquareSoft,9.0,10.0,6.11,T,PS2,20010101
Need for Speed Underground,EA Black Box,8.6,7.7,7.2,E,PS2,20030101
Need for Speed Underground 2,EA Black Box,8.3,3.6,6.9,E,PS2,20040101
Medal of Honor: Frontline,EA Los Angeles,9.0,8.3,6.83,T,PS2,20020101
Final Fantasy XII,Square Enix,9.4,9.5,1.35,T,PS2,20060101
Kingdom Hearts,SquareSoft,8.5,7.8,4.09,E,PS2,20020101
Metal Gear Solid 2: Sons of Liberty,Konami Computer Entertainment Japan,9.5,7.0,6.05,M,PS2,20010101
Final Fantasy X-2,Square Enix,8.3,7.7,0.84,T,PS2,20030101
Crash Bandicoot: The Wrath of Cortex,Traveller's Tales,6.9,8.6,5.42,E,PS2,20010101
Madden NFL 2004,EA Tiburon,9.5,9.2,5.23,E,PS2,20030101
Kingdom Hearts II,Square Enix,8.3,2.7,0.13,E10,PS2,20060101
Medal of Honor: Rising Sun,EA Los Angeles,5.9,7.2,5.13,T,PS2,20030101
Guitar Hero II,Harmonix Music Systems,9.2,8.2,5.12,T,PS2,20060101
Guitar Hero III: Legends of Rock,BudCat Creations,8.2,4.3,4.98,T,PS2,20070101
Madden NFL 06,EA Tiburon,9.1,9.2,4.91,E,PS2,20050101
Dragon Quest VIII: Journey of the Cursed King,Level 5 / Armor Project,8.6,8.1,0.57,T,PS2,20050101
The Simpsons: Hit & Run,Radical Entertainment,7.7,5.1,4.7,T,PS2,20030101
The Lord of the Rings: The Two Towers,Stormfront Studios,8.3,2.5,4.67,T,PS2,20020101
God of War,SCEA Santa Monica Studio,9.3,7.6,2.59,M,PS2,20050101
Madden NFL 2005,EA Tiburon,9.5,9.2,4.53,E,PS2,20040101
Madden NFL 07,EA Tiburon,8.5,7.1,4.49,E,PS2,20060101
Spider-Man: The Movie,Treyarch,8.2,7.7,4.48,E,PS2,20020101
Tony Hawk's Pro Skater 3,Neversoft Entertainment,9.1,9.2,4.41,T,PS2,20010101
Winning Eleven: Pro Evolution Soccer 2007,Konami Computer Entertainment Tokyo,8.8,5.8,4.39,E,PS2,20070101
Need for Speed: Most Wanted,EA Canada,8.6,7.4,4.37,T,PS2,20050101
God of War II,SCEA Santa Monica Studio,9.3,9.8,0.26,M,PS2,20070101
Metal Gear Solid 3: Snake Eater,KCEJ / Kojima Productions,9.0,5.5,4.23,M,PS2,20040101
FIFA Soccer 06,EA Canada,8.4,6.0,4.21,E,PS2,20050101
Madden NFL 2003,EA Tiburon,9.4,8.6,4.14,E,PS2,20020101
FIFA 07 Soccer,Team Fusion,8.4,3.1,4.11,E,PS2,20060101
World Soccer Winning Eleven 9,Konami Computer Entertainment Tokyo,8.9,9.3,4.06,E,PS2,20060101
Tekken Tag Tournament,Namco,8.7,6.7,4.05,T,PS2,20000101
EyeToy Play,SCEE London Studio,7.5,5.3,0.41,E,PS2,20030101
Namco Museum: 50th Anniversary,Digital Eclipse,7.9,8.5,3.98,E10,PS2,20050101
Tony Hawk's Underground,Neversoft Entertainment,8.7,8.7,3.9,T,PS2,20030101
World Soccer Winning Eleven 8 International,Konami Computer Entertainment Tokyo,9.3,7.7,3.85,E,PS2,20050101
FIFA Soccer 2005,EA Canada,8.4,0.1,3.7,E,PS2,20040101
Tony Hawk's Pro Skater 4,Neversoft Entertainment,9.6,0.9,3.67,T,PS2,20020101
SOCOM: U.S. Navy SEALs,Zipper Interactive,8.0,9.8,3.65,M,PS2,20020101
Jak and Daxter: The Precursor Legacy,Naughty Dog,9.0,8.9,3.64,E,PS2,20010101
Pro Evolution Soccer 2008,Konami,8.2,7.3,3.63,E,PS2,20080101
Star Wars Battlefront,Pandemic Studios,8.1,7.4,3.61,T,PS2,20040101
The Simpsons: Road Rage,Radical Entertainment,6.1,8.4,3.61,T,PS2,20010101
Star Wars Battlefront II,Pandemic Studios,8.5,8.7,3.59,T,PS2,20050101
Grand Theft Auto: Liberty City Stories,Rockstar Leeds,8.3,7.6,3.54,M,PS2,20060101
The Getaway,Team Soho,7.7,10.0,3.54,M,PS2,20030101
James Bond 007: Agent Under Fire,EA Redwood Shores,6.1,8.2,3.53,T,PS2,20010101
LEGO Star Wars: The Video Game,Traveller's Tales,7.9,8.0,3.53,E,PS2,20050101
FIFA Soccer 2004,EA Canada,8.0,4.6,3.49,E,PS2,20030101
Dragon Ball Z: Budokai,Dimps Corporation,7.8,7.3,6.4,T,PS2,20020101
Tekken 4,Namco,7.9,5.7,3.44,T,PS2,20020101
Spider-Man 2,Treyarch,7.9,6.3,3.41,T,PS2,20040101
FIFA Soccer 2003,EA Canada,6.5,6.2,3.4,E,PS2,20020101
James Bond 007: Nightfire,Eurocom Entertainment Software,9.2,9.8,3.33,T,PS2,20020101
Ratchet & Clank,Insomniac Games,8.8,7.8,3.33,T,PS2,20020101
Star Wars Episode III: Revenge of the Sith,The Collective,5.5,6.3,3.32,T,PS2,20050101
Max Payne,Remedy Entertainment,8.1,8.5,3.31,M,PS2,20010101
The Lord of the Rings: The Return of the King,"Hypnos Entertainment, Inc.",8.4,8.6,3.28,T,PS2,20030101
True Crime: Streets of LA,Luxoflux,5.4,8.8,3.27,M,PS2,20030101
Enter the Matrix,Shiny Entertainment,7.7,7.8,3.18,T,PS2,20030101
Ace Combat 04: Shattered Skies,Namco,8.9,7.5,3.17,E,PS2,20010101
Sonic Heroes,Sonic Team,6.6,5.2,1.79,E,PS2,20040101
FIFA Soccer 08,EA Canada,3.6,7.8,3.14,E,PS2,20070101
Madden NFL 2002,EA Sports,7.2,9.7,3.08,E,PS2,20010101
WWE SmackDown! Shut Your Mouth,Yuke's Future Media Creators,2.1,8.2,3.02,no,PS2,20020101
