name,developer,ucs,user,sale,rating,platform,date
Gran Turismo (PSP),Polyphony Digital,7.8,5.0,2.82,E,PSN,20090101
Killzone 2: DLC Bundle Pack,Guerrilla Games,8.8,8.0,0.59,M,PSN,20150101
Journey,thatgamecompany,4.7,0.1,0.17,E,PSN,20120101
Ratchet & Clank Future: Quest for Booty,Insomniac Games,7.7,8.7,0.09,E10,PSN,20080101
Sly 2: Band of Thieves,Sucker Punch Productions,9.2,3.9,0.07,no,PSN,20110101
Resident Evil Director's Cut,Capcom,8.0,4.8,0.06,M,PSN,20090101
Castlevania: Lords of Shadow - Reverie,Mercury Steam,7.0,5.6,0.03,M,PSN,20110101
World Sports Competition,Hudson Soft,4.4,8.6,0.03,E,PSN,20110101
Worms,Team17 Software,4.5,6.7,0.02,E10,PSN,20090101
Tom Clancy's Splinter Cell Classic Trilogy HD,Ubisoft,7.7,8.4,0.02,M,PSN,20110101
Metal Gear Solid,Konami Computer Entertainment Japan,7.2,7.5,0.0,M,PSN,20090101
Watchmen: The End is Nigh,Deadline Games,8.6,7.9,0.0,M,PSN,20090101
Brain Challenge,Gameloft,2.2,9.5,0.0,E,PSN,20080101
Ferrari: The Race Experience,Eutechnyx,9.3,4.7,0.0,E,PSN,20110101
Beat Sketcher,"Will Co., Ltd. Noisycroak",7.1,6.0,0.0,E,PSN,20100101
.deTuned,.theprodukkt,4.5,4.9,5.92,E,PSN,20090101
0 Kara no Shogi: Shogi Youchien Ayumi Kumi R,Affect,8.3,8.0,2.65,no,PSN,20100101
1 on 1,Jorudan,5.5,9.1,0.03,no,PSN,20090101
1000 Tiny Claws,Mediatonic,8.2,6.4,2.48,E10,PSN,20110101
101-in-1 Megamix,Nordcurrent,8.5,1.9,1.08,E,PSN,20100101
1942: Joint Strike,Backbone Entertainment,7.0,1.1,2.0,E10,PSN,20080101
2010 FIFA World Cup South Africa,EA Canada,6.8,8.5,0.81,E,PSN,20100101
20Q,20Q. Net Inc.,8.7,7.6,1.23,no,PSN,20110101
2Xtreme,SCEA,6.4,10.0,0.87,E,PSN,20070101
3 on 3 NHL Arcade,EA Canada,5.0,5.8,0.25,E,PSN,20090101
"3,2,1... SuperCrash!",StormBasic Games,5.2,9.6,1.07,E,PSN,20100101
300: March to Glory,Collision Studios,5.4,6.3,5.14,M,PSN,20090101
3D Twist & Match,Sanuk Games,9.1,6.8,2.17,E,PSN,20110101
3D Ultra MiniGolf Adventures 2,Wanako Studios,3.3,5.5,0.88,E,PSN,20100101
4 Elements HD,Boolat Games,5.7,7.5,0.38,no,PSN,20110101
40 Winks,Eurocom Entertainment Software,8.6,1.5,0.06,no,PSN,20100101
428: Fuusa Sareta Shibuya de,ChunSoft,5.7,8.5,0.35,no,PSN,20110101
4x4 Jam,Invictus Games,8.1,8.0,0.03,E,PSN,20100101
5-in-1 Arcade Hits,Grip Games,9.8,4.2,0.57,E,PSN,20100101
