name,developer,ucs,user,sale,rating,platform,date
Grand Theft Auto: Liberty City Stories,Rockstar Leeds,8.8,8.4,7.72,M,PSP,20050101
Grand Theft Auto: Vice City Stories,Rockstar Leeds,8.4,5.2,5.08,M,PSP,20060101
Monster Hunter Freedom 3,Capcom,8.0,4.2,0.35,no,PSP,20100101
Gran Turismo,Polyphony Digital,7.7,9.5,0.03,E,PSP,20090101
Daxter,Ready at Dawn,8.6,3.3,4.23,E10,PSP,20060101
Monster Hunter Freedom Unite,Capcom Production Studio 1,7.7,9.7,0.7,T,PSP,20090101
Ratchet & Clank: Size Matters,High Impact Games,8.5,8.7,3.75,E10,PSP,20070101
Midnight Club 3: DUB Edition,Rockstar Leeds,7.2,5.9,3.66,E10,PSP,20050101
Tekken: Dark Resurrection,8ing/Raizing,8.7,7.0,0.06,T,PSP,20060101
Gran Turismo (PSP),Polyphony Digital,7.6,7.1,3.27,E,PSP,20090101
God of War: Chains of Olympus,Ready at Dawn,8.9,9.5,2.26,M,PSP,20080101
Medal of Honor Heroes,Team Fusion,6.7,9.6,2.66,T,PSP,20060101
LittleBigPlanet,SCEE Cambridge,8.8,9.2,2.61,E,PSP,20090101
Crisis Core: Final Fantasy VII,Square Enix,8.1,9.0,3.09,T,PSP,20080101
Need for Speed Carbon: Own the City,EA Black Box,7.4,6.8,2.42,E10,PSP,20060101
Monster Hunter Freedom 2,Capcom,7.6,6.5,2.7,T,PSP,20070101
Call of Duty: Roads to Victory,Amaze Entertainment,6.1,9.7,2.14,T,PSP,20070101
Need for Speed: Most Wanted 5-1-0,EA Black Box,7.4,9.0,2.09,E10,PSP,20050101
Metal Gear Solid: Peace Walker,Kojima Productions,8.6,5.5,2.08,T,PSP,20100101
Hot Shots Golf: Open Tee,Clap Hanz,8.4,9.4,1.96,E10,PSP,20050101
Dissidia: Final Fantasy,Square Enix,8.1,10.0,0.34,T,PSP,20090101
Kingdom Hearts: Birth by Sleep,Square Enix,7.9,6.3,2.58,E10,PSP,20100101
Star Wars Battlefront: Renegade Squadron,Rebellion Developments,7.5,5.8,1.68,T,PSP,20070101
Sonic Rivals 2,Backbone Entertainment,6.4,7.7,1.52,E,PSP,20070101
Sega Genesis Collection,Sega,8.3,4.8,1.45,T,PSP,20060101
Sonic Rivals,Backbone Entertainment,7.0,6.3,1.44,E,PSP,20060101
LEGO Star Wars II: The Original Trilogy,Traveller's Tales,8.4,1.9,1.41,E10,PSP,20060101
Ridge Racer,Namco,8.8,7.9,1.41,E,PSP,20050101
The Sims 2,Maxis,6.2,8.8,1.38,T,PSP,20050101
FIFA Soccer 08,EA Canada,7.9,5.7,1.35,E,PSP,20070101
FIFA Soccer 09,EA Canada,8.1,6.0,1.35,E,PSP,20080101
Need for Speed Underground Rivals,Team Fusion,7.6,9.8,1.32,E,PSP,20050101
LEGO Batman: The Videogame,Traveller's Tales,7.9,6.4,1.3,E10,PSP,20080101
Monster Hunter Freedom,Capcom,7.0,7.4,3.32,T,PSP,20060101
Assassin's Creed: Bloodlines,Griptonite Studio,6.3,3.1,1.26,M,PSP,20090101
Star Wars Battlefront II,Savage Entertainment,6.9,3.1,1.22,T,PSP,20050101
FIFA 07 Soccer,EA Canada,8.0,9.8,1.21,E,PSP,20060101
Cars,Locomotive Games,7.4,3.1,1.21,E,PSP,20060101
FIFA Soccer 11,HB Studios,7.0,4.3,1.21,E,PSP,20100101
World Soccer Winning Eleven 9 (JP & Others sales),Konami Computer Entertainment Tokyo,8.0,8.4,1.2,E,PSP,20060101
God of War: Ghost of Sparta,Ready at Dawn,8.3,7.0,2.82,M,PSP,20100101
Metal Gear Solid: Portable Ops,Kojima Productions,8.7,4.8,1.19,M,PSP,20060101
WWE SmackDown vs Raw 2008,Yuke's Media Creations,7.3,9.8,1.19,T,PSP,20070101
LEGO Indiana Jones: The Original Adventures,Traveller's Tales,7.6,9.3,1.18,E10,PSP,20080101
Medal of Honor Heroes 2,Team Fusion,6.6,6.6,1.16,T,PSP,20070101
FIFA Soccer 10,EA Canada,7.9,0.3,1.16,E,PSP,20090101
Tekken 6,Namco Bandai Games,8.2,9.1,0.53,T,PSP,20090101
