name,developer,ucs,user,sale,rating,platform,date
Minecraft,4J Studios,4.1,8.3,2.47,E10,PSV,20140101
Call of Duty Black Ops: Declassified,Nihilistic,8.0,4.7,1.71,M,PSV,20120101
Uncharted: Golden Abyss,SCEA Bend Studio / Naughty Dog,7.9,9.4,1.62,T,PSV,20120101
Assassin's Creed III: Liberation,Ubisoft,5.8,5.4,1.48,M,PSV,20120101
LittleBigPlanet PS Vita,Media Molecule,8.3,6.0,1.38,E,PSV,20120101
Persona 4 Golden,Atlus,8.8,8.6,1.25,M,PSV,20120101
Need for Speed: Most Wanted (2012),Criterion Games,5.5,2.4,1.12,E10,PSV,20120101
Killzone: Mercenary,Guerrilla Games,4.1,7.7,0.92,no,PSV,20130101
Final Fantasy X / X-2 HD Remaster,Square Enix,4.1,8.1,0.86,T,PSV,20140101
Mortal Kombat (2011),NetherRealm Studios,8.8,6.5,0.71,M,PSV,20120101
Borderlands 2,Gearbox Software,1.5,7.6,0.68,M,PSV,20140101
FIFA 15,EA Canada,8.9,9.3,0.66,E,PSV,20140101
Freedom Wars,SCE Japan Studio,0.7,7.4,0.66,T,PSV,20140101
Tearaway,Media Molecule,4.2,8.3,0.65,E,PSV,20130101
FIFA Soccer,EA Canada,6.2,8.7,0.63,no,PSV,20120101
Gravity Rush,SCE Japan Studio,6.6,4.6,0.6,T,PSV,20120101
Hot Shots Golf: World Invitational,Clap Hanz,7.9,5.0,0.59,E,PSV,20120101
Rayman Origins,UBIart Montpellier,9.2,9.1,0.59,E10,PSV,20120101
Lego Marvel Super Heroes: Universe in Peril,TT Fusion,8.7,7.3,0.57,E10,PSV,20140101
Soul Sacrifice,Marvelous Entertainment,3.8,9.4,0.56,M,PSV,20130101
Unit 13,Zipper Interactive,6.9,7.6,0.53,no,PSV,20120101
FIFA 14,EA Canada,4.8,6.0,0.5,E,PSV,20130101
PlayStation All-Stars Battle Royale,Bluepoint Games,8.7,6.7,0.5,T,PSV,20120101
Virtua Tennis 4: World Tour,Sega,7.0,4.0,0.49,E,PSV,20120101
Batman: Arkham Origins Blackgate,Armature Studio,9.0,6.8,0.48,T,PSV,20130101
FIFA Soccer 13,EA Canada,7.0,5.5,0.46,E,PSV,20120101
God Eater 2,Shift,9.3,9.2,0.45,no,PSV,20130101
Sonic & Sega All-Stars Racing Transformed,Sumo Digital,6.0,3.6,0.44,no,PSV,20120101
Metal Gear Solid HD Collection,Kojima Productions,7.6,9.4,0.44,M,PSV,20120101
Resistance: Burning Skies,Nihilistic Software,8.3,8.7,0.44,RP,PSV,20120101
God Eater 2: Rage Burst,Namco Bandai Games,4.8,6.0,0.44,T,PSV,20160101
Ragnarok Odyssey,Game Arts,7.6,5.0,0.42,no,PSV,20120101
Sword Art Online: Lost Song,Namco Bandai Games,7.0,9.0,0.41,no,PSV,20150101
Dragon's Crown,Vanillaware,6.8,0.4,0.39,RP,PSV,20130101
Wipeout 2048,Studio Liverpool,2.3,7.4,0.38,E10,PSV,20120101
Tales of Hearts R,7thChord,3.3,9.3,0.38,T,PSV,20140101
Persona 4: Dancing All Night,Dingo Inc.,5.8,9.6,0.38,T,PSV,20150101
LEGO Batman 2: DC Super Heroes,TT Fusion,7.8,5.0,0.37,E10,PSV,20120101
Toukiden,Omega Force,3.7,9.3,0.36,no,PSV,20140101
World of Final Fantasy,Square Enix,6.7,8.3,0.35,E10,PSV,20160101
Madden NFL 13,EA Tiburon,6.2,4.2,0.35,E,PSV,20120101
Danganronpa: Trigger Happy Havoc,Spike Chunsoft,8.2,5.8,0.34,M,PSV,20140101
Hatsune Miku: Project Diva F 2nd,Sega,2.9,5.0,0.32,T,PSV,20140101
LEGO The Lord of the Rings,TT Fusion,5.3,5.7,0.32,no,PSV,20120101
Little Deviants,Bigbig Studios,1.8,8.5,0.32,E10,PSV,20120101
Senran Kagura Shinovi Versus,Tamsoft,5.4,9.8,0.31,M,PSV,20140101
Ultimate Marvel vs. Capcom 3,Capcom,9.4,5.0,0.31,T,PSV,20120101
Modnation Racers: Road Trip,SCEA,2.2,9.7,0.31,E,PSV,20120101
Dragon Quest Builders: Revive Alefgard,Square Enix,0.9,9.7,0.31,E10,PSV,20160101
The LEGO Movie Videogame,TT Fusion,7.9,7.3,0.31,E10,PSV,20140101
Lego Batman 3: Beyond Gotham,TT Fusion,9.3,7.9,0.31,E10,PSV,20140101
Sword Art Online: Hollow Fragment,Bandai Namco Games,0.3,5.6,0.3,no,PSV,20140101
Disgaea 3: Absence of Detention,Nippon Ichi Software,4.9,8.2,0.29,T,PSV,20120101
Sly Cooper: Thieves in Time,Sanzaru Games,5.8,8.7,0.27,no,PSV,20130101
LEGO Jurassic World,TT Fusion,2.6,7.8,0.27,E10,PSV,20150101
Ninja Gaiden Sigma Plus,Team Ninja,7.6,9.5,0.26,M,PSV,20120101
Sword Art Online: Hollow Realization,Aquria,3.5,7.7,0.26,T,PSV,20180101
Asphalt: Injection,Ubisoft,4.8,8.9,0.26,E10,PSV,20120101
The Legend of Heroes: Trails of Cold Steel II,Nihon Falcom Corporation,6.9,9.2,0.26,T,PSV,20160101
Dynasty Warriors Next,Omega Force,5.8,7.7,0.26,T,PSV,20120101
The Legend of Heroes: Trails of Cold Steel,Nihon Falcom Corporation,5.7,9.5,0.25,T,PSV,20150101
Dragon Quest Heroes II: Twin Kings and the Prophecy's End,Omega Force,4.5,8.3,0.25,no,PSV,20160101
Jikkyou Powerful Pro Baseball 2016,Konami Digital Entertainment,2.3,6.9,0.25,no,PSV,20160101
Ys: Memories of Celceta,Nihon Falcom Corporation,4.2,8.8,0.25,T,PSV,20130101
Lumines: Electronic Symphony,Q Entertainment,6.0,8.3,0.24,E,PSV,20120101
Toukiden: The Age of Demons,Omega Force,6.6,5.7,0.24,T,PSV,20150101
Muramasa Rebirth,Vanillaware,2.4,9.2,0.24,T,PSV,20130101
God of War Collection,SCEA Santa Monica Studio,0.2,2.2,0.24,M,PSV,20140101
Corpse Party: Blood Drive,Team GrisGris,6.9,8.5,0.23,M,PSV,20150101
Hatsune Miku -Project DIVA- f,Sega,9.1,6.8,0.9,no,PSV,20140101
Soul Sacrifice Delta,SCE Japan Studio,6.9,4.7,0.23,no,PSV,20140101
Silent Hill: Book of Memories,Way Forward Technologies,8.6,5.3,0.23,M,PSV,20120101
Danganronpa Another Episode: Ultra Despair Girls,Spike Chunsoft,8.7,5.7,0.22,M,PSV,20150101
Project Versus J,Unknown,7.5,7.2,0.21,no,PSV,20150101
Kan Colle Kai,Kadokawa Games,7.2,9.6,0.21,no,PSV,20160101
Street Fighter x Tekken,Capcom,5.0,8.7,0.21,T,PSV,20120101
LEGO Harry Potter: Years 5-7,Traveller's Tales,2.0,7.4,0.2,E10,PSV,20120101
MLB 12: The Show,SCE San Diego Studio,7.7,5.8,0.2,E,PSV,20120101
3rd Super Robot Wars Z: Tengoku-Hen,Banpresto,6.0,7.8,0.2,no,PSV,20150101
God Eater Resurrection,Namco Bandai Games,5.4,8.2,0.2,no,PSV,20160101
Odin Sphere: Leifthrasir,Vanillaware,6.5,5.9,0.19,no,PSV,20160101
Phantasy Star Nova,Unknown,7.9,8.1,0.19,no,PSV,20140101
