name,developer,ucs,user,sale,rating,platform,date
Virtua Fighter 2,Sega-AM2,8.5,8.0,1.93,T,SAT,19960101
Sega Rally Championship,Sega-AM3,7.5,3.4,1.16,E,SAT,19950101
Virtua Fighter,Sega-AM2,9.0,8.2,1.07,T,SAT,19950101
Virtua Cop,Sega-AM2,8.2,9.2,0.62,T,SAT,19950101
Fighters MEGAMiX,Sega-AM2,5.0,3.5,0.62,T,SAT,19970101
Puyo Puyo Sun,Compile,5.4,3.4,0.6,no,SAT,19970101
Daytona USA,Sega-AM2,5.6,9.7,0.55,E,SAT,19950101
Sakura Wars,Overworks,4.9,9.6,0.55,no,SAT,19960101
Super Robot Taisen F,Banpresto,8.6,7.3,0.55,no,SAT,19970101
Super Robot Taisen F Kanketsuhen,Banpresto,6.6,7.8,0.55,no,SAT,19980101
"Sakura Taisen 2 - Kimi, Shinitamou Koto Nakare",Sega,5.2,8.4,0.53,no,SAT,19980101
J-League Pro Soccer Club wo Tsukurou! 2,Sega,4.6,5.6,0.49,no,SAT,19970101
Neon Genesis Evangelion,Gainax,8.9,9.6,0.44,no,SAT,19960101
NiGHTS into dreams...,Sonic Team,9.1,6.1,0.43,E,SAT,19960101
Neon Genesis Evangelion 2nd Impression,Sega,8.2,9.5,0.42,no,SAT,19970101
Grandia,Game Arts,8.7,8.6,0.42,no,SAT,19970101
Cyber Troopers Virtual-On,Sega-AM3,6.5,9.1,0.42,E,SAT,19960101
Mobile Suit Gundam,CRI,0.2,7.8,0.41,no,SAT,19950101
E0: Enemy Zero,Warp,9.0,7.2,0.41,T,SAT,19970101
Fighting Vipers,Sega-AM2,8.0,7.8,0.4,T,SAT,19960101
Shin Megami Tensei: Devil Summoner,Atlus Co.,5.6,9.4,0.38,no,SAT,19950101
Tokimeki Memorial: Forever with You,Konami,8.5,5.1,0.38,no,SAT,19960101
Panzer Dragoon,Team Andromeda,6.3,7.4,0.37,E,SAT,19950101
Nonomura Byoin no Hitobito,Elf,7.1,8.3,0.36,no,SAT,19960101
Street Fighter Alpha: Warriors' Dreams,Capcom,7.7,9.2,0.35,T,SAT,19960101
Iron Storm,SystemSoft,9.7,8.9,0.34,E,SAT,19960101
Night Warriors: Darkstalkers' Revenge,Capcom,9.8,7.2,0.34,T,SAT,19960101
Street Fighter Alpha 2,Capcom,8.1,7.8,0.32,T,SAT,19960101
Panzer Dragoon II Zwei,Team Andromeda,1.5,4.0,0.31,E,SAT,19960101
Devil Summoner: Soul Hackers,Atlus Co.,9.2,8.7,0.31,no,SAT,19970101
Virtua Cop 2,Sega-AM2,0.7,9.7,0.3,T,SAT,19960101
Blazing Heroes,Micro Cabin,7.0,6.7,0.3,E,SAT,19960101
Decathlete,Sega,4.3,1.3,0.3,E,SAT,19960101
Dragon Force,Sega,9.0,8.1,0.3,E,SAT,19960101
Guardian Heroes,"Treasure Co., Ltd.",6.2,6.7,0.29,T,SAT,19960101
J-League Victory Goal '96,Sega,7.0,8.4,0.29,no,SAT,19960101
The King of Fighters '95,SNK Corporation,8.9,8.9,0.28,no,SAT,19960101
Kakyuusei,Elf,6.8,2.5,0.28,no,SAT,19970101
SimCity 2000,Maxis,4.8,8.3,0.28,E,SAT,19950101
Mobile Suit Gundam Side Story I: Senritsu no Blue,Bec,5.6,9.7,0.28,no,SAT,19960101
X-Men vs. Street Fighter,Capcom,8.2,8.2,0.26,no,SAT,19970101
J-League Pro Soccer Club wo Tsukurou!,Sega,7.5,5.9,0.26,no,SAT,19960101
Tengai Makyou: Daishi no Mokushiroku - The Apocalypse IV,RED Company,0.3,6.7,0.26,no,SAT,19970101
Doukyuusei if,Elf,7.7,8.0,0.26,no,SAT,19960101
