name,developer,ucs,user,sale,rating,platform,date
Sonic CD,Sonic Team,9.5,8.9,1.5,no,SCD,19930101
Shining Force CD,Camelot Software Planning,8.4,3.8,0.14,E,SCD,19940101
Formula One World Championship: Beyond the Limit,Sega,7.3,8.6,0.07,no,SCD,19940101
Record of Lodoss War: Eiyuu Sensou,Sega,8.9,9.3,0.06,no,SCD,19940101
Game no Kanzume Vol 2,Unknown,3.6,8.5,0.05,no,SCD,19940101
Game no Kanzume Vol 1,Unknown,7.9,8.7,0.05,no,SCD,19940101
3 Ninjas Kick Back / Hook,Malibu Games / Core Design Ltd.,7.9,9.0,0.3,E,SCD,19940101
A-Rank Thunder Tanjouhen,Riot,9.5,8.9,0.39,no,SCD,19930101
A/X-101,Micronet,6.5,7.4,0.95,no,SCD,19940101
Advanced Dungeons & Dragons: Eye of the Beholder,"FCI, Inc.",3.6,5.5,0.01,no,SCD,19940101
After Armageddon Gaiden: Majuu Toushouden Eclipse,Micro Design,7.1,6.7,2.84,no,SCD,19940101
After Burner III,Sega,9.0,7.6,3.33,no,SCD,19930101
AH-3 Thunderstrike,Core Design Ltd.,1.9,5.2,2.78,no,SCD,19930101
Aisle Lord,Wolf Team,4.4,9.6,1.72,no,SCD,19920101
Alshark,Popcorn,6.7,2.3,3.06,no,SCD,19930101
Android Assault,Human Entertainment,5.2,7.5,1.85,no,SCD,19940101
Annet Futatabi,Wolf Team,7.0,8.0,1.27,no,SCD,19930101
Aoki Ookami to Shiroki Meshika: Genchou Hishi,Koei,1.0,8.4,4.71,no,SCD,19930101
Arcus 1-2-3,Wolf Team,8.3,8.2,2.75,no,SCD,19930101
Arslan Senki,Sega,1.5,7.8,1.9,no,SCD,19930101
Bakuden Unbalance Zone,Sony Music Entertainment Inc.,8.7,8.3,1.83,no,SCD,19940101
Batman Returns,Malibu Games,5.2,7.4,3.63,no,SCD,19930101
Battle Frenzy,Domark,7.2,9.1,1.21,no,SCD,20040101
Battlecorps,Core Design Ltd.,3.9,9.1,0.16,E,SCD,19930101
BC Racers,Core Design Ltd.,9.3,8.3,3.09,E,SCD,19940101
Bill Walsh College Football,Electronic Arts,6.8,5.3,2.99,no,SCD,19930101
Black Hole Assault,Bignet,2.7,8.0,1.3,no,SCD,19920101
Bouncers,Sega,8.1,6.5,3.69,E,SCD,19940101
Bram Stoker's Dracula,Psygnosis,1.2,4.1,0.85,no,SCD,19940101
Brutal: Paws of Fury,"Imagitec Design, Inc.",5.1,7.5,5.57,no,SCD,19930101
Bug Blasters: The Exterminators,Good Deal Games,7.2,7.2,5.97,no,SCD,20010101
Burai: Hachigyoku no Yuushi Densetsu,Pandora Box,6.2,6.0,4.41,no,SCD,19920101
Burning Fists: Force Striker,Good Deal Games,6.5,8.7,0.6,no,SCD,20060101
Cadillacs and Dinosaurs,Capcom,5.1,1.6,0.11,no,SCD,19940101
Capcom no Quiz: Tonosama no Yabou,SIMS,6.5,5.5,5.41,no,SCD,19920101
Captain Tsubasa,Tecmo,9.7,5.1,0.8,no,SCD,19940101
Championship Soccer '94,Sensible Software,6.7,9.8,1.27,no,SCD,19940101
Chuck Rock,Core Design Ltd.,6.6,1.8,0.1,no,SCD,19920101
Chuck Rock II: Son of Chuck,Core Design Ltd.,3.8,7.6,5.68,no,SCD,19930101
Citizen X,Good Deal Games,5.6,7.2,1.19,no,SCD,20020101
Cliffhanger,Malibu Games,4.2,1.7,0.7,no,SCD,19930101
Cobra Command,Wolf Team,5.0,9.0,7.28,no,SCD,19920101
Compton's Interactive Encyclopedia,Sega,7.0,9.5,8.73,no,SCD,19940101
Corpse Killer,Digital Pictures,1.4,9.1,0.19,M,SCD,19940101
Cosmic Fantasy Stories,Riot,5.7,9.7,0.34,no,SCD,19920101
Crime Patrol,"American Laser Games, Inc.",1.5,8.3,5.61,M,SCD,19940101
Cyborg 009,Riot,7.4,0.9,0.04,no,SCD,19930101
Dai Fushinden,Victor Interactive Software,7.7,2.3,0.87,no,SCD,19950101
Dark Wizard,H.I.C.,8.4,5.3,1.49,no,SCD,19940101
Death Bringer: Himerareta Monshou,Riot,7.2,7.8,0.41,no,SCD,19920101
Demolition Man,Alexandria,7.3,9.8,0.76,T,SCD,19950101
Detonator Organ,Hot-B,5.9,9.3,0.6,no,SCD,19920101
Devastator,Wolf Team,2.1,2.7,0.02,no,SCD,19930101
Double Switch,Digital Pictures,2.7,9.1,0.43,no,SCD,19930101
Dracula Unleashed,Sega,8.0,6.4,2.28,no,SCD,19930101
Dragon's Lair,ReadySoft,5.1,7.3,7.42,no,SCD,19940101
Dune,Cryo Interactive,6.8,9.0,1.72,no,SCD,19930101
Dungeon Explorer,West One,5.0,6.8,0.23,E,SCD,19940101
Dungeon Master II: The Legend of Skullkeep,Victor Interactive Software,7.4,5.3,0.61,no,SCD,19940101
