name,developer,ucs,user,sale,rating,platform,date
Super Mario World,Nintendo EAD,8.5,1.7,0.74,E,SNES,19910101
Super Mario All-Stars,Nintendo EAD,6.8,9.5,5.83,E,SNES,19930101
Donkey Kong Country,Rare Ltd.,9.0,3.6,0.07,E,SNES,19940101
Super Mario Kart,Nintendo EAD,10.0,0.8,1.61,E,SNES,19920101
Street Fighter II: The World Warrior,Capcom,9.3,8.0,1.01,no,SNES,19920101
Donkey Kong Country 2: Diddy's Kong Quest,Rare Ltd.,9.3,10.0,0.71,E,SNES,19950101
The Legend of Zelda: A Link to the Past,Nintendo EAD,10.0,2.7,0.8,no,SNES,19920101
Super Mario World 2: Yoshi's Island,Nintendo EAD,9.0,8.9,3.23,E,SNES,19950101
Street Fighter II Turbo,Capcom,9.0,9.3,4.56,no,SNES,19930101
Donkey Kong Country 3: Dixie Kong's Double Trouble!,Rare Ltd.,8.8,5.8,1.61,E,SNES,19960101
Dragon Quest VI: Maboroshi no Daichi,Heart Beat,1.8,8.1,0.02,no,SNES,19950101
Killer Instinct,Rare Ltd.,5.5,7.3,0.02,T,SNES,19950101
Star Fox,Argonaut Games,9.4,9.4,1.04,no,SNES,19930101
Final Fantasy III,SquareSoft,9.1,8.0,0.87,no,SNES,19940101
F-Zero,Nintendo EAD,5.9,6.4,9.91,E,SNES,19910101
Dragon Quest V: Tenkuu no Hanayome,ChunSoft,8.6,2.8,0.31,no,SNES,19920101
Final Fantasy V,SquareSoft,7.5,7.1,6.44,no,SNES,19920101
Mario Paint,Intelligent Systems,4.3,7.4,0.09,E,SNES,19920101
Chrono Trigger,SquareSoft,8.8,8.8,0.26,E,SNES,19950101
Super Mario RPG: Legend of the Seven Stars,SquareSoft,8.8,5.9,0.26,E,SNES,19960101
Super Street Fighter II,Capcom,5.7,9.9,0.43,no,SNES,19940101
SimCity,Intelligent Systems,8.8,6.6,3.97,E,SNES,19910101
Mortal Kombat II,Sculptured Software,8.7,7.1,1.93,M,SNES,19940101
Secret of Mana,SquareSoft,9.1,8.8,1.84,no,SNES,19930101
The Lion King,Westwood Studios,7.8,3.7,1.79,no,SNES,19940101
Disney's Aladdin,Capcom/Disney,4.1,7.1,2.11,no,SNES,19930101
Final Fantasy II,Square,10.0,8.8,0.27,no,SNES,19910101
Super Puyo Puyo,Compile,8.4,8.0,1.7,no,SNES,19930101
