name,developer,ucs,user,sale,rating,platform,date
3-D Tetris,Tikipod,8.5,5.9,2.93,E,VB,19960101
Galactic Pinball,Intelligent Systems,7.7,8.9,0.38,E,VB,19950101
Golf,Tikipod,4.1,4.0,1.09,E,VB,19950101
Insmouse no Yakata,Be Top,8.8,9.5,1.53,no,VB,19950101
Jack Bros.,Atlus Co.,2.9,7.8,1.41,E,VB,19950101
Mario Clash,Nintendo R&D1,6.7,9.0,3.4,E,VB,19950101
Mario's Tennis,Nintendo R&D1,7.5,6.6,1.05,E,VB,19950101
Nester's Funky Bowling,Saffire Corporation,2.0,5.4,0.18,E,VB,19960101
Panic Bomber,Raizing,7.8,8.6,0.13,E,VB,19950101
Red Alarm,Tikipod,8.2,8.7,0.94,E,VB,19950101
SD Gundam Dimension War,Bandai,4.7,3.8,3.18,no,VB,19950101
Space Invaders Virtual Collection,Taito Corporation,0.5,8.9,1.5,no,VB,19950101
Space Squash,Tomcat System,4.3,6.8,2.32,no,VB,19950101
Teleroboxer,Nintendo IRD,8.0,9.4,0.48,E,VB,19950101
V-Tetris,Locomotive Games,9.4,8.8,0.33,no,VB,19950101
Vertical Force,Hudson Soft,8.1,8.3,2.08,E,VB,19950101
Virtual Bowling,Athena,2.7,5.0,2.23,no,VB,19950101
Virtual Boy Wario Land,Nintendo R&D1,7.0,8.9,4.16,E,VB,19950101
Virtual Fishing,Pack-In-Video,5.1,8.9,0.48,no,VB,19950101
Virtual Lab,J-Wing,8.4,9.6,1.09,no,VB,19950101
Virtual League Baseball,Kemco,6.3,1.6,1.02,E,VB,19950101
Waterworld,Ocean,2.4,3.6,0.75,E,VB,19950101
