name,developer,ucs,user,sale,rating,platform,date
Punch-Out!!,Nintendo IRD,8.7,7.9,0.27,E,VC,20070101
Mario Tennis,Camelot Software Planning,3.2,0.6,0.07,E,VC,20100101
Teenage Mutant Ninja Turtles,Konami,8.4,9.7,0.01,E,VC,20070101
Paper Mario,Intelligent Systems,9.0,8.5,0.0,E,VC,20070101
Kirby's Adventure,HAL Laboratory,8.4,7.9,0.0,E,VC,20070101
Super Smash Bros.,HAL Laboratory,6.7,9.6,0.0,E,VC,20090101
1080: TenEighty Snowboarding,Nintendo EAD,5.0,5.1,1.14,E,VC,20080101
1942 (Arcade),Capcom,6.9,9.1,0.75,E,VC,20110101
3 Count Bout,SNK Corporation,8.2,7.1,0.06,no,VC,20110101
A Boy and His Blob: Trouble on Blobolonia,Imagineering,4.9,3.8,1.16,E,VC,20090101
A.III: A Ressha de Gyoukou 3,ArtDink,7.4,6.8,0.49,no,VC,20070101
ActRaiser,Quintet,5.1,9.0,1.42,E10,VC,20070101
Advanced Busterhawk Gley Lancer,NCS,8.5,7.9,2.02,E10,VC,20080101
Adventure Island,Hudson Soft / West One,4.4,9.7,0.2,E,VC,20070101
Adventure Island II,Hudson Soft,8.6,9.1,3.34,no,VC,20110101
Adventures of Lolo,HAL Laboratory,0.2,8.7,1.36,E,VC,20070101
Adventures of Lolo 2,HAL Laboratory,2.0,4.8,1.26,E,VC,20070101
Aero The Acro-Bat,Iguana Entertainment,5.5,7.2,1.47,E,VC,20100101
Aero The Acro-Bat 2,Iguana Entertainment,8.1,9.1,6.14,E,VC,20100101
Aggressors of Dark Kombat,ADK Corporation,5.6,9.6,1.97,no,VC,20110101
Ai Cho Aniki,Bits Laboratory,8.1,6.7,0.51,no,VC,20070101
Air Zonk,RED Company,5.9,9.4,2.86,E,VC,20070101
Albert Odyssey,SunSoft,8.8,7.5,1.16,no,VC,19930101
Aldynes: The Mission Code for Rage Crisis,Produce!,7.9,9.5,2.0,no,VC,20090101
Aleste,Compile Ltd.,3.8,6.3,1.22,no,VC,20080101
Alex Kidd in Miracle World,Sega,3.0,7.2,0.85,E,VC,20080101
Alex Kidd in Shinobi World,Sega,2.0,9.3,2.79,E,VC,20100101
Alex Kidd in the Enchanted Castle,Sega,8.0,9.0,2.85,E,VC,20070101
Alex Kidd: The Lost Stars,Sega,8.2,9.0,0.76,E,VC,20090101
Alien Crush,Compile,7.3,3.4,3.34,E,VC,20060101
Alien Soldier,"Treasure Co., Ltd.",0.9,6.1,0.94,E10,VC,20070101
Alien Storm,Sega,7.1,9.4,3.06,E10,VC,20070101
Altered Beast,Sega,7.6,7.1,4.42,E,VC,20060101
Altered Beast (Arcade),Sega,7.2,7.5,1.02,E10,VC,20090101
Appare! Gateball,West One,7.6,9.8,1.75,no,VC,20070101
Art of Fighting,SNK Corporation,4.3,5.0,0.81,T,VC,20070101
Art of Fighting 2,SNK Corporation,1.4,9.7,2.2,T,VC,20080101
Art of Fighting: Ryuuko no Ken Gaiden,SNK Corporation,8.1,7.1,0.6,no,VC,20110101
Atlantis no Nazo,SunSoft,9.2,8.2,9.08,no,VC,20080101
Atomic Runner,Data East,7.7,9.5,1.63,no,VC,20070101
Axelay,Konami,8.5,8.1,3.39,E,VC,20070101
Bahamut Lagoon,SquareSoft,6.7,8.4,0.77,no,VC,20090101
Bahamut Senki,Sega,6.2,8.0,0.49,no,VC,20070101
Bakutotsu Kijuutei: Baraduke II (Arcade),Namco,5.0,9.8,1.51,no,VC,20090101
Balloon Fight,Nintendo R&D1,2.1,7.6,0.11,E,VC,20070101
Baraduke (Arcade),Namco,5.3,9.4,6.76,no,VC,20090101
Baseball,Nintendo,9.4,9.4,1.89,E,VC,20070101
Baseball Stars 2,SNK Corporation,7.7,8.0,0.75,E,VC,20070101
Bases Loaded,Jaleco Entertainment,4.2,8.4,0.08,E,VC,20080101
Battle City,Namco,8.2,8.0,2.37,no,VC,20070101
Battle Lode Runner,Hudson Soft,6.3,7.9,0.44,E,VC,20070101
Beetle Adventure Racing!,"Paradigm Entertainment, Electronic Arts",7.4,9.4,7.24,no,VC,19930101
Benkei Gaiden,SunSoft,8.3,8.4,0.24,no,VC,20070101
Beyond Oasis,Sega,3.7,8.2,1.78,no,VC,20070101
Beyond Oasis,Ancient,7.8,8.3,3.22,E,VC,20070101
Binary Land,Hudson Soft,3.2,8.0,2.17,no,VC,19850101
Bio-Hazard Battle,Sega,8.5,8.4,1.83,E,VC,20070101
Bio-Miracle Bokutte Upa,Konami,0.4,9.0,6.91,E,VC,20080101
Bishoujo Janshi Suchie-Pai,Jaleco Entertainment,8.5,6.8,0.61,no,VC,20100101
Black Belt,Sega,1.5,5.7,2.42,no,VC,20080101
Black Tiger (Arcade),Capcom,0.2,4.0,2.67,E,VC,20110101
Blades of Steel,Konami,8.1,9.4,3.2,E,VC,20070101
Blaster Master,SunSoft,7.5,9.2,0.42,E,VC,20090101
Blazing Lazers,Compile,7.7,8.4,3.1,E,VC,20070101
Bloody Wolf,Data East,8.9,2.8,0.05,E10,VC,20070101
Blue's Journey,ADK Corporation,4.6,8.4,2.32,E,VC,20070101
Bomb Jack (Arcade),Tehkan,4.1,7.4,2.61,no,VC,20090101
Bomberman '93,Hudson Soft,1.8,7.5,1.97,E,VC,20060101
Bomberman '94,Hudson Soft,5.9,7.2,3.79,E,VC,20090101
Bomberman Hero,AI,7.6,4.8,1.41,E,VC,20110101
Bomberman: Panic Bomber,Hudson Soft,3.1,9.4,1.68,no,VC,20080101
Bonanza Brothers,Sega,7.7,8.7,1.55,E,VC,20070101
Bonk 3: Bonk's Big Adventure,RED Company,9.1,1.3,0.81,E,VC,20070101
Bonk's Adventure,RED Company,5.9,9.7,2.06,E,VC,20060101
Bonk's Revenge,RED Company,9.0,9.2,3.17,E,VC,20070101
Boogerman: A Pick and Flick Adventure,Interplay,7.1,7.1,1.76,E,VC,20080101
Bosconian (Arcade),Namco,1.0,9.3,0.17,no,VC,20090101
Boulder Dash,First Star Software,1.6,5.5,0.27,E,VC,20090101
Bravoman,Now Production,6.2,9.7,0.02,E,VC,20070101
Bravoman (Arcade),Namco,5.2,9.0,0.29,no,VC,20090101
Brawl Brothers,Jaleco Entertainment,7.0,0.2,1.17,no,VC,20110101
Break In,Naxat Soft,0.1,8.2,4.7,E,VC,20080101
Breath of Fire II,Capcom,6.4,3.0,1.37,E,VC,20070101
Bubble Bobble,Taito Corporation,6.0,3.5,0.31,E,VC,20070101
Burning Fight,SNK Corporation,8.9,1.8,1.38,E10,VC,20080101
Burning Force (Arcade),Namco,6.0,6.0,2.53,no,VC,20090101
Cadash,ITL,9.1,4.9,3.14,no,VC,20080101
California Games,Epyx,6.9,4.5,0.73,E,VC,20090101
Castlevania,Konami,7.5,8.0,4.55,E,VC,20070101
Castlevania II: Simon's Quest,Konami,7.0,9.9,5.05,E,VC,20070101
Castlevania III: Dracula's Curse,Konami,9.0,6.6,0.83,E,VC,20090101
Castlevania: Rondo of Blood,Konami,9.0,8.3,4.34,T,VC,20100101
Champion Wrestler,Taito Corporation,3.7,8.5,0.01,no,VC,20090101
Championship Lode Runner,Hudson Soft,7.3,7.5,2.32,no,VC,20090101
Chase H.Q.,Taito Corporation,7.2,8.2,1.07,E10,VC,20080101
Chew Man Fu,Now Production,9.1,9.9,0.19,E,VC,20070101
China Warrior,Hudson Soft,8.5,7.0,0.3,E10,VC,20070101
Cho Aniki,NCS,2.6,8.4,3.72,E10,VC,20080101
Chrono Trigger,SquareSoft,9.5,9.2,0.47,E10,VC,20110101
City Connection,Jaleco Entertainment,0.6,9.3,1.9,E,VC,20080101
ClayFighter,Visual Concepts,7.8,8.7,1.17,T,VC,20090101
