name,developer,ucs,user,sale,rating,platform,date
Final Fantasy,SquareSoft,5.9,9.6,0.51,no,WS,20000101
Digimon Adventure: Anode Tamer,Bandai,5.7,5.8,0.28,no,WS,19990101
Final Fantasy II,SquareSoft,8.9,3.3,0.25,no,WS,20010101
Chocobo no Fushigi Dungeon for WonderSwan,SquareSoft,0.8,7.1,0.18,no,WS,19990101
Super Robot Taisen Compact 2 Dai-1-Bu,Bandai,1.0,8.8,0.17,no,WS,20000101
SD Gundam G Generation: Gather Beat 2,Bandai,4.5,0.6,0.03,no,WS,20010101
Kidou Senshi Gundam Vol.3 -A Baoa Qu-,Bandai,6.8,9.4,0.01,no,WS,20020101
Anchorz Field,Sammy Studios,6.6,5.3,0.05,no,WS,19990101
Another Heaven: Memory of Those Days,Omega Micott,6.2,8.5,2.32,no,WS,20000101
Arc the Lad: Kijin Fukkatsu,Bandai,9.2,7.5,0.53,no,WS,20020101
Armored Unit,Sammy Studios,5.7,9.9,5.05,no,WS,19990101
Bakusou Dekotora Densetsu for WonderSwan,Human Club,2.3,9.3,2.44,no,WS,19990101
Battle Spirits: Digimon Frontier,Bandai,8.7,7.3,1.51,no,WS,20020101
BeatMania for WonderSwan,Konami,7.8,6.4,0.15,no,WS,19990101
Blue Wing Blitz,SquareSoft,6.6,5.3,0.69,no,WS,20010101
Buffers Evolution,Bandai,2.3,4.8,1.2,no,WS,19990101
CardCaptor Sakura: Sakura to Fushigi na Clow Cards,SIMS,4.4,9.0,7.28,no,WS,19990101
Chaos Gear,Bandai,9.5,4.0,0.23,no,WS,19990101
Cho Aniki: Otoko no Tamafuda,Bandai,8.0,4.9,1.72,no,WS,20000101
Chou-Denki Card Battle: Youfu Makai,Koubunsha,5.2,4.1,2.55,no,WS,19990101
Clock Tower for WonderSwan,Human Entertainment,3.0,7.4,1.63,no,WS,19990101
Crazy Climber,Nihon Bussan,7.8,2.6,3.44,no,WS,19990101
D's Garage 21: Taneomaku Tori,Bandai,6.2,8.8,2.86,no,WS,19990101
Dark Eyes: BattleGate,Nextech,9.4,8.5,0.24,no,WS,20010101
Densha de Go!,Taito Corporation,3.0,7.1,3.18,no,WS,19990101
Densha de Go! 2,CyberFront,7.5,9.5,1.91,no,WS,19990101
Dicing Knight Period,Platine Dispositif,5.8,1.7,2.48,no,WS,20040101
Digimon Adventure 02 Zero Two: D1 Tamers,Bandai,5.7,9.2,1.33,no,WS,20000101
Digimon Adventure 02 Zero Two: Tag Tamers,Bandai,7.7,4.5,0.43,no,WS,20000101
Digimon Adventure: Cathode Tamer,Bandai,3.2,7.4,1.41,no,WS,20000101
Digimon Anode/Cathode Tamer: Veedramon Version,SIMS,9.4,9.6,2.03,no,WS,20010101
Digimon Battle Spirit Ver.1.5,Bandai,9.5,4.6,9.22,no,WS,20020101
Digimon Card Game Ver. WonderSwan Color,Bandai,9.3,8.3,0.42,no,WS,20020101
Digimon Tamers: Battle Spirit,Bandai,7.9,8.1,0.68,no,WS,20010101
Digimon Tamers: Brave Tamers,Bandai,7.2,9.1,0.25,no,WS,20010101
Digimon Tamers: Digimon Medley,Bandai,1.1,7.2,0.39,no,WS,20010101
Digital Monster Ver. WonderSwan,Bandai,9.8,5.1,3.5,no,WS,19990101
Digital Monsters: D Project,Sting,5.5,9.5,2.88,no,WS,20020101
Digital Partner,Bandai,8.2,8.2,1.82,no,WS,20000101
Dokodemo Hamster,Bec,5.5,9.5,0.22,no,WS,20000101
Dokodemo Hamster 3: O Dekake Safuran,Bec,5.4,8.8,2.89,no,WS,20000101
Dragon Ball,Bandai,4.1,7.9,2.34,no,WS,20030101
Engacho! for WonderSwan,NAC Geographic Products Inc.,3.5,5.9,0.31,no,WS,19990101
Fever Sankyo Koushiki Pachinko Simulation for WonderSwan,Bec,3.3,9.0,1.14,no,WS,19990101
Final Fantasy IV,SquareSoft,7.0,6.6,2.54,no,WS,20020101
Final Lap 2000,Bandai,5.4,6.0,2.09,no,WS,20000101
Final Lap Special,Bandai,4.2,9.7,0.21,no,WS,20010101
Fire ProWrestling for WonderSwan,Human Club,8.7,7.4,3.17,no,WS,20000101
Fishing Freaks: BassRise for WonderSwan,Bandai,6.2,0.9,1.75,no,WS,20000101
Flash Koibito-Kun,Koto,3.8,8.1,0.44,no,WS,20000101
From TV Animation One Piece: Chopper no Daibouken,Bandai,7.2,4.1,1.4,no,WS,20030101
From TV Animation One Piece: Grand Battle Swan Colosseum,Bandai,0.4,8.9,3.62,no,WS,20020101
From TV Animation One Piece: Mezase Kaizokuou!,Bandai,6.8,8.7,0.71,no,WS,20000101
From TV Animation One Piece: Niji no Shima Densetsu,Bandai,1.6,7.4,1.35,no,WS,20010101
From TV Animation One Piece: Treasure Wars,Bandai,3.3,8.5,0.2,no,WS,20020101
From TV Animation One Piece: Treasure Wars 2 - Buggyland Heyou Koso,Graphic Research,8.0,9.2,5.87,no,WS,20020101
Front Mission,G-Craft,5.6,7.5,4.81,no,WS,20020101
Ganso Jaja Marukun,Jaleco Entertainment,6.2,7.2,5.18,no,WS,19990101
Gekitou! Crash Gear Turbo,Bandai,7.9,6.4,7.8,no,WS,20020101
Gensou Maden Saiyuuki Retribution: Hi no Ataru Basho De,Pixel Maniacs,5.9,9.1,0.47,no,WS,20010101
Glocal Hexcite,Success,9.1,4.9,11.13,no,WS,20000101
Go Meiheibe & Reversi Touryuumon,Sammy Studios,7.4,9.0,0.57,no,WS,20000101
Go Raku O Tango!,Mebius,9.8,9.8,1.13,no,WS,19990101
Golden Axe,Bandai,1.7,7.4,3.44,no,WS,20020101
Gransta Chronicle,Tom Create,8.1,5.5,1.6,no,WS,20020101
Guilty Gear Petit,Arc System Works,6.0,6.8,0.33,no,WS,20010101
Guilty Gear Petit 2,Arc System Works,9.4,8.3,2.28,no,WS,20010101
GunPey,Bandai,4.5,8.1,1.61,no,WS,19990101
GunPey EX,Bandai,9.2,9.0,1.42,no,WS,20000101
Hanafuda Shiyouyo,Kaga Tech,2.7,5.1,2.56,no,WS,20000101
"Hanjuku Eiyuu: Aa, Sekaiyo Hanjukunare...!!",SquareSoft,4.3,5.1,7.65,no,WS,20020101
Harobots,Sunrise Interactive,4.3,9.6,0.04,no,WS,19990101
Hataraku Chocobo,SquareSoft,8.7,9.7,2.14,no,WS,20000101
Hunter X Hunter,Bandai,8.1,8.9,0.48,no,WS,20000101
Hunter X Hunter: Greed Island,Bandai,6.0,7.7,2.72,no,WS,20030101
Hunter X Hunter: Michikareshi Mono,Bandai,7.5,5.9,1.82,no,WS,20010101
Hunter X Hunter: Sorezore no Ketsui,Bandai,8.9,8.5,0.24,no,WS,20010101
InuYasha: Fuuun Emaki,Bandai,1.4,9.4,1.02,no,WS,20020101
InuYasha: Kagome no Sengokuki,Bandai,4.7,7.2,0.89,no,WS,20010101
InuYasha: Kagome no Yume Nikki,Tomcat System,4.6,8.0,6.23,no,WS,20020101
Judgement Silversword: Rebirth Edition,Qute Corporation,6.9,8.8,5.05,no,WS,20040101
Kakutou Ryouri Densetsu Bistro Recipe: Wonder Battle Hen,Banpresto,7.8,9.8,3.26,no,WS,19990101
Kaze no Klonoa: Moonlight Museum,Bandai,9.0,6.7,2.38,no,WS,19990101
Kidou Senshi Gundam Vol.1 -Side7-,Bandai,1.3,9.4,0.81,no,WS,20010101
Kidou Senshi Gundam Vol.2 -Jaburo-,Bandai,8.8,9.7,4.68,no,WS,20010101
Kidou Senshi Gundam: Giren no Yabou,Bandai,7.2,5.9,5.19,no,WS,20030101
Kinnikuman Nisei: Choujin Seisenshi,Bandai,8.6,3.1,0.28,no,WS,20030101
