name,developer,ucs,user,sale,rating,platform,date
Karaoke Joysound Wii,Xing Inc.,4.1,2.7,0.25,no,WW,20090101
3D Pixel Racing,Microforum,5.0,3.5,0.0,no,WW,20110101
"3-2-1, Rattle Battle!",Tecmo,8.7,10.0,3.82,E,WW,20090101
5 Arcade Gems,Nordcurrent,4.2,9.0,7.82,E,WW,20100101
5 in 1 Solitaire,Digital Leisure Inc.,8.7,7.7,0.48,no,WW,20100101
5 Spots Party,Cosmonaut Games,6.2,8.9,0.78,E,WW,20090101
A Monsteca Corral: Monsters vs. Robots,Onteca,9.5,6.1,1.91,E,WW,20100101
Adventure Island: The Beginning,Hudson Soft,8.0,8.6,1.98,E,WW,20090101
Aero Guitar,Yudo,6.4,5.1,0.18,no,WW,20080101
Aha! I Found it! Hidden Object Game,Ateam,0.6,6.0,1.67,E,WW,20100101
Aha! I Got It! Escape Game,Ateam,4.5,6.7,1.46,E,WW,20090101
Airport Mania: First Flight,Reflexive Entertainment,8.5,7.0,0.97,E,WW,20100101
Alien Autopsy,Alten8,7.7,9.3,6.8,no,WW,20080101
Alien Crush Returns,Hudson Entertainment,5.5,4.9,4.84,E,WW,20080101
And Yet It Moves,Broken Rules,8.4,7.7,1.23,E,WW,20100101
Angry Birds,Chillingo,6.5,9.9,1.01,E,WW,20200101
Anima: Ark of Sinners,Anima Games Studio,8.3,6.2,5.68,T,WW,20110101
Ant Nation,Konami,4.1,6.3,1.58,E10,WW,20090101
AquaSpace,Paon Corporation,8.3,4.9,1.53,E,WW,20100101
Arcade Darts,Icon Games,7.4,6.3,2.38,no,WW,19960101
Arcade Essentials,Nordcurrent,4.3,7.0,0.78,E,WW,20110101
Arcade Sports,Icon Games,3.8,3.3,0.75,E,WW,20100101
Archon: Classic,React Games,7.2,6.8,0.15,no,WW,20100101
Arkanoid Plus!,Taito Corporation,2.4,7.2,1.29,E,WW,20090101
Around the World,Wizarbox Studios,9.3,5.2,3.91,E,WW,20100101
Art of Balance,Shin'en Multimedia,8.1,5.9,1.25,E,WW,20100101
Art Style: CUBELLO,skip Ltd.,1.3,7.1,3.02,E,WW,20080101
Art Style: light trax,skip Ltd.,7.4,7.8,2.04,E,WW,20100101
Art Style: ORBIENT,skip Ltd.,7.8,4.6,2.39,E,WW,20080101
Art Style: ROTOHEX,skip Ltd.,5.5,6.5,0.9,E,WW,20080101
Art Style: Rotozoa,skip Ltd.,3.4,8.0,1.32,E,WW,20100101
Astro Bugz Revenge,Sudden Games LLC,9.1,9.8,1.33,E,WW,20100101
Aya and the Cubes of Light,Object Vision Software,7.0,0.2,0.04,E,WW,20110101
Bakutan,Alpha Unit,8.7,8.3,3.74,no,WW,20080101
Balloon Pop Festival,UFO Interactive,8.0,7.8,2.06,E,WW,20100101
Bang Attack,Engine Software,7.8,8.7,3.69,E,WW,20100101
Bang Bang Racing,Playbox Games,9.5,9.4,0.23,no,WW,20100101
Battle Poker,Left Field Productions,8.3,5.8,3.45,E,WW,20090101
Bejeweled 2,PopCap Games,7.1,8.5,0.83,E,WW,20100101
Ben 10 Alien Force: The Rise of Hex,Black Lantern Studios,7.5,9.2,5.27,E10,WW,20100101
Big Bass Arcade,Big John Games,8.4,8.5,4.14,no,WW,20110101
Big Kahuna Party,Reflexive Entertainment,8.2,4.4,1.24,E,WW,20080101
Big Town Shoot Out,Performance Designed Products,6.0,8.3,2.02,E10,WW,20110101
Bingo Party Deluxe,Ateam,8.1,0.3,0.47,E,WW,20110101
Bit Boy!!,Bplus,5.7,7.7,4.6,E,WW,20090101
BIT.TRIP BEAT,Gaijin Games Inc.,7.5,5.7,0.11,E,WW,20090101
BIT.TRIP CORE,Gaijin Games Inc.,7.6,2.6,0.35,E,WW,20090101
BIT.TRIP FATE,Gaijin Games Inc.,7.3,9.6,0.13,E,WW,20100101
BIT.TRIP FLUX,Gaijin Games Inc.,8.2,4.7,2.0,E,WW,20110101
BIT.TRIP RUNNER,Gaijin Games Inc.,7.4,3.7,1.81,E,WW,20100101
