name,developer,ucs,user,sale,rating,platform,date
Wii Sports,Nintendo EAD,7.7,8.4,0.39,E,Wii,20060101
Mario Kart Wii,Nintendo EAD,8.2,9.1,0.11,E,Wii,20080101
Wii Sports Resort,Nintendo EAD,8.0,8.8,1.64,E,Wii,20090101
New Super Mario Bros. Wii,Nintendo EAD,8.6,9.2,0.03,E,Wii,20090101
Wii Play,Nintendo EAD,5.9,4.5,0.99,E,Wii,20070101
Wii Fit,Nintendo EAD,7.9,4.4,2.32,E,Wii,20080101
Wii Fit Plus,Nintendo EAD,8.0,2.4,1.45,E,Wii,20090101
Super Smash Bros. Brawl,Project Sora,9.2,9.7,3.51,T,Wii,20080101
Super Mario Galaxy,Nintendo EAD Tokyo,9.7,9.6,0.61,E,Wii,20070101
Just Dance 3,Ubisoft Paris,7.5,8.9,10.14,E10,Wii,20110101
Wii Party,"Nd Cube Co., Ltd.",7.0,9.0,0.99,E,Wii,20100101
Mario Party 8,Hudson Soft,6.5,8.9,1.65,E,Wii,20070101
Super Mario Galaxy 2,Nintendo EAD Tokyo,9.7,9.8,0.75,E,Wii,20100101
The Legend of Zelda: Twilight Princess,Nintendo EAD,9.5,9.6,2.36,T,Wii,20060101
Just Dance 4,Ubisoft,7.5,1.2,6.89,E10,Wii,20120101
Zumba Fitness,"Pipeworks Software, Inc.",0.3,8.3,6.76,E,Wii,20100101
Donkey Kong Country Returns,Retro Studios,8.6,2.4,0.28,E,Wii,20100101
Link's Crossbow Training,Nintendo EAD,6.9,5.4,1.84,T,Wii,20070101
LEGO Star Wars: The Complete Saga,Traveller's Tales,8.0,8.5,5.66,E10,Wii,20070101
Just Dance 2,Ubisoft Paris,7.3,8.2,3.75,E10,Wii,20100101
Guitar Hero III: Legends of Rock,Vicarious Visions,8.6,7.8,4.6,T,Wii,20070101
Mario & Sonic at the Olympic Winter Games,Sega,6.8,1.5,4.54,E,Wii,20090101
Michael Jackson: The Experience,Ubisoft Montpellier,5.6,9.6,4.37,E10,Wii,20100101
Animal Crossing: City Folk,Nintendo EAD,7.1,8.8,1.11,E,Wii,20080101
Super Paper Mario,Intelligent Systems,8.5,6.1,0.05,E,Wii,20070101
Carnival Games,Cat Daddy Games,4.2,5.0,4.06,E,Wii,20070101
Just Dance,Ubisoft Paris,5.4,8.1,0.01,E10,Wii,20090101
EA Sports Active,EA Vancouver,8.3,7.9,3.93,E,Wii,20090101
Just Dance 2014,Ubisoft Paris,7.4,6.9,3.89,E10,Wii,20130101
The Legend of Zelda: Skyward Sword,Nintendo EAD,9.4,9.3,1.92,T,Wii,20110101
Guitar Hero: World Tour,Vicarious Visions,8.4,5.5,3.62,T,Wii,20080101
Big Brain Academy: Wii Degree,Nintendo EAD,7.1,8.2,0.83,E,Wii,20070101
Mario Party 9,"Nd Cube Co., Ltd.",6.5,7.7,4.31,E,Wii,20120101
LEGO Batman: The Videogame,Traveller's Tales,7.3,7.3,3.08,E10,Wii,20080101
Disney Epic Mickey,Junction Point Studios,7.0,9.1,3.02,E,Wii,20100101
Sonic and the Secret Rings,Sonic Team,6.7,5.0,1.74,E,Wii,20070101
Cooking Mama: Cook Off,Office Create,5.9,9.4,2.89,E,Wii,20070101
Wii Music,Nintendo EAD,5.6,8.2,2.96,E,Wii,20080101
Zumba Fitness 2,"Pipeworks Software, Inc.",7.3,7.7,2.83,E,Wii,20110101
Skylanders: Spyro's Adventure,Toys for Bob,8.0,7.4,2.79,E10,Wii,20110101
Mario Strikers Charged,Next Level Games,7.7,6.5,1.13,E10,Wii,20070101
Skylanders Giants,Toys for Bob,5.8,4.0,2.58,E10,Wii,20120101
Game Party,JGI Entertainment,2.6,6.0,2.49,E,Wii,20070101
LEGO Harry Potter: Years 1-4,Traveller's Tales,7.9,6.5,2.45,E10,Wii,20100101
uDraw Studio,"Pipeworks Software, Inc.",6.3,8.4,2.44,E,Wii,20100101
Mario & Sonic at the London 2012 Olympic Games,Sega,6.8,4.0,0.35,E,Wii,20110101
WarioWare: Smooth Moves,Intelligent Systems,8.2,6.6,2.41,E,Wii,20070101
LEGO Indiana Jones: The Original Adventures,Traveller's Tales,7.8,8.7,2.35,E10,Wii,20080101
My Fitness Coach,Ubisoft,7.1,8.7,2.32,E,Wii,20080101
Mario Super Sluggers,Bandai Namco Games / NOW Production,6.7,9.5,3.31,E,Wii,20080101
Just Dance Kids,Ubisoft Paris,7.8,8.2,2.25,E,Wii,20100101
Call of Duty 3,EXAKT Entertainment,6.8,7.3,2.24,T,Wii,20060101
Super Mario All-Stars: Limited Edition,Nintendo EAD,7.2,9.5,3.27,E,Wii,20100101
Skylanders SWAP Force,Beenox,3.3,4.9,2.19,E10,Wii,20130101
Your Shape featuring Jenny McCarthy,Ubisoft,6.0,7.1,2.16,E,Wii,20090101
Mario & Sonic at the Olympic Games,Sega,7.2,5.5,0.03,E,Wii,20070101
Just Dance 2015,Ubisoft Paris,4.7,9.2,2.09,E10,Wii,20140101
Rock Band,Harmonix Music Systems,8.2,9.7,2.08,T,Wii,20080101
Wipeout: The Game,Endemol,4.5,8.3,2.08,E10,Wii,20100101
Dance Dance Revolution: Hottest Party,Bemani,9.3,6.5,2.07,E10,Wii,20070101
Rayman Raving Rabbids: TV Party,Ubisoft Paris,7.1,8.2,2.03,E10,Wii,20080101
Resident Evil 4,Unknown,3.2,8.5,3.68,no,Wii,20070101
Mario Sports Mix,Square Enix,6.0,8.0,4.92,E,Wii,20110101
Pokemon Battle Revolution,Genius Sonority Inc.,5.2,7.7,0.63,E,Wii,20070101
Call of Duty: World at War,EXAKT Entertainment,8.1,8.9,1.94,M,Wii,20080101
Monster Hunter Tri,Capcom Production Studio 1,8.1,10.0,1.3,T,Wii,20100101
Monopoly,EA Bright Light,7.6,9.2,1.89,E,Wii,20080101
Toy Story Mania!,Papaya Studios,3.9,8.6,1.89,E,Wii,20090101
Game Party 2,FarSight Studios,8.4,7.4,1.88,E,Wii,20080101
Star Wars: The Force Unleashed,Krome Studios,6.8,7.4,1.86,T,Wii,20080101
Kirby's Epic Yarn,Good-Feel,8.7,9.3,3.36,E,Wii,20100101
Rayman Raving Rabbids 2,Ubisoft Paris,6.6,9.7,1.84,E10,Wii,20070101
Sonic Colors,Sonic Team,7.7,4.7,5.56,E,Wii,20100101
Kirby's Return to Dreamland,HAL Laboratory,7.6,8.5,3.91,E10,Wii,20110101
New Play Control! Mario Power Tennis,Camelot Software Planning,6.6,8.8,4.62,E,Wii,20090101
LEGO Star Wars III: The Clone Wars,Traveller's Tales,7.5,4.9,1.79,E10,Wii,20110101
High School Musical: Sing It!,Artificial Mind and Movement,6.4,9.0,1.76,E,Wii,20070101
Game Party 3,FarSight Studios,5.2,9.7,1.72,E,Wii,20090101
The Beatles: Rock Band,Harmonix Music Systems,9.0,9.3,1.71,T,Wii,20090101
Cabela's Big Game Hunter 2010,Cauldron,5.5,3.7,1.7,T,Wii,20090101
We Ski,Bandai Namco Games,7.1,8.1,1.68,E,Wii,20080101
Big Beach Sports,HB Studios Multimedia,4.9,6.2,1.66,E,Wii,20080101
Disney Infinity,Unknown,4.6,5.1,1.66,no,Wii,20130101
Shaun White Snowboarding: Road Trip,Ubisoft Montreal,7.8,5.4,1.66,E10,Wii,20080101
Star Wars The Clone Wars: Lightsaber Duels,Krome Studios,8.2,4.1,1.65,T,Wii,20080101
MySims,EA Redwood Shores,7.1,2.3,1.65,E,Wii,20070101
Wii Play: Motion,Nintendo EAD,5.2,9.2,0.4,E10,Wii,20110101
Deca Sports,CAProduction,5.3,9.7,0.86,E,Wii,20080101
Sonic Unleashed,Sonic Team/Dimps Corporation,6.7,8.2,2.36,E10,Wii,20080101
Dance Dance Revolution: Hottest Party 2,Bemani,5.7,2.5,1.58,E10,Wii,20080101
LEGO Pirates of the Caribbean: The Video Game,Traveller's Tales,7.5,1.0,1.57,E10,Wii,20110101
Carnival Games: Mini Golf,Cat Daddy Games,8.0,9.3,1.56,E,Wii,20080101
Guitar Hero 5,Vicarious Visions,8.9,7.9,1.55,T,Wii,20090101
Go Vacation,Namco Bandai Games,7.0,5.9,1.54,E10,Wii,20110101
Active Life: Outdoor Challenge,High Horse Entertainment,8.1,8.3,1.54,E,Wii,20080101
MySims Kingdom,EA Redwood Shores,5.7,9.0,1.52,E,Wii,20080101
Call of Duty: Modern Warfare: Reflex Edition,Treyarch,7.2,8.9,1.51,M,Wii,20090101
Disney Sing It: Pop Hits,Zoe Mode,6.8,9.4,1.48,E,Wii,20090101
Resident Evil 4: Wii Edition,Capcom Production Studio 4,9.2,9.7,1.46,M,Wii,20070101
