name,developer,ucs,user,sale,rating,platform,date
Mario Kart 8,Nintendo,8.8,1.5,0.23,E,WiiU,20140101
Super Mario 3D World,Nintendo EAD Tokyo,9.5,8.9,1.64,E,WiiU,20130101
New Super Mario Bros. U,Nintendo EAD,8.4,7.3,3.77,E,WiiU,20120101
Super Smash Bros. for Wii U,Bandai Namco Games,9.2,4.4,3.57,E10,WiiU,20140101
Nintendo Land,Nintendo,7.8,0.5,2.43,E10,WiiU,20120101
Splatoon,Nintendo EAD,8.4,8.4,4.86,E10,WiiU,20150101
Super Mario Maker,Nintendo EAD,8.8,7.2,0.02,E,WiiU,20150101
New Super Luigi U,Nintendo,7.8,4.3,1.61,E,WiiU,20130101
The Legend of Zelda: The Wind Waker,Nintendo EAD,9.3,9.9,2.33,E10,WiiU,20130101
Mario Party 10,"Nd Cube Co., Ltd.",6.3,8.3,5.09,E,WiiU,20150101
Donkey Kong Country: Tropical Freeze,Retro Studios,8.8,9.1,2.36,E,WiiU,20140101
Wii Party U,"Nd Cube Co., Ltd.",6.6,9.1,0.59,E,WiiU,20130101
The Legend of Zelda: Breath of the Wild,Nintendo EPD,10.0,10.0,1.93,E10,WiiU,20170101
Yoshi's Woolly World,Good-Feel,7.4,6.0,2.73,E,WiiU,20150101
Minecraft,4J Studios,5.5,5.6,1.47,E10,WiiU,20160101
Captain Toad: Treasure Tracker,Nintendo EAD Tokyo,7.7,9.6,1.52,E,WiiU,20140101
Hyrule Warriors,Omega Force,7.4,7.5,1.26,T,WiiU,20140101
Pikmin 3,Nintendo EAD,8.7,8.9,3.15,E10,WiiU,20130101
LEGO City Undercover,TT Fusion,7.5,6.0,4.24,E10,WiiU,20130101
The Legend of Zelda: Twilight Princess HD,Tantalus Interactive,8.4,9.3,0.87,T,WiiU,20160101
Pokken Tournament,Namco Bandai Games,7.6,9.6,1.97,E10,WiiU,20160101
Paper Mario: Color Splash,Intelligent Systems,7.4,6.4,0.87,E,WiiU,20160101
Wii Fit U,Nintendo,7.2,3.6,0.86,E,WiiU,20140101
Bayonetta 2,PlatinumGames,9.3,3.1,0.86,M,WiiU,20140101
Xenoblade Chronicles X,Monolith Soft,8.1,6.4,0.84,T,WiiU,20150101
ZombiU,Ubisoft Montpellier,6.9,8.5,0.84,M,WiiU,20120101
Mario & Sonic at the Sochi 2014 Olympic Winter Games,Sega Sports R&D,5.9,5.4,0.8,E,WiiU,20130101
Lego Marvel Super Heroes,Traveller's Tales,7.4,3.3,0.76,E10,WiiU,20130101
Skylanders: Trap Team,Toys for Bob,4.5,6.2,0.75,E10,WiiU,20140101
Just Dance 2015,Ubisoft Paris,8.1,8.5,0.75,E10,WiiU,20140101
Monster Hunter 3 Ultimate,Capcom,8.7,9.6,0.71,no,WiiU,20130101
Disney Infinity 2.0: Marvel Super Heroes,Avalanche Software,8.5,8.0,0.7,E10,WiiU,20140101
Rayman Legends,Ubisoft Montpellier,9.5,8.6,0.68,E10,WiiU,20130101
