name,developer,ucs,user,sale,rating,platform,date
Angry Birds,Unknown,9.9,2.7,2.9,no,WinP,20110101
Angry Birds Epic,Unknown,4.8,7.5,2.82,no,WinP,20140101
Angry Birds Transformers,Exient Entertainment,2.1,8.8,2.07,no,WinP,20150101
Angry Birds: Star Wars,Unknown,5.9,6.2,0.04,no,WinP,20120101
Armello,League of Geeks,8.7,5.1,7.15,E10,WinP,20150101
Asphalt 7: Heat,Unknown,6.6,9.3,2.92,no,WinP,20130101
Bad Piggies,Rovio Mobile,9.3,3.8,9.32,no,WinP,20130101
Balloon Pop Plus,Unknown,4.3,5.7,4.55,no,WinP,20130101
Brothers: A Tale of Two Sons,Starbreeze Studios,5.1,9.2,1.47,T,WinP,20160101
Cavesweeper,Unknown,8.7,8.2,1.61,no,WinP,20140101
Chaos Rings,Unknown,7.0,9.6,0.23,no,WinP,20130101
Coconut Fall,Unknown,6.5,4.8,3.42,no,WinP,20140101
Crazy Market,Unknown,5.8,4.7,1.63,no,WinP,20130101
Crimson Dragon: Side Story,Grounding Inc.,0.3,5.1,1.0,no,WinP,20120101
Cut the Rope,ZeptoLab,9.1,6.3,0.46,no,WinP,20120101
Draw Something,Unknown,9.3,9.7,0.51,no,WinP,20120101
Fruit Ninja,Unknown,7.8,7.2,0.19,no,WinP,20100101
Ghost Shooter,Unknown,6.0,9.6,0.25,no,WinP,20130101
Grand Theft Auto: San Andreas,Unknown,8.7,2.1,1.04,no,WinP,20140101
Halo: Spartan Assault,Vanguard Games,0.7,9.6,0.06,no,WinP,20130101
Halo: Spartan Strike,Vanguard Games,6.0,8.0,2.13,no,WinP,20150101
Joining Hands,Unknown,1.7,8.6,3.59,no,WinP,20130101
Joining Hands 2,Unknown,4.8,7.4,0.94,no,WinP,20130101
Kodama,Unknown,6.9,8.6,1.0,no,WinP,20140101
Lies Of Astaroth,Unknown,4.8,9.1,3.64,no,WinP,20130101
Maleficent Free Fall,Unknown,6.1,9.3,7.32,no,WinP,20140101
Mask Game,Unknown,6.7,9.8,2.75,no,WinP,20120101
Million Dollar Arm,Unknown,4.1,8.9,0.28,no,WinP,20140101
Monster Burner,Unknown,9.1,7.4,0.77,no,WinP,20130101
Ms. 'Splosion Man,Twisted Pixel Games,7.3,6.0,0.47,no,WinP,20130101
Mystery Case Files: Retun to Ravenhearst,Unknown,6.4,8.1,1.31,no,WinP,20130101
Never Future,Unknown,4.9,4.3,1.57,no,WinP,20140101
Online Artillery - Medieval Multiplayer Fortress Siege,Unknown,8.3,2.3,0.82,no,WinP,20140101
Paranormal Agency,Unknown,7.6,5.5,0.41,no,WinP,20100101
pero2Cat,Unknown,9.2,5.5,3.08,no,WinP,20130101
Plants vs. Zombies,Unknown,4.0,6.9,4.96,no,WinP,20110101
Prismatica,Unknown,4.9,7.2,0.39,no,WinP,20140101
Reaper Tale of a Pale Swordsman,Unknown,9.4,5.1,9.6,no,WinP,20130101
SBARG,Gyko Games,7.4,8.2,0.66,no,WinP,20100101
Shoot 1UP,Mommy's Best Games,9.2,7.3,0.95,no,WinP,20120101
Six-Guns,Unknown,8.6,7.9,0.77,no,WinP,20160101
Skulls of the Shogun,17-Bit,7.9,5.5,1.62,no,WinP,20130101
Slimebow,Unknown,9.3,9.7,1.28,no,WinP,20140101
Soaper Coaster,Unknown,4.7,5.7,2.59,no,WinP,20140101
Sonic The Hedgehog 4 Episode I,Unknown,5.9,9.8,2.16,no,WinP,20100101
Space Smasher,Unknown,1.5,8.4,0.21,no,WinP,20140101
Sparkle 2,10tons Ltd,5.5,7.7,1.71,E,WinP,20130101
Spectra 8bit Racing,NetherRealm Studios / Other Ocean Interactive,6.8,9.2,3.95,no,WinP,20140101
Splemy,Unknown,4.5,8.4,2.57,no,WinP,20140101
Temple Run,Unknown,8.6,9.6,2.15,no,WinP,20130101
Temple Run 2,Unknown,6.2,6.6,1.44,no,WinP,20130101
The Sims 3,Edge of Reality,7.7,7.7,0.52,no,WinP,20100101
The Sims 3 (Mobile Versions),EA mobile,8.7,4.7,1.72,no,WinP,20090101
Top Gear: Race The Stig,Unknown,3.3,9.6,1.06,no,WinP,20140101
Trouserheart,Unknown,2.4,9.4,3.75,no,WinP,20130101
Virtual City Playground,Unknown,0.5,8.6,0.82,no,WinP,20110101
Warfare Nations,VOLV LLC,4.0,3.0,1.5,no,WinP,20140101
Where's My Water? 2,Unknown,5.0,8.3,4.07,no,WinP,20130101
Wheres My Mickey?,Unknown,0.4,5.0,3.1,no,WinP,20130101
Wheres My Perry?,Unknown,6.2,6.1,7.28,no,WinP,20130101
Wheres My Water?,Unknown,0.9,6.6,1.49,no,WinP,20110101
Wheres My Water? Featuring XYY,Disney Interactive Studios,9.3,9.1,12.83,no,WinP,20140101
Worldly,Unknown,6.1,7.0,0.46,no,WinP,20140101
Wreck-it Ralph,Unknown,4.6,4.0,4.35,no,WinP,20130101
Zoo Tycoon: Friends,Behaviour Interactive,4.8,9.4,0.98,no,WinP,20140101
Age of Empires: Castle Siege,Smoking Gun Interactive,0.9,9.4,1.11,no,WinP,20140101
