name,developer,ucs,user,sale,rating,platform,date
Kinect Adventures!,Good Science Studio,6.7,9.4,2.95,E,X360,20100101
Grand Theft Auto V,Rockstar North,4.3,6.0,15.86,M,X360,20130101
Call of Duty: Modern Warfare 3,Infinity Ward,8.7,5.3,14.82,M,X360,20110101
Call of Duty: Black Ops,Treyarch,8.8,8.4,14.74,M,X360,20100101
Halo 3,Bungie Studios,9.6,9.5,3.25,M,X360,20070101
Call of Duty: Black Ops II,Treyarch,8.3,5.3,13.86,M,X360,20120101
Call of Duty: Modern Warfare 2,Infinity Ward,9.5,9.0,13.53,M,X360,20090101
Minecraft,Mojang,9.3,5.7,12.99,E10,X360,20130101
Grand Theft Auto IV,Rockstar North,10.0,0.2,11.09,M,X360,20080101
Call of Duty: Ghosts,Infinity Ward,6.9,3.4,10.41,M,X360,20130101
Halo: Reach,Bungie,9.3,6.3,9.97,M,X360,20100101
Halo 4,343 Industries,3.5,5.9,9.96,M,X360,20120101
Call of Duty 4: Modern Warfare,Infinity Ward,9.6,9.0,9.41,M,X360,20070101
The Elder Scrolls V: Skyrim,Bethesda Game Studios,9.3,6.7,8.88,M,X360,20110101
Call of Duty: World at War,Treyarch,8.5,7.8,7.5,M,X360,20080101
Battlefield 3,Dice,8.5,9.1,7.35,M,X360,20110101
Red Dead Redemption,Rockstar San Diego,9.5,10.0,6.5,M,X360,20100101
Halo 3: ODST,Bungie,8.7,9.0,6.35,M,X360,20090101
Assassin's Creed,Ubisoft Montreal,8.2,8.0,5.55,M,X360,20070101
Forza Motorsport 3,Turn 10 Studios,9.2,9.8,5.5,E,X360,20090101
Assassin's Creed III,Ubisoft Montreal,3.7,4.7,5.31,M,X360,20120101
Assassin's Creed II,Ubisoft Montreal,9.1,8.0,5.3,M,X360,20090101
FIFA 13,EA Canada,8.6,8.2,5.11,E,X360,20120101
Fable III,Lionhead Studios,7.8,7.9,5.1,M,X360,20100101
Gears of War,Epic Games,9.4,9.4,4.43,M,X360,20060101
Gears of War 2,Epic Games,9.4,9.5,1.38,M,X360,20080101
Fallout 3,Bethesda Game Studios,9.0,8.6,4.96,M,X360,20080101
Batman: Arkham City,Rocksteady Studios,9.5,9.9,4.75,T,X360,20110101
Forza Motorsport 4,Turn 10 Studio,9.1,6.6,4.6,E,X360,20110101
Guitar Hero III: Legends of Rock,Neversoft,8.7,2.5,4.53,T,X360,20070101
The Elder Scrolls IV: Oblivion,Bethesda Softworks,9.2,7.1,4.47,M,X360,20090101
Call of Duty: Advanced Warfare,High Moon Studios,9.1,7.3,4.34,M,X360,20140101
Assassin's Creed: Revelations,Ubisoft Montreal,7.9,9.4,4.22,M,X360,20110101
FIFA Soccer 12,EA Canada,9.2,9.4,4.18,E,X360,20110101
FIFA 14,EA Canada,6.2,2.5,4.15,E,X360,20130101
Fallout: New Vegas,Obsidian Entertainment,8.2,5.9,4.08,M,X360,20100101
Forza Motorsport 2,Turn 10 Studios,9.1,4.2,4.05,E,X360,20070101
Left 4 Dead 2,Certain Affinity / Valve Software,9.0,8.1,3.97,M,X360,20090101
LEGO Indiana Jones: The Original Adventures,Traveller's Tales,7.5,9.1,3.76,E10,X360,20080101
Battlefield 4,EA DICE,8.7,8.5,3.54,M,X360,20130101
Batman: Arkham Asylum,Rocksteady Studios,9.1,4.9,3.54,T,X360,20090101
Assassin's Creed: Brotherhood,Ubisoft Montreal,9.1,3.4,3.53,M,X360,20100101
Resident Evil 5,Capcom,8.6,6.3,3.53,M,X360,20090101
FIFA Soccer 11,EA Canada,8.7,6.9,3.52,E,X360,20100101
Left 4 Dead,Certain Affinity / Valve Software,8.7,9.0,3.52,M,X360,20080101
Fable II,Lionhead Studios,9.0,9.3,2.75,M,X360,20080101
Battlefield: Bad Company 2,EA Digital Illusions CE,9.0,9.3,3.48,M,X360,20100101
Borderlands,Gearbox Software,8.3,9.2,3.48,M,X360,20090101
LEGO Batman: The Videogame,Traveller's Tales,7.5,8.1,3.44,E10,X360,20080101
Assassin's Creed IV: Black Flag,Ubisoft Montreal,8.5,5.5,3.34,M,X360,20130101
NBA 2K13,Visual Concepts,8.6,6.4,3.11,E,X360,20120101
Mass Effect 2,BioWare Edmonton,9.5,8.9,3.1,M,X360,20100101
Saints Row 2,Volition Inc.,7.9,7.6,3.07,M,X360,20080101
Borderlands 2,Gearbox Software,5.1,8.3,3.06,no,X360,20130101
Kung Fu Panda,Luxoflux,7.5,6.7,3.05,E10,X360,20080101
Mass Effect 3,BioWare,8.9,9.2,3.04,M,X360,20120101
Gears of War 3,Epic Games,9.1,9.7,0.2,M,X360,20110101
Kinect Sports,Rare Ltd.,7.4,6.6,2.06,E10,X360,20100101
Far Cry 3,Ubisoft Montreal,1.0,6.8,2.98,M,X360,20120101
Street Fighter IV,Capcom / Dimps Corporation,9.3,9.3,2.95,T,X360,20090101
Madden NFL 13,EA Tiburon,8.0,6.1,2.93,E,X360,20120101
Mass Effect,BioWare Edmonton,9.2,9.1,2.91,M,X360,20070101
FIFA 15,EA Canada,6.9,8.4,2.91,E,X360,20140101
Sega Superstars Tennis,Sumo Digital,6.9,7.3,2.89,E10,X360,20080101
Madden NFL 10,EA Tiburon,8.6,9.3,2.83,E,X360,20090101
BioShock,2K Australia / 2K Boston,9.6,9.5,2.83,M,X360,20070101
Star Wars: The Force Unleashed,LucasArts,7.1,8.2,2.77,T,X360,20080101
Saints Row: The Third,Volition Inc.,8.3,9.3,2.77,M,X360,20110101
L.A. Noire,Team Bondi,9.1,8.9,2.73,M,X360,20110101
Skate 3,EA Black Box,8.3,5.7,2.71,T,X360,20100101
Madden NFL 12,EA Tiburon,7.8,7.8,2.7,E,X360,20110101
Call of Duty 3,Treyarch,8.0,8.4,2.7,T,X360,20060101
Madden NFL 11,EA Tiburon,8.3,1.1,2.69,E,X360,20100101
Halo Wars,Ensemble Studios,8.1,8.5,2.67,T,X360,20090101
Guitar Hero: World Tour,Neversoft Entertainment,8.6,7.7,2.66,T,X360,20080101
Medal of Honor,EA Los Angeles,7.3,8.0,2.64,M,X360,20100101
NBA 2K12,Visual Concepts,9.1,8.7,2.64,E,X360,20110101
FIFA Soccer 10,EA Canada,8.9,7.2,2.62,E,X360,20090101
Grand Theft Auto: Episodes from Liberty City,Rockstar North,9.0,7.9,2.6,M,X360,20090101
LEGO Star Wars: The Complete Saga,Traveller's Tales,4.7,9.9,2.59,E10,X360,20070101
NBA 2K14,Visual Concepts,6.5,5.5,2.57,E,X360,20130101
Dragon Age: Origins,BioWare Edmonton,8.5,7.4,2.56,M,X360,20090101
Madden NFL 09,EA Tiburon,8.5,6.6,2.54,E,X360,20080101
Marvel: Ultimate Alliance,Raven Software,8.3,6.3,2.5,T,X360,20060101
Dance Central,Harmonix Music Systems,8.4,9.7,0.39,T,X360,20100101
Pure,Black Rock Studio,8.3,3.2,2.47,E,X360,20080101
