name,developer,ucs,user,sale,rating,platform,date
Halo 2,Bungie Studios,9.6,7.1,9.31,M,XB,20040101
Halo: Combat Evolved,Bungie Studios,9.5,7.2,0.23,M,XB,20010101
Tom Clancy's Splinter Cell,Ubisoft,9.3,9.1,3.02,T,XB,20020101
Fable,Big Blue Box,8.6,7.1,1.55,M,XB,20040101
The Elder Scrolls III: Morrowind,Bethesda Softworks,8.2,5.4,2.86,T,XB,20020101
Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City,Rockstar North,9.8,8.0,2.49,M,XB,20030101
Need for Speed Underground 2,EA Black Box,2.7,3.4,2.28,E,XB,20040101
Star Wars: Knights of the Old Republic,BioWare Corp.,9.4,8.3,2.19,T,XB,20030101
Project Gotham Racing,Bizarre Creations,8.4,1.7,2.12,E,XB,20010101
Project Gotham Racing (JP weekly sales),Bizarre Creations,9.5,5.2,2.1,no,XB,20020101
Dead or Alive 3,Team Ninja,8.3,8.2,1.56,T,XB,20010101
Grand Theft Auto: San Andreas,Rockstar North,9.2,9.0,1.95,M,XB,20050101
Madden NFL 06,EA Tiburon,3.8,7.2,1.86,E,XB,20050101
Tom Clancy's Ghost Recon,Red Storm Entertainment,6.2,1.8,1.76,M,XB,20020101
Star Wars Battlefront,Pandemic Studios,7.6,3.9,1.75,T,XB,20040101
Madden NFL 2005,EA Tiburon,0.9,8.9,1.72,E,XB,20040101
Need for Speed Underground,EA Black Box,8.3,8.5,1.71,E,XB,20030101
Star Wars Battlefront II,Pandemic Studios,5.4,4.9,1.67,T,XB,20050101
PGR: Project Gotham Racing 2,Bizarre Creations,8.9,4.4,1.67,E,XB,20030101
ESPN NFL 2K5,Visual Concepts,4.4,3.8,1.63,E,XB,20040101
Tom Clancy's Rainbow Six 3,Ubisoft Montreal / Red Storm Entertainment,0.8,6.8,1.55,M,XB,20030101
Counter-Strike,Valve Software,3.6,9.1,5.72,M,XB,20030101
Medal of Honor: Frontline,EA Los Angeles,7.9,7.5,1.49,T,XB,20020101
Tom Clancy's Splinter Cell: Pandora Tomorrow,Ubisoft Shanghai,9.2,9.0,1.48,T,XB,20040101
Spider-Man: The Movie,Treyarch,7.7,7.9,1.4,E,XB,20020101
True Crime: Streets of LA,Luxoflux,8.3,7.8,1.38,M,XB,20030101
Star Wars Knights of the Old Republic II: The Sith Lords,Obsidian Entertainment,3.6,9.3,1.37,T,XB,20040101
Tom Clancy's Ghost Recon 2,Red Storm Entertainment,8.6,5.9,1.36,T,XB,20040101
The Simpsons: Hit & Run,Radical Entertainment,8.9,4.8,1.35,T,XB,20030101
Doom 3,Vicarious Visions,9.6,8.7,1.34,M,XB,20050101
Burnout 3: Takedown,Criterion Games,9.3,7.8,1.31,T,XB,20040101
Tony Hawk's Underground,Neversoft Entertainment,4.1,5.7,1.27,T,XB,20030101
Star Wars Episode III: Revenge of the Sith,The Collective,6.9,9.5,1.24,T,XB,20050101
Crash Bandicoot: The Wrath of Cortex,Traveller's Tales,8.5,8.3,1.23,E,XB,20020101
Max Payne,neo Software,8.6,7.9,1.22,M,XB,20010101
Fuzion Frenzy,Blitz Games,6.6,0.7,1.21,E,XB,20010101
Call of Duty: Finest Hour,Spark Unlimited,7.9,7.9,1.21,T,XB,20040101
Ninja Gaiden,Team Ninja,9.4,7.7,0.76,M,XB,20040101
Enter the Matrix,Shiny Entertainment,7.5,0.9,1.2,T,XB,20030101
Hitman 2: Silent Assassin,IO Interactive,6.4,8.5,1.19,M,XB,20020101
Medal of Honor: Rising Sun,EA Los Angeles,7.4,9.0,1.17,T,XB,20030101
LEGO Star Wars: The Video Game,Traveller's Tales,8.0,4.9,1.16,E,XB,20050101
The Lord of the Rings: The Return of the King,"Hypnos Entertainment, Inc.",8.8,2.2,1.14,T,XB,20030101
MechAssault,Day 1 Studios,3.2,9.2,1.13,T,XB,20020101
Tom Clancy's Rainbow Six 3: Black Arrow,Ubisoft Montreal,1.0,9.4,1.13,M,XB,20040101
Call Of Duty 2: Big Red One,Treyarch,6.2,9.1,1.12,T,XB,20050101
Spider-Man 2,Treyarch,7.7,6.7,1.12,T,XB,20040101
Tom Clancy's Splinter Cell: Chaos Theory,Ubisoft Montreal,9.4,9.3,1.11,M,XB,20050101
Madden NFL 2004,EA Tiburon,5.5,8.9,1.09,E,XB,20030101
The Simpsons: Road Rage,Radical Entertainment,5.6,8.5,1.05,T,XB,20010101
Forza Motorsport,Turn 10 Studios,9.2,5.0,1.05,E,XB,20050101
Need for Speed: Most Wanted,EA Canada,8.3,4.0,1.04,T,XB,20050101
The Elder Scrolls III: Morrowind Game of the Year Edition,Bethesda Softworks,8.3,7.2,1.03,T,XB,20030101
Madden NFL 07,EA Tiburon,8.4,6.5,1.02,E,XB,20060101
SoulCalibur II,Namco,6.5,9.7,1.0,T,XB,20030101
NFL Fever 2002,Microsoft,8.2,8.7,0.99,E,XB,20010101
NCAA Football 06,EA Tiburon,4.2,8.2,0.97,E,XB,20050101
FIFA Soccer 2005,EA Canada,2.9,8.5,0.97,E,XB,20040101
Mortal Kombat: Deadly Alliance,Midway,5.9,7.9,0.96,M,XB,20020101
ESPN NBA 2K5,Visual Concepts,9.4,8.4,0.95,E,XB,20040101
MVP Baseball 2005,EA Canada,7.3,9.4,0.94,E,XB,20050101
Prince of Persia: The Sands of Time,Ubisoft Montreal,9.0,8.4,0.94,T,XB,20030101
Tony Hawk's Pro Skater 4,Neversoft Entertainment,8.2,8.1,0.93,T,XB,20020101
Namco Museum,Mass Media,6.0,5.2,0.91,E,XB,20020101
Sonic Mega Collection Plus,Sonic Team,9.3,8.2,0.91,E,XB,20040101
Sonic Heroes,Sonic Team,8.3,9.6,0.9,E,XB,20040101
James Bond 007: Agent Under Fire,EA Redwood Shores,8.7,7.0,0.9,T,XB,20020101
X-Men Legends,Raven Software,8.2,7.0,0.9,T,XB,20040101
NBA Live 2005,EA Canada,2.2,7.7,0.9,E,XB,20040101
Crimson Skies: High Road to Revenge,FASA Studio,3.1,7.4,0.87,T,XB,20030101
Tom Clancy's Ghost Recon: Island Thunder,Red Storm Entertainment,9.2,9.9,0.87,M,XB,20030101
Conflict: Desert Storm,Pivotal Games,4.5,8.4,0.87,M,XB,20020101
Tiger Woods PGA Tour 2005,EA Redwood Shores,0.7,5.3,0.85,E,XB,20040101
Brute Force,Digital Anvil,8.2,6.8,0.83,M,XB,20030101
James Bond 007: Nightfire,Eurocom Entertainment Software,8.1,9.0,0.82,T,XB,20020101
Need for Speed: Hot Pursuit 2,EA Black Box,8.2,1.2,0.82,E,XB,20020101
Amped: Freestyle Snowboarding,Indie Built,7.4,7.5,0.82,E,XB,20010101
Prince of Persia: Warrior Within,Ubisoft Montreal,1.7,5.0,0.8,M,XB,20040101
FIFA Soccer 2004,EA Canada,4.0,6.7,0.79,E,XB,20030101
Driv3r,Reflections Interactive,6.4,8.7,0.76,M,XB,20040101
Mortal Kombat: Deception,Midway Games,7.4,8.7,0.76,M,XB,20040101
Tony Hawk's Underground 2,Neversoft Entertainment,2.1,6.2,0.75,T,XB,20040101
Midnight Club 3: DUB Edition,Rockstar San Diego,6.7,6.3,0.74,E10,XB,20050101
Unreal Championship,Digital Extremes,7.1,9.5,0.74,M,XB,20020101
Oddworld: Munch's Oddysee,Oddworld Inhabitants,7.9,6.2,0.73,T,XB,20010101
Full Spectrum Warrior,Pandemic Studios,8.3,5.9,0.73,M,XB,20040101
Dead to Rights,Namco,4.3,8.7,0.72,M,XB,20020101
The Lord of the Rings: The Two Towers,Stormfront Studios,5.8,7.8,0.71,T,XB,20020101
Madden NFL 2003,EA Tiburon,9.3,6.8,0.71,E,XB,20020101
Conker: Live And Reloaded,Rare Ltd.,8.1,5.2,0.71,M,XB,20050101
Doom 3: Resurrection of Evil,Nerve Software,8.2,5.6,0.71,M,XB,20050101
Star Wars: Obi-Wan,LucasArts,6.7,9.3,0.7,T,XB,20010101
Jade Empire,BioWare Corp.,9.0,4.0,0.7,M,XB,20050101
Halo 2 Multiplayer Map Pack,Bungie Studios,8.6,6.4,0.69,M,XB,20050101
NBA Street Vol. 2,EA Canada,7.1,2.4,0.68,E,XB,20030101
NCAA Football 2005,EA Tiburon,5.3,7.3,0.68,E,XB,20040101
Mercenaries: Playground of Destruction,Pandemic Studios,4.7,9.7,0.68,T,XB,20050101
FIFA Soccer 06,EA Canada,5.5,3.5,0.68,E,XB,20050101
Fight Night 2004,EA Canada,8.0,4.8,0.68,T,XB,20040101
Return to Castle Wolfenstein: Tides of War,Gray Matter Studios / Nerve Software,3.4,5.3,0.67,M,XB,20030101
Fight Night Round 2004,EA Sports,3.7,6.8,0.67,T,XB,20040101
Star Wars: Republic Commando,LucasArts,4.8,9.7,0.67,T,XB,20050101
NFL Street,EA Tiburon,9.1,1.4,0.66,E,XB,20040101
Finding Nemo,Traveller's Tales,7.5,8.8,0.66,E,XB,20030101
Brothers In Arms: Road to Hill 30,Gearbox Software,7.4,7.4,0.66,M,XB,20050101
Max Payne 2: The Fall of Max Payne,Remedy Entertainment,8.6,6.9,0.64,M,XB,20030101
James Bond 007: Everything or Nothing,EA Redwood Shores,6.9,6.8,0.64,T,XB,20040101
NBA Live 06,EA Canada,6.0,9.0,0.64,E,XB,20050101
TimeSplitters 2,Free Radical Design,7.4,4.7,0.64,T,XB,20020101
Tony Hawk's Pro Skater 2x,Treyarch,6.9,5.4,0.63,T,XB,20010101
FIFA Soccer 2003,EA Canada,9.0,6.3,0.63,E,XB,20020101
Metal Gear Solid 2: Substance,Konami Computer Entertainment Japan,8.7,8.2,0.62,M,XB,20020101
Tony Hawk's American Wasteland,Neversoft Entertainment,6.2,5.4,0.62,T,XB,20050101
Tiger Woods PGA Tour 2004,EA Redwood Shores,9.5,5.8,0.62,E,XB,20030101
NFL Fever 2003,Microsoft Game Studios,1.5,7.5,0.61,E,XB,20020101
Half-Life 2,Valve Software,8.9,8.0,0.61,M,XB,20050101
Fight Night Round 2,EA Sports,1.9,8.7,0.6,T,XB,20050101
MVP Baseball 2004,EA Sports,7.2,7.8,0.59,E,XB,20040101
Dead or Alive Xtreme Beach Volleyball,Team Ninja,6.6,5.7,0.59,M,XB,20030101
Prince of Persia: The Two Thrones,Ubisoft Montreal,8.1,7.7,0.58,M,XB,20050101
Madden NFL 2002,EA Sports,0.7,2.9,0.58,E,XB,20010101
Far Cry Instincts,Ubisoft Montreal,4.3,7.7,0.57,M,XB,20050101
Blood Wake,Stormfront Studios,7.6,8.9,0.57,T,XB,20010101
Wreckless: ThE YaKuza MisSiOns,Bunkasha Publishing,8.6,5.8,0.57,T,XB,20020101
SpongeBob SquarePants: Battle for Bikini Bottom,Heavy Iron Studios,6.7,7.6,0.57,E,XB,20030101
RalliSport Challenge,Digital Illusions,6.0,9.2,0.57,E,XB,20020101
The Sims: Bustin' Out,Maxis,7.6,8.8,0.56,T,XB,20030101
Battlefield 2: Modern Combat,Digtal Illusions,7.5,8.4,0.56,T,XB,20050101
WWE Raw 2,"Anchor, Inc.",6.7,6.9,0.56,T,XB,20030101
Blinx: The Time Sweeper,Artoon,6.8,6.2,0.56,E,XB,20020101
Major League Baseball 2K5,Kush Games,7.7,9.7,0.56,E,XB,20050101
NCAA Football 07,EA Sports,8.8,9.3,0.56,E,XB,20060101
The Godfather (old US sales),Headgate,1.9,5.9,0.55,M,XB,20060101
WWF Raw (2002),Anchor,6.5,4.6,0.55,T,XB,20020101
Tony Hawk's Pro Skater 3,Neversoft Entertainment,7.8,7.0,0.55,T,XB,20020101
Shrek 2,"Luxoflux, Inc.",6.7,8.0,0.55,E,XB,20040101
