name,developer,ucs,user,sale,rating,platform,date
Trials Evolution,RedLynx,6.6,6.8,0.23,no,XBL,20120101
Grand Theft Auto: San Andreas,Rockstar North,5.2,8.1,0.13,M,XBL,20080101
Forza Motorsport 4: December IGN Pack,Turn 10,7.4,6.4,0.03,no,XBL,20110101
Castlevania: Lords of Shadow - Reverie,Mercury Steam,7.5,8.5,0.02,M,XBL,20110101
Worms,Team17 Software,8.9,3.4,0.02,E10,XBL,20070101
Banjo-Kazooie,4J Studios,7.0,8.7,0.01,E,XBL,20080101
Soul Calibur IV,Project Soul,8.4,9.4,0.01,T,XBL,20080101
Dark,Andrew Russell,8.9,6.2,0.0,no,XBL,20090101
Hasbro Family Game Night,EA Bright Light,7.2,9.0,0.0,E,XBL,20090101
Matt Hazard: Blood Bath and Beyond,Vicious Cycle,6.6,5.8,0.0,M,XBL,20100101
'Splosion Man,Twisted Pixel Games,8.4,8.9,1.82,E10,XBL,20090101
0 day Attack on Earth,Gulti,4.2,2.9,0.1,E10,XBL,20090101
1337 Ship Deathmatch,LocoPuyo,0.4,9.0,1.28,no,XBL,20090101
15 Puzzle,Snowcap Games,4.8,9.1,0.96,no,XBL,20090101
1942: Joint Strike,Backbone Entertainment,6.9,5.4,1.7,E10,XBL,20080101
2060 Cyber Racer,R3dDr4g0n,7.7,9.0,7.19,no,XBL,20090101
2176 Supernova Storm,BenS1,4.6,8.7,2.06,no,XBL,20090101
27 Ball Funky Pool,Maximinus,7.8,9.3,2.71,no,XBL,20110101
2D Math Panic,OnekSoft Games,8.4,9.1,0.33,no,XBL,20110101
2GoVids Rachel Star Stunt Show,GoVids,7.1,8.7,2.61,no,XBL,20090101
2win Ghost,Paineert,6.7,2.9,0.82,no,XBL,20090101
3 on 3 NHL Arcade,EA Canada,7.2,5.9,0.57,E,XBL,20090101
360 Mega App Pack HD,Seph,4.4,8.5,0.41,no,XBL,20090101
3D Infinity,SmileBoom,4.7,6.3,4.81,no,XBL,20100101
3D Magic Images,Unknown,8.3,6.8,0.08,no,XBL,20090101
3D Ultra MiniGolf Adventures,Wanako Studios,6.9,7.4,1.24,E,XBL,20070101
3D Ultra MiniGolf Adventures 2,Wanako Studios,9.5,4.4,2.41,E,XBL,20100101
4 Moku Narabe 3D,okui,7.6,9.8,0.95,no,XBL,20110101
A Bomb's Way,SmudgedCat,9.3,9.1,1.19,no,XBL,20090101
A Fading Melody,Anchorcast,8.9,9.8,0.08,no,XBL,20090101
A Frog Game,imagodespira,4.8,5.7,1.33,no,XBL,20090101
A Game About My Cat,thelostone,8.1,5.0,0.04,no,XBL,20110101
A Game of Tennis,UberGeekGames,3.2,9.0,3.87,no,XBL,20090101
A Great Easter Egg Hunt,ProjectorGames,8.9,7.3,6.38,no,XBL,20090101
A Hard Game Without Zombies,MasterGroke,8.1,7.2,5.09,no,XBL,20110101
A Killer's Dream,Silver Dollar Games 1,4.3,8.3,0.95,no,XBL,20090101
A Kingdom for Keflings,NinjaBee,7.9,6.0,3.2,E,XBL,20080101
A Kitchen Sink War,ECHS BACHS,3.4,5.6,1.21,no,XBL,20080101
A Morons Challenge,arcarocket,8.8,7.3,0.92,no,XBL,20090101
A Perfect Massage,R3dDr4g0n,2.7,7.1,0.85,no,XBL,20090101
A Pimp RPG,HobbiSoft,7.7,2.3,5.18,no,XBL,20110101
A Robots Conundrum,The Riddler 24,9.4,8.9,7.38,no,XBL,20090101
A Wizard's Odyssey,SaratogaHC,6.5,8.5,0.99,no,XBL,20090101
A World of Keflings,NinjaBee,8.0,9.1,0.27,E10,XBL,20100101
A World of Keflings: It Came From Outer Space,NinjaBee,9.8,3.6,4.15,no,XBL,20110101
A-Maze!-ING,Copasetic,8.3,8.8,3.01,no,XBL,20090101
A.I.R. Play,doozerdude,5.8,9.3,0.6,no,XBL,20090101
Aah Impossible Rescue,Robert Swan,5.6,6.7,0.72,no,XBL,20100101
Aardvark,idiot,6.8,8.0,0.24,no,XBL,20090101
Aaron's Ping-Pong,Sangretu,7.7,6.0,0.38,no,XBL,20080101
Abaddon: Retribution,Firestorm Studios,8.6,8.7,0.5,no,XBL,20100101
Aban Hawkins & the 1000 SPIKES,JPN 8bits fanatics,2.5,9.4,0.27,no,XBL,20110101
Abduction Action!,Kris Steele,5.7,2.2,3.73,no,XBL,20100101
Abronium Party,Mexond,7.2,7.2,7.96,no,XBL,20090101
Absolute: Blazing Infinity,Neverland,5.9,6.0,2.56,no,XBL,20090101
Abstacked,lutas,1.0,8.4,0.18,no,XBL,20080101
Ace Gals Tennis,Haruneko,9.1,9.1,3.8,no,XBL,20100101
Ace of Dynamites,Fairy Engine LLC,6.5,6.5,2.9,no,XBL,20110101
Aceball,VoodooChief,7.0,6.5,1.4,no,XBL,20080101
Aces of the Galaxy,Artech Studios,7.8,7.9,4.38,no,XBL,20080101
Advanced Rock Paper Scissors,North West,5.5,8.0,7.58,no,XBL,20090101
Adventurer Pets HD,arrogancy,5.7,8.1,0.05,no,XBL,20080101
ADVENTURES of CAPTAIN Becky,sakura,4.3,7.0,0.28,no,XBL,20100101
Adventures of Shuggy,Smudged Cat Games,8.3,8.8,0.41,E,XBL,20110101
Adventures Of Sid XMAS Special,CoderSys,7.9,6.4,0.11,no,XBL,20090101
Aegis Wing,Carbonated Games,9.4,7.0,1.71,E,XBL,20070101
Aesop's Garden,Excalibur Studios,9.3,7.0,2.37,no,XBL,20090101
After Burner Climax,Sega-AM2,9.1,7.2,0.34,E10,XBL,20100101
Age of Booty,Certain Affinity,7.6,3.1,1.84,E,XBL,20080101
Agent MOO: Maximum Overdeath,Agent MOO,6.9,7.4,1.05,no,XBL,20090101
Aichi Yokabu us online,Takeshi Yoshimura,3.1,5.6,0.41,no,XBL,20090101
Aimeroids,simesf,6.8,8.9,0.18,no,XBL,20090101
Air Combat: Desert Aces,Strange Games,9.0,4.8,5.22,no,XBL,20110101
Air Legends,Sharky NZ,8.5,2.3,1.01,no,XBL,20090101
Airburst,Strange Flavour,8.0,4.8,0.25,no,XBL,19880101
Akane the Kunoichi,Haruneko,3.5,7.8,0.58,no,XBL,20110101
Akujin,Domi,8.9,4.4,0.82,no,XBL,20090101
Alan Wake,Remedy Entertainment,8.5,9.1,4.58,T,XBL,20100101
Alan Wake's American Nightmare,Remedy Entertainment,5.1,9.3,0.21,no,XBL,20120101
Alan Wake: The Signal,Remedy Entertainment,7.6,9.8,2.77,T,XBL,20100101
Alan Wake: The Writer,Remedy Entertainment,7.0,2.6,3.6,T,XBL,20100101
Alchemist,Aeon,0.8,9.1,0.14,no,XBL,20090101
Alderman,idle han,8.7,9.8,1.53,no,XBL,20090101
Aleph,DigiPen,7.1,8.7,3.69,no,XBL,20160101
Alien Ambush,Star Gaming Network,9.1,1.4,0.32,no,XBL,20080101
Alien Breed 1: Evolution,Team17 Software,6.7,6.0,0.82,T,XBL,20090101
Alien Breed 2: Assault,Team17 Software,6.1,4.8,1.05,T,XBL,20100101
Alien Breed 3: Descent,Team17 Software,6.8,6.1,0.53,T,XBL,20100101
Alien Encounters,Star Gaming Network,3.1,9.3,0.66,no,XBL,20090101
Alien Hideout,golconda,8.3,8.6,0.02,no,XBL,20110101
Alien Hominid HD,The Behemoth,8.3,6.9,1.39,T,XBL,20070101
Alien Pyramid Challenge!,Swampopus,5.1,8.4,1.96,no,XBL,20090101
Aliens VS Aliens,Fun Factory Entertainment,3.2,9.2,4.69,no,XBL,20110101
Aliens vs Predator,Rebellion Developments,8.5,9.6,0.53,M,XBL,20110101
All the Bad Parts,Ben Cook,5.4,8.3,1.76,no,XBL,20110101
Alone in the Dark,Eden Studios,8.9,9.3,0.65,M,XBL,20110101
Along Came A Spider,Foley,8.2,4.2,2.28,no,XBL,20090101
Alpha Squad,DragonDivide,7.5,8.4,1.18,no,XBL,20110101
Altar of Gems,Hotwave Games,2.7,4.0,0.59,no,XBL,20090101
Altered Beast,Sega / Backbone Entertainment,5.7,6.1,5.51,E10,XBL,20090101
Amazing Facts,Danthekilla,0.1,8.2,0.39,no,XBL,20100101
Amazing Wizard,XtianP,8.1,9.4,3.62,no,XBL,20080101
American McGee's Alice,Rogue Entertainment,7.1,9.4,4.27,M,XBL,20110101
Amniotic,Antab,8.7,5.5,0.22,no,XBL,20090101
AMY,VectorCell,8.0,5.0,1.11,M,XBL,20120101
Ancient Trader,Fourkidsgames,6.5,8.2,0.43,no,XBL,20100101
Ancients of Ooga,NinjaBee / Bacon Wrapped Games,7.3,9.1,0.58,E10,XBL,20100101
Ancients of Ooga - The Forgotten Chapters,NinjaBee / Bacon Wrapped Games,8.1,8.1,0.97,E10,XBL,20110101
Andromium,MikeVentron,8.3,9.8,1.01,no,XBL,20110101
Angry Barry,arrogancy,2.7,9.1,4.04,no,XBL,20090101
Angry Fish,Frozen Software,4.0,6.6,3.87,no,XBL,20110101
Animales de la Muerte,High Voltage Software,9.2,8.8,0.18,no,XBL,20060101
Annecto,oh-four-hundred,8.0,6.7,1.76,no,XBL,20110101
Antigrav Racing Championship,R3dDr4g0n,9.2,9.0,0.25,no,XBL,20090101
Antipole,Saturnine Games,7.2,8.4,4.06,no,XBL,20110101
Apache: Air Assault,Gaijin Entertainment,6.8,8.3,6.73,T,XBL,20110101
Apex,Riddlersoft,4.9,9.5,3.78,no,XBL,20110101
Aphelion,lunatic studios,5.4,5.8,2.27,no,XBL,20110101
Aphelion 2,lunatic studios,5.0,6.7,0.23,no,XBL,20110101
Aphelion Episode One: Graves of Earth,lunatic studios,5.9,9.0,1.75,no,XBL,20100101
Aphelion Episode Two: Wings of Omega,lunatic studios,6.6,8.3,0.1,no,XBL,20100101
Aqua,Games Distillery,6.0,9.2,0.53,E10,XBL,20100101
Aquarium HD,reedake2,5.3,7.9,1.43,no,XBL,20090101
Arbor Vitae,Erpberger,8.7,7.0,2.36,no,XBL,20090101
ARC Ninja Edition,R3dDr4g0n,5.9,7.6,0.73,no,XBL,20090101
Arcade Snake,LemonBallGames,7.4,7.5,2.46,no,XBL,20090101
Are You Smarter than a 5th Grader? Make The Grade,Blitz Game Studios,6.4,9.6,1.01,E,XBL,20080101
Aria,SRH,4.4,5.1,5.35,no,XBL,20090101
Arkadian Warriors,Wanako Studios,4.9,8.3,1.31,E10,XBL,20070101
Arkanoid Live!,Taito Corporation,9.3,9.3,0.21,E,XBL,20090101
Arkedo Series - 01 JUMP!,Arkedo,9.1,3.5,1.99,no,XBL,20090101
Arkedo Series - 02 SWAP!,Arkedo,7.6,8.7,1.68,no,XBL,20090101
Arkedo Series - 03 PIXEL!,Arkedo,4.9,9.5,0.56,no,XBL,20090101
ArkX,ralph78fr,8.5,5.8,1.46,no,XBL,20090101
Armor Valley,Janelle,5.7,9.4,0.62,no,XBL,20090101
Army of Two,EA Montreal,6.5,9.6,2.55,M,XBL,20090101
Army of Two: SSC Challenge Map Pack,EA Montreal,6.4,8.3,1.64,M,XBL,20080101
Army of Two: The 40th Day,EA Montreal,4.5,9.3,4.97,M,XBL,20100101
Army of Two: The 40th Day - Chapters of Deceit,EA Montreal,1.9,4.5,2.59,M,XBL,20100101
Army of Two: Veteran Map Pack,EA Montreal,9.6,6.5,6.09,M,XBL,20080101
Aron's Journey in Dreamland,Meruvia Game Studio,8.7,4.2,1.59,no,XBL,20110101
Arriba!,Jagglestein,7.8,8.7,2.41,no,XBL,20080101
Arrow Run,North Squard,4.4,9.6,0.25,no,XBL,20090101
Artoon,Oscar K,8.4,7.2,0.67,no,XBL,20080101
Asphalt Jungle 2,Hoelkosoft,8.1,9.6,1.76,no,XBL,20110101
Assassin's Creed,Ubisoft Montreal,8.2,3.8,0.29,M,XBL,20090101
Assassin's Creed II,Ubisoft Montreal,9.2,7.7,0.47,M,XBL,20100101
Assassin's Creed II: Battle of Forli,Ubisoft Montreal,6.2,8.8,4.86,M,XBL,20100101
Assassin's Creed II: Bonfire of the Vanities,Ubisoft Montreal,6.7,8.6,2.74,M,XBL,20100101
Assassin's Creed: Brotherhood - The Da Vinci Disappearance,Ubisoft Montreal,8.2,8.7,1.03,M,XBL,20110101
Assassin's Creed: Revelations - Ancestors Character Pack,Ubisoft Montreal,5.4,9.2,1.26,M,XBL,20110101
Assault Heroes,Wanako Studios,7.9,7.4,0.9,T,XBL,20060101
Assault Heroes 2,Wanako Studios,7.8,8.5,0.06,T,XBL,20080101
Assembly Line,LoneWolf Studios,8.7,4.1,1.87,no,XBL,20110101
Astero Defender,DeadwoodStudios,5.8,10.0,5.03,no,XBL,20090101
Asteroids & Asteroids Deluxe,Stainless Games,7.9,0.5,0.65,E,XBL,20070101
Astro Match3,PinoEire,8.6,10.0,1.07,no,XBL,20090101
Astro Taxi,FifaKane,4.9,7.1,0.65,no,XBL,20090101
AstroPop,PopCap Games,7.4,3.8,2.58,E,XBL,20060101
Atomhex,Escapist Games,8.3,7.7,5.08,no,XBL,20090101
Audiball,Indiecisive Games,3.1,8.3,1.14,no,XBL,20080101
Auditorium,Cipher Prime,3.2,9.4,2.0,E,XBL,20200101
Aurelia,DUALHAZE,8.7,6.3,0.35,no,XBL,20100101
AvaGlide,HaikuInteractive,9.2,8.5,1.52,no,XBL,20100101
Avalis Dungeon,Team Shuriken,7.4,9.0,1.88,no,XBL,20110101
Avalis Dungeon 2,Team Shuriken,5.2,6.1,0.47,no,XBL,20110101
Avatar Adventurers Online,Squarebananas,4.2,7.2,2.58,no,XBL,20110101
Avatar Aquarium,DigitalDNA,9.4,6.5,4.14,no,XBL,20090101
Avatar Avenue,DigitalDNA,8.9,7.3,1.43,no,XBL,20090101
Avatar Bowman 2,Super Boise 2,5.0,2.5,0.57,no,XBL,20100101
Avatar Casino Slots #1,SGN Casual Games,4.1,8.0,1.77,no,XBL,20090101
Avatar Connection,Digital DNA Games,1.6,7.0,0.92,no,XBL,20110101
Avatar Drop,RodYan,7.4,5.4,0.38,no,XBL,20090101
Avatar Fantasy RPG,AwesomeGamesStudio,6.4,6.1,0.82,no,XBL,20110101
Avatar Farm!,Milkstone Studios,5.5,9.1,0.64,no,XBL,20110101
Avatar Fighter,Mr Brian,5.0,9.9,4.3,no,XBL,20110101
Avatar Fighter Online,Bwoot Games,1.0,6.8,1.81,no,XBL,20110101
Avatar Golf,Barkers Crest STUD1O,8.8,7.4,1.62,no,XBL,20090101
Avatar Karting,Jujubee S.A.,9.2,9.3,3.49,no,XBL,20110101
Avatar Laser Wars,DigitalDNA,5.9,9.0,1.01,no,XBL,20100101
Avatar Legends,Barkers Crest,7.0,9.2,1.93,no,XBL,20110101
Avatar Match,GameWicket,7.4,9.9,0.08,no,XBL,20090101
Avatar Ninja!,Milkstone Studios,5.2,8.7,3.53,no,XBL,20100101
Avatar Ninja! 2,Milkstone Studios S.L.,7.7,9.4,2.11,no,XBL,20110101
Avatar Onslaught,SniperED007,4.9,6.8,5.88,no,XBL,20100101
Avatar Paintball,DigitalDNA,8.2,9.1,8.07,no,XBL,20100101
Avatar Racedrome,Jujubee S.A.,6.7,9.8,1.02,no,XBL,20100101
Avatar Rockets,SniperED007,2.3,6.9,1.37,no,XBL,20090101
Avatar Run,R3dDr4g0n,8.7,4.6,5.63,no,XBL,20100101
Avatar Running,AloneSoft,7.4,6.6,4.06,no,XBL,20110101
Avatar Showdown,JForce Games,6.8,9.3,1.81,no,XBL,20110101
Avatar Slam Dunk,Maximinus,7.2,4.1,0.62,no,XBL,20100101
Avatar Street Basketball 2,Bionic-Thumbs,2.1,9.1,0.47,no,XBL,20110101
Avatar Superstar,DigitalDNA2,8.7,6.0,5.07,no,XBL,20110101
Avatar Superstars Poker,Microsoft Game Studios,3.2,8.0,1.51,no,XBL,20110101
Avatar Wave: Snowball Fight,Hotwave Games,8.0,1.3,1.69,no,XBL,20090101
Avatar Without a Chute,Stegersaurus Games 2,2.5,7.8,0.97,no,XBL,20110101
Avatar's Rock,i ENDER i,7.9,6.5,1.72,no,XBL,20110101
Avatar: The Last Airbender - The Burning Earth,THQ Australia,9.3,8.2,0.75,E10,XBL,20100101
Avatars Don't Bleed,SoGameSoftware,8.7,4.4,0.72,no,XBL,20110101
Awesome Tank,UberGeekGames,8.4,3.5,2.18,no,XBL,20090101
Awesomenauts,Ronimo Games,1.2,2.5,1.03,no,XBL,20120101
AXEH,Pekoyama,5.6,9.8,0.44,no,XBL,20100101
Axel & Pixel,Silver Wish Games,6.9,7.1,0.81,E,XBL,20090101
Axiom Overdrive,Reflexive Entertainment,9.1,8.5,1.21,no,XBL,19970101
Azubi's Pool Of Bethesda,Azubi,5.3,1.2,1.51,no,XBL,20090101
Baby Maker Extreme,Stegersaurus Games,9.4,6.8,1.83,no,XBL,20100101
Backbreaker: Vengeance,NaturalMotion Games,6.0,9.0,1.31,E,XBL,20110101
Bad Atom Episode 1,kstrat2001,9.1,8.5,8.13,no,XBL,20080101
Bailout!,ChefTeslaCoil,4.2,8.0,2.1,no,XBL,20090101
Baja: Edge of Control,2XL Games,6.6,7.8,1.75,E,XBL,20100101
Ball Lightning,Samuel H. Potter,7.4,4.5,1.92,no,XBL,19930101
Ball Wing,DataBox Inc,5.9,6.0,2.88,no,XBL,20090101
Ballochet,MindsEdge,9.6,7.0,2.69,no,XBL,20110101
Balloon Blocks,Creative Cog Games,8.3,9.5,7.95,no,XBL,20090101
Balls N Walls,David Tse,4.4,9.1,0.21,no,XBL,20110101
BallsAndBlocks,Ben3DX,5.4,9.6,0.03,no,XBL,20090101
Banana Split,Torturas,5.8,9.4,0.7,no,XBL,20090101
Band of Bugs,NinjaBee,6.5,9.1,0.71,E,XBL,20070101
Bangai-O HD: Missile Fury,"Treasure Co., Ltd.",7.9,5.3,0.44,E10,XBL,20110101
Banjo-Kazooie: Nuts & Bolts,Rare Ltd.,5.5,8.9,4.41,E10,XBL,20100101
Banjo-Tooie,4J Studios,3.3,6.8,0.55,E,XBL,20090101
Bankshot Billiards 2,PixelStorm,6.6,9.4,1.93,E,XBL,20050101
Barf And Beer,Danimal,5.3,5.5,0.93,no,XBL,20090101
Basketball Trick Shot,Nick Metnik,6.8,8.4,2.11,no,XBL,20100101
Bastion,Supergiant Games,9.0,9.6,0.78,E10,XBL,20110101
Bat-L-Blocks,JamesH,9.0,6.2,0.56,no,XBL,20090101
Batman: Arkham City - Catwoman Bundle Pack,Rocksteady Studios,9.2,8.2,0.42,T,XBL,20110101
Batman: Arkham City - Nightwing Bundle Pack,Rocksteady Studios,7.3,6.2,0.0,T,XBL,20110101
Batman: Arkham City - Robin Bundle Pack,Rocksteady Studios,9.8,7.7,1.12,T,XBL,20110101
Battle Ball,Jhample,3.5,8.6,0.35,no,XBL,20090101
Battle Beat,Stegersaurus Games,4.6,5.9,1.24,no,XBL,20090101
Battle Bubbles - Four Corners,nineteen77,7.6,5.2,0.23,no,XBL,20090101
Battle Engine Aquila,Lost Toys,5.6,9.7,0.01,no,XBL,20070101
Battle Havoc,Quantum Squid Interactive,9.3,9.7,1.83,no,XBL,20090101
Battle Slots,"Phantom EFX, Inc.",9.9,7.1,1.53,E10,XBL,20130101
