name,developer,ucs,user,sale,rating,platform,date
Anodyne,Analgesic Productions,7.2,5.5,2.74,M,iOS,20130101
Cafeteria Nipponica,Kairosoft Co. Ltd,9.5,2.4,2.53,no,iOS,20120101
"Cook, Serve, Delicious!",Vertigo Gaming Inc.,7.5,8.2,0.96,no,iOS,20120101
CounterSpy,Dynamighty,6.4,6.9,2.89,no,iOS,20140101
Fat Princess: Piece of Cake,Sony Computer Entertainment America,4.9,9.3,0.3,no,iOS,20140101
Final Fantasy IX,SquareSoft,9.1,9.4,1.07,T,iOS,20160101
Final Fantasy VII,SquareSoft,9.0,9.4,4.95,no,iOS,20150101
Football Manager Handheld 2014,Sports Interactive,8.8,9.7,0.36,no,iOS,20130101
Jetpack Joyride,Halfbrick Studios,8.7,7.0,6.63,no,iOS,20070101
Minecraft,Mojang,7.4,6.5,2.65,no,iOS,20110101
Monument Valley,Ustwo Games,8.7,9.8,0.94,no,iOS,20140101
PlayStation All-Stars Island,Zoink Games,9.5,9.3,2.46,no,iOS,20130101
Run Sackboy! Run!,Sony Computer Entertainment,5.1,5.9,2.03,no,iOS,20140101
Sparkle 2,10tons Ltd,8.6,8.3,0.69,E,iOS,20130101
Super Mario Run,Nintendo,1.5,4.0,3.42,no,iOS,20160101
UNCHARTED: Fortune Hunter,Sony Computer Entertainment,9.1,6.9,3.61,no,iOS,20160101
Age of Empires: Castle Siege,Smoking Gun Interactive,8.2,9.1,10.28,no,iOS,20150101
Alvastia Chronicles,Exe Create Inc.,6.3,8.3,0.35,E,iOS,20180101
Animal Crossing: Pocket Camp,Nintendo,9.8,8.9,5.49,no,iOS,20170101
Artifact,Valve Corporation,5.9,10.0,1.21,no,iOS,20190101
Asdivine Hearts II,Exe Create Inc.,7.6,8.4,0.05,no,iOS,20180101
Bentley's Hackpack,Sony Computer Entertainment,2.3,8.2,4.44,no,iOS,20130101
Bridge Constructor Portal,ClockStoneSoftware,6.4,5.6,1.65,no,iOS,20180101
Diablo Immortal,Blizzard Entertainment,5.6,1.9,0.45,no,iOS,20190101
Dragalia Lost,Cygames,5.7,8.6,0.43,no,iOS,20180101
Entwined Challenge,Sony Computer Entertainment,4.5,9.3,1.75,no,iOS,20140101
Final Fantasy XV Pocket Edition,Square Enix,4.6,8.9,4.03,no,iOS,20180101
Fire Emblem: Heroes,Intelligent Systems,8.7,8.0,0.1,no,iOS,20170101
Fran Bow,Killmonday Games,1.6,2.8,0.08,no,iOS,20180101
Ingress,Niantic Labs,6.7,8.0,1.13,no,iOS,20160101
Invizimals: Battle of the Hunters,Sony Computer Entertainment,6.1,3.9,1.72,no,iOS,20160101
Invizimals Hidden Challenges,Sony Computer Entertainment,9.3,9.4,2.39,no,iOS,20130101
Invizimals: Revolution,Sony Computer Entertainment,0.9,8.5,2.63,no,iOS,20150101
Invizimals: TV Tracker,Sony Computer Entertainment,6.3,7.5,1.18,no,iOS,20130101
KNACK's Quest,Sony Computer Entertainment,8.1,8.1,1.2,no,iOS,20130101
LEGO Batman 2: DC Super Heroes,TT Fusion,6.7,6.1,1.68,E10,iOS,20120101
Life Is Strange,Square Enix,5.3,7.5,0.67,M,iOS,20170101
Lyrica,Cosen,5.1,6.7,0.94,E,iOS,20170101
Miitomo,Nintendo,9.0,8.0,1.16,no,iOS,20160101
Planescape Torment: Enhanced Edition,Overhaul Games,5.8,3.4,0.64,no,iOS,20170101
PlayerUnknown's Battlegrounds Mobile,PUBG Corporation,8.9,7.9,0.63,no,iOS,20180101
PlayStation Vita Pets: Puppy Parlour,Sony Computer Entertainment,7.2,8.5,0.07,no,iOS,20140101
Pokemon GO,Niantic Labs,6.0,5.9,0.58,no,iOS,20160101
Ratchet and Clank: Before the Nexus,Sony Computer Entertainment,8.5,9.4,0.1,no,iOS,20130101
Sephirothic Stories,Exe Create Inc.,8.7,9.0,3.21,E10,iOS,20180101
Shantae 5,WayForward Technologies,5.7,6.9,0.22,RP,iOS,20190101
Tokyo Jungle Mobile,Sony Computer Entertainment,6.1,8.7,0.3,no,iOS,20130101
