name,developer,ucs,user,sale,rating,platform,date
Animal Forest,Nintendo EAD,8.7,9.7,3.13,no,iQue,20030101
Bouncedown,Jagex Games Studio,6.2,9.5,12.68,no,iQue,19900101
Brain Teasers! World's Best Logic Puzzles and Riddles,Sticky Ice Games,8.6,5.7,0.45,no,iQue,20070101
Custom Robo,Noise,6.7,9.7,1.12,no,iQue,20070101
Dr. Mario 64,Newcome,6.6,9.2,2.29,no,iQue,19980101
Excitebike 64,Left Field Productions,1.6,6.2,2.99,no,iQue,20070101
F-Zero X,Nintendo EAD,8.8,7.1,8.86,no,iQue,20070101
Magnify Physics,Toco Games,9.0,9.6,0.74,no,iQue,20140101
Mario Kart 64,Nintendo EAD,6.0,9.9,1.23,no,iQue,20070101
Paper Mario,Nintendo EAD,5.9,8.9,2.07,no,iQue,20140101
Sin and Punishment,"Treasure Co., Ltd.",8.3,7.3,0.47,no,iQue,20070101
Star Fox 64,Nintendo EAD,6.7,8.9,0.85,no,iQue,20070101
Super Mario 64,Nintendo EAD,7.8,6.4,2.96,no,iQue,20060101
Super Smash Bros.,HAL Laboratory,4.7,7.3,3.1,no,iQue,19930101
The Legend of Zelda: Ocarina of Time,Nintendo EAD,0.9,8.2,4.91,no,iQue,20070101
