name,developer,ucs,user,sale,rating,platform,date
Wii Sports,Nintendo EAD,7.7,8.4,0.39,E,Wii,20060101
Super Mario Bros.,Nintendo EAD,10.0,7.6,1.72,no,NES,19850101
Mario Kart Wii,Nintendo EAD,8.2,9.1,0.11,E,Wii,20080101
PlayerUnknown's Battlegrounds,PUBG Corporation,7.6,6.4,4.25,no,PC,20170101
Wii Sports Resort,Nintendo EAD,8.0,8.8,1.64,E,Wii,20090101
Pokemon Red / Green / Blue Version,Game Freak,9.4,9.0,0.55,E,GB,19980101
New Super Mario Bros.,Nintendo EAD,9.1,8.1,2.78,E,DS,20060101
Tetris,Bullet Proof Software,7.3,5.8,1.42,E,GB,19890101
New Super Mario Bros. Wii,Nintendo EAD,8.6,9.2,0.03,E,Wii,20090101
Minecraft,Mojang AB,10.0,7.2,0.23,no,PC,20100101
Duck Hunt,Nintendo R&D1,4.1,9.6,1.97,no,NES,19850101
Wii Play,Nintendo EAD,5.9,4.5,0.99,E,Wii,20070101
Kinect Adventures!,Good Science Studio,6.7,9.4,2.95,E,X360,20100101
Nintendogs,Nintendo EAD,8.4,8.4,0.21,E,DS,20050101
Mario Kart DS,Nintendo EAD,9.1,9.4,4.44,E,DS,20050101
Pokemon Gold / Silver Version,Game Freak,9.2,8.1,2.89,E,GB,20000101
Wii Fit,Nintendo EAD,7.9,4.4,2.32,E,Wii,20080101
Wii Fit Plus,Nintendo EAD,8.0,2.4,1.45,E,Wii,20090101
Super Mario World,Nintendo EAD,8.5,1.7,0.74,E,SNES,19910101
Grand Theft Auto V,Rockstar North,9.4,8.9,20.32,M,PS3,20130101
Grand Theft Auto V,Rockstar North,9.7,3.5,19.39,M,PS4,20140101
Brain Age: Train Your Brain in Minutes a Day,Nintendo SDD,8.1,5.4,0.51,E,DS,20060101
Garry's Mod,Team Garry,6.1,9.0,1.73,no,PC,20040101
Super Mario Land,Nintendo R&D1,5.1,8.6,2.17,E,GB,19890101
Mario Kart 7,Nintendo EAD / Retro Studios,8.2,3.4,1.87,E,3DS,20110101
Pokemon Diamond / Pearl Version,Game Freak,8.6,8.6,0.49,E,DS,20070101
Grand Theft Auto: San Andreas,Rockstar North,9.5,5.8,0.08,M,PS2,20040101
Super Mario Bros. 3,Nintendo R&D2,6.4,8.1,1.59,E,NES,19900101
Pokemon X/Y,Game Freak,8.9,9.7,0.97,E,3DS,20130101
Pokemon Ruby / Sapphire Version,Game Freak,8.8,9.4,2.05,E,GBA,20030101
Grand Theft Auto: Vice City,Rockstar North,9.6,6.5,16.15,M,PS2,20020101
Pokemon Sun/Moon,Game Freak,9.0,3.8,4.77,E,3DS,20160101
Grand Theft Auto V,Rockstar North,4.3,6.0,15.86,M,X360,20130101
Pokemon Black / White Version,Game Freak,8.6,9.0,0.38,E,DS,20110101
Call of Duty: Black Ops 3,Treyarch,4.2,7.6,15.09,M,PS4,20150101
Mario Kart 8 Deluxe,Nintendo EPD,9.3,0.6,1.66,E,NS,20170101
Counter-Strike: Source,Valve Software,9.3,9.5,1.23,M,PC,20040101
Sonic the Hedgehog,Sonic Team,7.5,4.4,0.07,no,GEN,19910101
Gran Turismo 3: A-Spec,Polyphony Digital,9.3,8.6,2.98,E,PS2,20010101
Brain Age 2: More Training in Minutes a Day,Nintendo SDD,8.0,7.0,2.73,E,DS,20070101
Call of Duty: Modern Warfare 3,Infinity Ward,8.7,5.3,14.82,M,X360,20110101
Call of Duty: Black Ops,Treyarch,8.8,8.4,14.74,M,X360,20100101
Pokemon Yellow: Special Pikachu Edition,Game Freak,8.7,6.8,6.06,E,GB,19990101
Halo 3,Bungie Studios,9.6,9.5,3.25,M,X360,20070101
Pokemon Omega Ruby/Pokemon Alpha Sapphire,Game Freak,8.6,6.1,3.36,E,3DS,20140101
Red Dead Redemption 2,Rockstar Games,9.8,8.8,13.94,M,PS4,20180101
Call of Duty: Black Ops II,Treyarch,8.3,5.3,13.86,M,X360,20120101
Call of Duty: Black Ops II,Treyarch,5.8,8.6,13.8,M,PS3,20120101
Super Mario Odyssey,Nintendo EPD,9.9,8.6,2.24,E10,NS,20170101
Call of Duty: Modern Warfare 2,Infinity Ward,9.5,9.0,13.53,M,X360,20090101
Call of Duty: WWII,Sledgehammer Games,8.0,9.4,13.4,M,PS4,20170101
Call of Duty: Modern Warfare 3,Infinity Ward,8.8,9.7,13.35,M,PS3,20110101
Super Smash Bros. Brawl,Project Sora,9.2,9.7,3.51,T,Wii,20080101
Grand Theft Auto III,DMA Design,9.5,7.8,13.1,M,PS2,20010101
New Super Mario Bros. 2,Nintendo,7.5,0.0,2.73,E,3DS,20120101
Portal 2,Valve Software,9.7,8.7,0.35,E10,PC,20110101
Minecraft,Mojang,9.3,5.7,12.99,E10,X360,20130101
Super Mario Galaxy,Nintendo EAD Tokyo,9.7,9.6,0.61,E,Wii,20070101
Pokemon Heart Gold / Soul Silver Version,Game Freak,8.6,9.1,2.2,E,DS,20100101
Call of Duty: Black Ops,Treyarch,8.7,8.6,12.67,M,PS3,20100101
Grand Theft Auto V,Rockstar North,6.9,6.6,0.54,M,PC,20150101
Super Mario 3D Land,Nintendo EAD Tokyo,8.9,0.3,5.41,E,3DS,20110101
Animal Crossing: New Leaf,Nintendo EAD,8.6,2.1,0.85,E,3DS,20130101
Super Smash Bros. Ultimate,Bandai Namco Games,9.4,9.7,0.2,E10,NS,20180101
Diablo III,Blizzard Entertainment,9.0,6.6,3.12,M,PC,20120101
Pokemon FireRed / LeafGreen Version,Game Freak,8.3,8.1,0.06,E,GBA,20040101
Gran Turismo 5,Polyphony Digital,8.3,7.1,3.86,E,PS3,20100101
Super Mario 64,Nintendo EAD,9.7,7.2,1.67,E,N64,19960101
FIFA 18,EA Vancouver,8.3,6.5,11.8,E,PS4,20170101
Gran Turismo 4,Polyphony Digital,8.7,9.9,6.95,E,PS2,20050101
Animal Crossing: Wild World,Nintendo EAD,8.5,9.7,3.2,E,DS,20050101
The Legend of Zelda: Breath of the Wild,Nintendo EPD,9.9,10.0,1.47,E10,NS,20170101
Super Mario Land 2: 6 Golden Coins,Nintendo R&D1,9.0,9.4,1.29,E,GB,19920101
Grand Theft Auto IV,Rockstar North,10.0,0.2,11.09,M,X360,20080101
Super Mario 64 DS,Nintendo EAD,8.6,4.3,0.17,E,DS,20040101
Terraria,Re-Logic,8.8,4.8,0.48,T,PC,20110101
FIFA 17,EA Canada,8.9,8.6,10.94,E,PS4,20160101
Gran Turismo,Polyphony Digital,9.5,7.1,2.64,E,PS,19980101
Call of Duty: Modern Warfare 2,Infinity Ward,9.5,3.1,10.61,M,PS3,20090101
Grand Theft Auto IV,Rockstar North,10.0,9.0,10.57,M,PS3,20080101
Super Mario All-Stars,Nintendo EAD,6.8,9.5,5.83,E,SNES,19930101
Call of Duty: Ghosts,Infinity Ward,6.9,3.4,10.41,M,X360,20130101
Just Dance 3,Ubisoft Paris,7.5,8.9,10.14,E10,Wii,20110101
Call of Duty: Ghosts,Infinity Ward,7.5,8.7,10.13,M,PS3,20130101
Horizon: Zero Dawn,Guerrilla Games,9.1,8.0,0.03,T,PS4,20170101
"Pokemon: Let's Go, Pikachu/Eevee",Game Freak,8.6,1.2,1.22,E,NS,20180101
RollerCoaster Tycoon 3,Frontier Developments,8.3,9.8,3.98,E,PC,20040101
Halo: Reach,Bungie,9.3,6.3,9.97,M,X360,20100101
Portal,Valve Software,9.0,9.4,0.2,T,PC,20080101
Halo 4,343 Industries,3.5,5.9,9.96,M,X360,20120101
Final Fantasy VII,SquareSoft,9.6,9.5,0.11,T,PS,19970101
Mario Kart 64,Nintendo EAD,8.5,8.5,0.98,E,N64,19970101
StarCraft,Blizzard Entertainment,8.7,4.0,1.6,T,PC,19980101
Super Smash Bros. for 3DS,Bandai Namco Games,8.4,9.1,0.76,E10,3DS,20140101
Call of Duty 4: Modern Warfare,Infinity Ward,9.6,9.0,9.41,M,X360,20070101
Gran Turismo 2,Polyphony Digital,9.2,1.9,0.49,E,PS,19990101
Wii Party,"Nd Cube Co., Ltd.",7.0,9.0,0.99,E,Wii,20100101
Call of Duty: Black Ops IIII,Treyarch,7.2,6.8,9.32,M,PS4,20180101
Mario Party DS,Hudson Soft,7.1,9.1,1.58,E,DS,20070101
Donkey Kong Country,Rare Ltd.,9.0,3.6,0.07,E,SNES,19940101
FIFA 19,EA Sports,8.0,8.5,9.15,E,PS4,20180101
Rust,Facepunch Studios,6.1,7.7,1.29,no,PC,20180101
Marvel's Spider-Man,Insomniac Games,9.1,6.9,0.2,T,PS4,20180101
Half-Life 2,Valve Software,9.7,8.0,4.19,M,PC,20040101
The Elder Scrolls V: Skyrim,Bethesda Game Studios,9.3,6.7,8.88,M,X360,20110101
Mario Party 8,Hudson Soft,6.5,8.9,1.65,E,Wii,20070101
Super Mario Kart,Nintendo EAD,10.0,0.8,1.61,E,SNES,19920101
Grand Theft Auto V,Rockstar North,9.0,9.0,8.72,M,XOne,20140101
Uncharted 4: A Thief's End,Naughty Dog,9.2,6.2,5.21,T,PS4,20160101
Final Fantasy VIII,SquareSoft,9.4,9.2,6.4,T,PS,19990101
Final Fantasy X,SquareSoft,9.0,10.0,6.11,T,PS2,20010101
Pokemon Black 2 and White 2,Game Freak,8.0,8.3,5.16,E,DS,20120101
Call of Duty: Infinite Warfare,Infinity Ward,8.1,4.0,8.48,M,PS4,20160101
Fallout 4,Bethesda Game Studios,8.6,6.6,8.48,M,PS4,20150101
Mario Kart 8,Nintendo,8.8,1.5,0.23,E,WiiU,20140101
Tekken 3,Namco,9.6,4.1,0.58,T,PS,19980101
Pokemon: Ultra Sun and Ultra Moon,Game Freak,8.1,8.4,4.43,E,3DS,20170101
Splatoon 2,Nintendo EPD,8.2,8.4,7.7,E10,NS,20170101
FIFA 16,EA Canada,8.5,9.1,8.22,E,PS4,20150101
GoldenEye 007,Rare Ltd.,9.8,8.9,2.08,T,N64,19970101
Star Wars Battlefront (2015),EA DICE,7.1,7.0,8.03,T,PS4,20150101
FIFA 13,EA Canada,5.8,8.6,8.01,E,PS3,20120101
Halo 2,Bungie Studios,9.6,7.1,9.31,M,XB,20040101
The Sims 3,EA Redwood Shores,8.5,0.9,7.96,T,PC,20090101
Grand Theft Auto: Liberty City Stories,Rockstar Leeds,8.8,8.4,7.72,M,PSP,20050101
Pac-Man,Atari,5.5,7.7,3.98,no,2600,19820101
Pokemon Platinum Version,Game Freak,8.3,8.9,0.51,E,DS,20090101
The Legend of Zelda: Ocarina of Time,Nintendo EAD,9.9,10.0,1.53,E,N64,19980101
Crash Bandicoot 2: Cortex Strikes Back,Naughty Dog,8.6,2.9,7.58,E,PS,19970101
Call of Duty: Advanced Warfare,Sledgehammer Games,8.5,6.7,7.53,M,PS4,20140101
Call of Duty: World at War,Treyarch,8.5,7.8,7.5,M,X360,20080101
Super Mario Bros. 2,Nintendo EAD,6.4,8.0,6.58,no,NES,19880101
Super Mario Galaxy 2,Nintendo EAD Tokyo,9.7,9.8,0.75,E,Wii,20100101
Super Smash Bros. Melee,HAL Laboratory,9.2,6.2,2.69,T,GC,20010101
Call of Duty: Black Ops 3,Treyarch,9.0,9.3,7.37,M,XOne,20150101
Battlefield 3,Dice,8.5,9.1,7.35,M,X360,20110101
The Legend of Zelda: Twilight Princess,Nintendo EAD,9.5,9.6,2.36,T,Wii,20060101
Battlefield 1,EA DICE,9.8,8.6,7.26,M,PS4,20160101
Battlefield 3,Dice,8.5,8.3,7.21,M,PS3,20110101
Need for Speed Underground,EA Black Box,8.6,7.7,7.2,E,PS2,20030101
The Binding of Isaac,Edmund McMillen,8.3,3.7,1.38,no,PC,20110101
Crash Bandicoot 3: Warped,Naughty Dog,9.3,7.4,7.13,E,PS,19980101
Pokemon Emerald Version,Game Freak,7.7,8.2,0.54,E,GBA,20050101
Yokai Watch 2: Bony Spirits / Fleshy Souls / Psychic Specters,Level 5,7.6,8.4,3.84,E10,3DS,20160101
Need for Speed Underground 2,EA Black Box,8.3,3.6,6.9,E,PS2,20040101
Just Dance 4,Ubisoft,7.5,1.2,6.89,E10,Wii,20120101
